Column1,Block,NR/2024/24095/C,NR/2024/23918/A/44032,NR/2024/24096/C,NR/30092023/26122029/SH-06,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/29/7095,GNA/NR/2024/11/01/5444,WR/2024/24788/A/44177,NR/2024/23769/A/44034,NR/2024/23809/A/44033,NR/2024/23420/A/44029,Total
,,SJVNL,IEXL,SJVNL,PUNJAB,MANIKARAN,APPCPL,BAWANA_GAS,PTC,DELHI,NDMC,NDMC,PTC,NDMC,NDMC,NDMC,PXIL,NDMC,APPCPL,IEXL,IEXL,ITCLH,
,,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,DELHI_UT,NA,NA,NA,ODISHA_STATE,NA,DELHI_UT,KARNATAKA_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,
,,RSRPL_BKN,TESPL_BKN2,TPSL_BKN2,BAWANA_GAS,BRPL,BYPL,BAWANA_GAS,BRPL,CHANJUII,RKM_POWER,JITPL,BYPL,SKS_Raigarh,JPL2,TRN_ENERGY,ODISHA,RKM_POWER,BRPL,NSLSUGAR,NSLSTUNGBHDRA,ITCWIND,
,,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,MSEB_State,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,MES_Delhi,NDMC,PUNJAB,AEML,AEML,HARYANA,HP,TPDDL,NDMC,NDMC,HP,NDMC,NDMC,NDMC,TPDDL,NDMC,GOA_Beneficiary,MES_Delhi,MES_Delhi,ITCLH,
,,North-North,North-North,North-North,North-North,North-West,North-West,North-North,North-North,North-North,West-North,East-North,North-North,West-North,West-North,West-North,East-North,West-North,North-West,South-West-North,South-West-North,South-West-North,
1,00:00-00:15,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

2,00:15-00:30,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

3,00:30-00:45,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

4,00:45-01:00,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

5,01:00-01:15,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

6,01:15-01:30,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

