Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/5800,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/7791,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/9252,GNA/NR/2025/04/01/8456,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9395,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6957,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/8068,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/3877,GNA/NR/2025/04/01/8964,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,0,80,0,29.17,87.49,33.33,29.17,0,80,0,67.62,7.17,100.64,261.4,31.29,0,32,273.14,0,20.53,14.49,8.09,13.52,10.46,0,17.56,14.49,0,0,0,13.68,13.64,28.98,82.11,5.8,164.22,9.37,10.63,0,115.51,87.13,28.98,7.25,0,0,0,0,0,30.01,0,0,0,0,0

2,00:15-00:30,0,80,0,30,90,33.33,30,0,80,0,67.62,7.17,100.64,261.4,31.29,0,32,273.14,0,20.53,14.49,8.09,13.52,10.46,0,17.56,14.49,0,0,0,13.68,13.64,28.98,82.11,5.8,164.22,9.37,10.63,0,115.51,87.13,28.98,7.25,0,0,0,0,0,29.61,0,0,0,0,0

3,00:30-00:45,0,80,0,31.67,94.99,33.33,31.67,0,80,0,67.62,7.17,100.64,261.4,31.29,0,0,273.14,0,20.53,14.49,8.09,13.52,10.46,0,17.56,14.49,0,0,0,13.68,13.64,28.98,82.11,5.8,164.22,9.37,10.63,0,115.51,87.13,28.98,7.25,0,0,0,0,0,29.01,0,0,0,0,0

4,00:45-01:00,0,80,0,32.5,97.5,33.33,32.5,0,80,0,67.62,7.17,100.64,261.4,31.29,0,0,273.14,0,20.53,14.49,8.09,13.52,10.46,0,17.56,14.49,0,0,0,13.68,13.64,28.98,82.11,5.8,164.22,9.37,10.63,0,115.51,87.13,28.98,7.25,0,0,0,0,0,28.41,0,0,0,0,0

5,01:00-01:15,0,80,0,33.33,100.01,24.67,33.33,0,80,0,67.62,7.01,100.64,261.4,31.29,0,0,273.14,0,20.53,14.49,7.93,13.52,10.46,0,17.56,14.49,0,0,0,13.22,13.64,28.98,82.11,5.8,164.22,9.18,10.63,0,115.51,87.13,28.98,7.25,0,0,0,0,0,27.61,0,0,0,0,0

6,01:15-01:30,0,80.67,0,35,105,25.33,35,0,80.67,0,67.62,7.01,100.64,261.4,31.29,0,0,273.14,0,20.53,14.49,7.93,13.52,10.46,0,17.56,14.49,0,0,0,13.22,13.64,28.98,82.11,5.8,164.22,9.18,10.63,0,115.51,87.13,28.98,7.25,0,0,0,0,0,27.01,0,0,0,0,0

7,01:30-01:45,0,76.67,0,30,90,26,30,0,76.67,0,67.62,7.01,100.64,261.4,31.29,0,26.5,273.14,0,20.53,14.49,7.93,13.52,10.46,26.5,17.56,14.49,0,0,0,13.22,13.64,28.98,82.11,5.8,164.22,9.18,10.63,0,115.51,87.13,28.98,7.25,0,0,0,0,0,26.01,0,0,0,0,0

8,01:45-02:00,0,76.67,0,30.83,92.51,26.67,30.83,0,76.67,0,67.62,7.01,100.64,261.4,31.29,0,26.5,273.14,0,20.53,14.49,7.93,13.52,10.46,26.5,17.56,14.49,0,0,0,13.22,13.64,28.98,82.11,5.8,164.22,9.18,10.63,0,115.51,87.13,28.98,7.25,0,0,0,0,0,24.01,0,0,0,0,0

