Column1,Block,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/1564,GNA/NR/2024/10/01/9989,GNA/NR/2024/10/01/5097,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/4766,GNA/NR/2024/10/01/7496,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/4083,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/2732,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,NR/30092023/31122025/SH-07,NR/2024/23453/C,NR/2024/23383/A/39810,NR/2024/23397/A/39597,NR/2024/23215/A/39757,NR/2024/23448/C,NR/2024/23414/A/39744,NR/2024/23384/A/39742,NR/2024/23382/A/39619,NR/2024/23437/C,NR/2024/23389/A/39590,NR/2024/23356/A/39591,NR/2024/23439/C,Total
,,PUNJAB,HPXL,HPXL,HPXL,NDMC,HPXL,PXIL,DELHI,PTC,NDMC,IEXL,NDMC,NDMC,NDMC,BAWANA_GAS,IEXL,ITCLH,DIAPL,PTC,IEXL,IEXL,IEXL,NVVNL,TPDDL,SJVNL,SJVNL,NVVNL,
,,DELHI_UT,KARNATAKA_STATE,NA,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,NA,NA,NA,DELHI_UT,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,HIMACHAL_STATE,NA,KARNATAKA_STATE,KARNATAKA_STATE,NA,NA,NA,NA,NA,
,,BAWANA_GAS,KPTCL,JITPL,SINGOLI,TRN_ENERGY,DBPL,KWHEP,CHANJUII,HP,JPL2,SEIL,RKM_POWER,RKM_POWER,SKS_Raigarh,BAWANA_GAS,SINGOLI,ITCWIND,GBHHPL,HP,SEIL,NSLSUGAR,NSLSUGAR,JITPL,JHAJJAR,RSRPL_BKN,TPSL_BKN2,SOLAPUR_SOLAR,
,,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,PUNJAB,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,BRPL,NDMC,BRPL,NDMC,NDMC,NDMC,HARYANA,BYPL,ITCLH,DIAPL,BYPL,BYPL,MES_Delhi,MES_Delhi,NDMC,TPDDL,NDMC,NDMC,MES_Delhi,
,,North-North,South-East-North,East-North,North-North,West-North,West-North,North-North,North-North,North-North,West-North,South-East-North,West-North,West-North,West-North,North-North,North-North,South-West-North,North-North,North-North,South-West-North,South-West-North,South-West-North,East-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,31.5,0,193.28,0,12.45,0,28.64,8.03,54.36,37.33,0,37.33,37.33,12.45,32,0,0.58,2.9,18.12,0,0,6.76,24.89,173.95,14.5,0,0,726.3999999999999

2,00:15-00:30,31.5,0,193.28,0,12.45,0,28.64,8.03,54.36,37.33,0,37.33,37.33,12.45,32,0,0.58,2.9,18.12,0,0,6.76,24.89,173.95,14.5,0,0,726.3999999999999

3,00:30-00:45,31.5,0,193.28,0,12.45,0,28.64,8.03,54.36,37.33,0,37.33,37.33,12.45,31.5,0,0.58,2.9,18.12,0,0,6.76,24.89,173.95,19.33,0,0,730.7299999999999

4,00:45-01:00,31.5,0,193.28,0,12.45,0,28.64,8.03,54.36,37.33,0,37.33,37.33,12.45,31.5,0,0.58,2.9,18.12,0,0,6.76,24.89,173.95,19.33,0,0,730.7299999999999

5,01:00-01:15,31.5,0,193.28,0,12.45,0,28.64,7.93,54.36,37.33,0,37.33,37.33,12.45,31.5,0,0.53,2.9,18.12,0,0,6.76,24.89,173.95,19.33,0,0,730.58

6,01:15-01:30,31.5,0,193.28,0,12.45,0,28.64,7.93,54.36,37.33,0,37.33,37.33,12.45,31.5,0,0.53,2.9,18.12,0,0,6.76,24.89,173.95,19.33,0,0,730.58

7,01:30-01:45,32,0,193.28,0,12.45,0,28.64,7.93,54.36,37.33,0,37.33,37.33,12.45,32,0,0.53,2.9,18.12,0,0,6.76,24.89,173.95,26.09,0,0,738.34

8,01:45-02:00,32,0,193.28,0,12.45,0,28.64,7.93,54.36,37.33,0,37.33,37.33,12.45,32,0,0.53,2.9,18.12,0,0,6.76,24.89,173.95,25.13,0,0,737.38

9,02:00-02:15,32,0,193.28,0,12.45,0,28.64,7.84,54.36,37.33,0,37.33,37.33,12.45,1.35,0,0.48,2.9,18.12,0,0,6.76,24.89,173.95,24.16,0,0,705.6199999999999

10,02:15-02:30,32,0,193.28,0,12.45,0,28.64,7.84,54.36,37.33,0,37.33,37.33,12.45,1.35,0,0.48,2.9,18.12,0,0,6.76,24.89,173.95,24.16,0,0,705.6199999999999

11,02:30-02:45,32,0,193.28,0,12.45,0,28.64,7.84,54.36,37.33,0,37.33,37.33,12.45,1.35,0,0.48,2.9,18.12,0,0,6.76,24.89,173.95,23.19,0,0,704.65

12,02:45-03:00,32,0,193.28,0,12.45,0,28.64,7.84,54.36,37.33,0,37.33,37.33,12.45,1.35,0,0.48,2.9,18.12,0,0,6.76,24.89,173.95,22.23,0,0,703.6899999999999

13,03:00-03:15,16.67,0,193.28,0,12.45,0,28.64,7.75,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.43,2.9,18.12,0,0,6.76,24.89,173.95,21.26,0,0,702.5699999999999

14,03:15-03:30,16.67,0,193.28,0,12.45,0,28.64,7.75,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.43,2.9,18.12,0,0,6.76,24.89,173.95,20.29,0,0,701.5999999999999

15,03:30-03:45,16.67,0,193.28,0,12.45,0,28.64,7.75,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.43,2.9,18.12,0,0,6.76,24.89,173.95,20.29,0,0,701.5999999999999

16,03:45-04:00,16.67,0,193.28,0,12.45,0,28.64,7.75,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.43,2.9,18.12,0,0,6.76,24.89,173.95,20.29,0,0,701.5999999999999

17,04:00-04:15,16.67,0,193.28,0,12.45,0,28.64,7.65,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.43,2.9,18.12,0,0,6.76,24.89,173.95,20.29,0,0,701.4999999999998

18,04:15-04:30,16.67,0,193.28,0,12.45,0,28.64,7.65,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.43,2.9,18.12,0,0,6.76,24.89,173.95,20.29,0,0,701.4999999999998

19,04:30-04:45,16.67,0,193.28,0,12.45,0,28.64,7.65,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.43,2.9,18.12,0,0,6.76,24.89,173.95,20.29,0,0,701.4999999999998

20,04:45-05:00,16.67,0,193.28,0,12.45,0,28.64,7.65,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.43,2.9,18.12,0,0,6.76,24.89,173.95,20.29,0,0,701.4999999999998

21,05:00-05:15,16.67,0,193.28,0,12.45,0,28.64,7.65,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.48,2.9,18.12,0,0,6.76,24.89,173.95,20.29,0,0,701.5499999999998

22,05:15-05:30,16.67,0,193.28,0,12.45,0,28.64,7.65,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.48,2.9,18.12,0,0,6.76,24.89,173.95,20.29,0,0,701.5499999999998

23,05:30-05:45,16.67,0,193.28,0,12.45,0,28.64,7.65,54.36,37.33,0,37.33,37.33,12.45,16.67,0,0.48,2.9,18.12,0,0,6.76,24.89,173.95,20.29,0,0,701.5499999999998

