Block,Time,CHAMERA3,KHSTPP-II,NLCTS2EXP,RIHAND3,AURY_RF,BRBCL,BSIUL,NLCIIST1,NNTPP,RAMPUR,RIHAND1,SIMHST1,SINGRAULI,TelanganaSTPP,ANTA_CRF,AURY_LF,DADRI_CRF,DADRI_GF,KGSU3AND4,KHSTPP-I,KISHANGANGA,KUDGI,NAPP,NTPL,SINGRAULI_HYDRO,TALST2,TANAKPUR,ANTA_RF,AURY_GF,DADRI_LF,FSTPP I & II,KGSU1AND2,KKNPPU2,MAPS,NJPC,RSTPSU7,SALAL,SEWA2,URI,ANTA_LF,AURY_CRF,DADRI_RF,CHAMERA1,DHAULIGNGA,JHAJJAR,NLCEXP,PARBATI3,RIHAND2,UNCHAHAR3,CHAMERA2,DULHASTI,KOLDAM,SASAN,SIMHST2,TANDA2,URI2,VALLURNTECL,TALA,UNCHAHAR1,ANTA_GF,DADRT2,KKNP,KOTESHWR,NLCIIST2,RAPPB,RAPPC,RSTPSU1TO6,TEHRI,UNCHAHAR2,UNCHAHAR4
1,00:00-00:15,0,148.3,0,124.32,70.16,20.01,0,0,0,0,92,0,139.68,0,0,0,0,0,0,32.78,0,0,41.87,0,0,0,11.91,42.74,0,21.92,18.21,0,0,0,0,0,2.33,0,1.66,0,0,66.85,0,9.11,654.31,0,0,118.76,0,2.4,16.48,0,418.77,0,0,4.57,0,0,20.56,0,341.57,0,8.87,0,0,52.03,0,14.93,42.4,0

2,00:15-00:30,0,148.3,0,124.32,70.16,20.01,0,0,0,0,92,0,139.68,0,0,0,0,0,0,32.78,0,0,41.87,0,0,0,11.91,42.74,0,21.92,18.21,0,0,0,0,0,2.33,0,39.19,0,0,66.85,0,9.11,654.31,0,0,118.76,0,2.4,16.48,0,418.77,0,0,4.57,0,0,20.56,0,341.57,0,8.87,0,0,52.03,0,14.93,42.4,0

3,00:30-00:45,0,148.3,0,124.32,70.16,20.01,0,0,0,0,92,0,139.68,0,0,0,0,0,0,32.78,0,0,41.87,0,0,0,6.4,42.74,0,21.92,18.21,0,0,0,0,0,2.33,0,39.19,0,0,66.85,0,9.11,654.31,0,0,118.76,0,2.4,16.48,0,418.77,0,0,4.57,0,0,20.56,0,341.57,0,8.87,0,0,52.03,0,14.93,42.4,0

4,00:45-01:00,0,148.3,0,124.32,70.16,20.01,0,0,0,0,92,0,139.68,0,0,0,0,0,0,32.78,0,0,41.87,0,0,0,6.4,42.74,0,21.92,18.21,0,0,0,0,0,2.33,0,1.66,0,0,66.85,0,9.11,654.31,0,0,118.76,0,2.4,16.48,0,418.77,0,0,4.57,0,0,20.56,0,341.57,0,8.87,0,0,52.03,0,14.93,42.4,0

5,01:00-01:15,0,148.3,0,124.32,70.16,20.01,0,0,0,0,92,0,139.68,0,0,0,0,0,0,32.78,0,0,41.87,0,0,0,6.4,42.74,0,21.92,18.21,0,0,0,0,0,13.95,0,1.66,0,0,66.85,0,9.11,654.31,0,0,118.76,0,2.4,16.48,0,418.77,0,0,4.57,0,0,20.56,0,341.57,0,8.87,0,0,52.03,0,14.93,42.4,0

