Time,Block,NR/2023/14177/D,NR/2023/13679/F,NR/2023/11507/A,NR/2023/12920/F,NR/2023/14167/D,NR/2023/11712/A,NR/2023/12924/F,NR/2023/10786/A,NR/2023/12921/F,NR/2023/11709/A,NR/2023/12916/F,NR/2023/14175/D,NR/2023/12706/A,NR/2023/14171/D,NR/2023/12915/F,NR/2023/10956/A,NR/2023/14172/D,NR/2023/12661/A,NR/2023/10435/A,NR/2023/10947/A,NR/2023/10650/A,NR/2023/12169/A,NR/2023/10488/A,NR/2023/14205/C,NR/2023/12872/F,NR/2023/10651/A,NR/2023/10432/A,NR/2023/12923/F,NR/2023/10460/A,NR/2023/13985/F,NR/2023/14183/C,NR/2023/14206/C,NR/2023/10720/A,NR/2023/10561/A,NR/2023/12814/F,NR/2023/10436/A,NR/2023/11068/A,NR/2023/12917/F,NR/2023/10705/A,NR/2023/11953/A,NR/2023/13369/F,NR/2023/10959/A,NR/2023/14201/C,NR/2023/11266/A,NR/2023/14173/D,NR/2023/12813/F,NR/2023/12919/F,NR/2023/12922/F,Total
,,KEIPL,IEXL,TPTCL,SHPPBPL,NVVNL,MANIKARAN,SHPPBPL,STATKRAFT,SHPPBPL,MANIKARAN,SHPPBPL,TS1PL_BKN,HPXL,TS1PL_BKN,SHPPBPL,NVVNL,NVVNL,NVVNL,NVVNL,APPCPL,KEIPL,APPCPL,TPTCL,PXIL,ITCLH,KEIPL,TPTCL,SHPPBPL,GMRETL,GMRETL,GBHHPL,PXIL,KEIPL,PTC,MANIKARAN,APPCPL,APPCPL,SHPPBPL,KEIPL,KEIPL,SJVNL,NVVNL,TPDDL,TPTCL,NVVNL,MANIKARAN,SHPPBPL,SHPPBPL,Total

,,UTTAR PRADESH,JAMMU AND KASHMIR,NA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,NA,NA,NA,HIMACHAL PRADESH,KERALA,HIMACHAL PRADESH,NA,DELHI,ANDHRA PRADESH,MEGHALAYA,ODISHA,HIMACHAL PRADESH,MEGHALAYA,GOA,HIMACHAL PRADESH,NA,TAMIL NADU,NA,HIMACHAL PRADESH,MEGHALAYA,UTTARAKHAND,HIMACHAL PRADESH,KERALA,MEGHALAYA,WEST BENGAL,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,
,,LAPL-UP,SAPU1234,JPL,SHPPBPL,SOLAPUR_SOLAR,TANGEDCO,SHPPBPL,TANGEDCO,SHPPBPL,TANGEDCO,SHPPBPL,TS1PL_BKN,B_S_ISPAT_MH,TS1PL_BKN,SHPPBPL,JPNIGRIE_JNSTPP,SORANG_HEP,SKS Raigarh,SEIL,HP,KSEB,HP,APNRL,BYPL,ITCWIND,Meghalaya_Ben,NBVLIPP,SHPPBPL,Meghalaya_Ben,GOA_Beneficiary,GBHHPL,Teesta_III,TANGEDCO,JPNIGRIE_JNSTPP,HP,Meghalaya_Ben,UTTARAKHAND,SHPPBPL,KSEB,Meghalaya_Ben,IPCL_WB,KAMENG,CHANJUII,KWHEP,KAMENG,HP,SHPPBPL,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,MES (Delhi),BRPL,BMDRC,MES (Delhi),BRPL,UHL,BYPL,MAX-HPTL,BRPL,BAL224,BYPL,NDMC,BRPL,BAL184,BRPL,TPDDL,NDMC,TPDDL,BYPL,BYPL,BRPL,TPDDL,ASIL_UP,ITCLH,BYPL,TPDDL,MHIL,BYPL,TPDDL,DIAPL,BRPL,BYPL,TPDDL,BRPL,BYPL,BYPL,BAL234,BRPL,BYPL,NDMC,BRPL,TPDDL,BRPL,TPDDL,BRPL,AISHER,JHPL-DL,
,,North-North,North-North,West-North,North-North,West-North,South-West-North,North-North,South-West-North,North-North,South-West-North,North-North,North-North,West-North,North-North,North-North,West-North,North-North,West-North,South-West-North,North-North,South-West-North,North-North,East-North,North-North,South-West-North,North East-East-North,East-North,North-North,North East-East-North,West-North,North-North,East-North,South-West-North,West-North,North-North,North East-East-North,North-North,North-North,South-West-North,North East-East-North,East-North,North East-East-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,
1,00:00-00:15,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,100.670000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1924.83

2,00:15-00:30,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,46.460000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1870.62
