Column1,Block,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/6216,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/5285,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/63965,NR/2025/25794/A/64442,NR/2025/25924/A/64148,NR/2025/25791/A/64445,WR/2025/27361/A/64457,WR/2025/27350/A/64158,NR/2025/25986/C,NR/2025/25790/A/64480,NR/2025/25792/A/64444,NR/2025/25795/A/64441,WR/2025/27369/A/64601,Total
,,NDMC,IEXL,HPXL,IEXL,PUNJAB,IEXL,PXIL,IEXL,IEXL,IEXL,APPCPL,IVPL_Trader,BAWANA_GAS,DELHI,SECI_Trader,IEXL,APPCPL,DIAPL,APPCPL,APPCPL,KEIPL,TPDDL,APPCPL,APPCPL,APPCPL,MANIKARAN,
,,NA,HIMACHAL_STATE,CSEB_State,SIKKIM_STATE,DELHI_UT,SIKKIM_STATE,UTTARPRADESH_STATE,SIKKIM_STATE,HIMACHAL_STATE,SIKKIM_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,DELHI_UT,
,,JPL2,KGEPL_HP,MSPLTD,LLHEP1234,BAWANA_GAS,Kalez_Khola_HEP,LAPL_UP,RCHEP,RHPPL_HP,MEYONGCHU_HEP,BYPL,BYPL,BAWANA_GAS,CHANJUII,APSEPL_FTG,TPSL_BKN2,RKM_POWER,GBHHPL,JIPL,BYPL,BYPL,JHAJJAR,SKS_Raigarh,RKM_POWER,TRN_ENERGY,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,MSEB_State,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,
,,NDMC,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,KSEB,TPC_MSEB,HARYANA,TPDDL,TPDDL,MES_Delhi,NDMC,DIAPL,NDMC,CSEB_Beneficiary,CSEB_Beneficiary,TPDDL,NDMC,NDMC,NDMC,CSEB_Beneficiary,
,,West-North,North-North,West-North,East-North,North-North,East-North,North-North,East-North,North-North,East-North,North-West-South,North-West,North-North,North-North,North-North,North-North,West-North,North-North,East-North,North-West,North-West,North-North,West-North,West-North,West-North,North-West,
1,00:00-00:15,43.74,9.62,9.62,9.62,32,2.89,48.12,2.89,1.92,2.89,52.5,0,32,10.5,0,0,32.8,3.85,21.87,48.12,144.34,204.01,10.93,32.8,10.93,48.12,816.0799999999998

2,00:15-00:30,43.74,9.62,9.62,9.62,32,2.89,48.12,2.89,1.92,2.89,52.5,0,32,10.5,0,0,32.8,3.85,21.87,48.12,144.34,204.01,10.93,32.8,10.93,48.12,816.0799999999998

3,00:30-00:45,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,52.5,0,30,10.5,0,0,32.8,3.85,21.87,48.12,144.34,204.01,10.93,32.8,10.93,48.12,808.0699999999998

4,00:45-01:00,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,52.5,0,30,10.5,0,0,32.8,3.85,21.87,48.12,144.34,204.01,10.93,32.8,10.93,48.12,808.0699999999998

5,01:00-01:15,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,52.5,0,30,10.32,0,0,32.8,3.85,21.87,48.12,144.34,204.01,10.93,32.8,10.93,48.12,807.8899999999999

6,01:15-01:30,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,52.5,0,30,10.32,0,0,32.8,3.85,21.87,48.12,144.34,204.01,10.93,32.8,10.93,48.12,807.8899999999999

7,01:30-01:45,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,52.5,0,30,10.32,0,0,32.8,3.85,21.87,48.12,144.34,204.01,10.93,32.8,10.93,48.12,807.8899999999999

8,01:45-02:00,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,52.5,0,30,10.32,0,0,32.8,3.85,21.87,48.12,144.34,204.01,10.93,32.8,10.93,48.12,807.8899999999999

9,02:00-02:15,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,10.13,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.9499999999998

10,02:15-02:30,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,10.13,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.9499999999998

11,02:30-02:45,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,10.13,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.9499999999998

12,02:45-03:00,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,10.13,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.9499999999998

13,03:00-03:15,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.95,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.7699999999998

14,03:15-03:30,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.95,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.7699999999998

15,03:30-03:45,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.95,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.7699999999998

16,03:45-04:00,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.95,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.7699999999998

17,04:00-04:15,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.76,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.5799999999998

