Column1,Time,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/07/5932,NR/01102023/31052040/LT-31,GNA/NR/2025/08/01/5784,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5126,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/07/01/2952,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/1044,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,GNARE/WR/2025/08/25/1832,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,15.25,20.84,16.84,0,0,270.59,100.23,-0,0,67.35,0,64.18,260.34,17.32,16.84,9.8,33.67,19.24,0,0,8.66,19.24,8.66,4,0,86.78,0,2.77,0,0,34.67,0,34.66,0,12.33,13,13,39,40.02,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,15.25,20.84,16.84,0,0,270.59,100.23,-0,0,67.35,0,64.18,260.34,17.32,16.84,9.8,33.67,19.24,0,0,8.66,19.24,8.66,4,0,86.78,0,2.77,0,0,35,0,35,0,12,13.33,13.33,40.01,40.02,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,15.25,20.84,16.84,0,0,270.59,100.23,-0,0,67.35,0,73,260.34,17.32,16.84,9.8,33.67,19.24,0,0,8.66,19.24,8.66,4,0,86.78,0,2.77,0,0,35.33,0,35.34,0,12,13.33,13.33,40.01,38.02,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,15.25,20.84,16.84,0,0,270.59,100.23,-0,0,67.35,0,70.17,260.34,17.32,16.84,9.8,33.67,19.24,0,0,8.66,19.24,8.66,4,0,86.78,0,2.77,0,0,35.67,0,35.66,0,12,13.33,13.33,40.01,38.02,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,15.25,20.84,16.84,0,0,270.59,100.23,-0,0,67.35,0,70.17,260.34,17.32,16.84,9.8,33.67,19.24,0,0,8.66,19.24,8.66,4,0,75.97,0,2.77,0,0,36.33,0,36.34,0,12,13.17,13.17,39.49,38.02,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,15.25,20.84,16.84,0,0,270.59,100.23,-0,0,67.35,0,70.17,260.34,17.32,16.84,9.8,33.67,19.24,0,0,8.66,19.24,8.66,4,0,71.04,0,2.77,0,0,36.67,0,36.66,0,12,13,13,39,37.22,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,15.25,20.84,16.84,0,0,270.59,100.23,-0,0,67.35,0,70.17,238.26,17.32,16.84,9.8,33.67,19.24,0,0,8.66,19.24,8.66,4,0,66.89,0,2.77,0,0,37,0,37,0,12,13.33,13.33,40.01,35.41,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,15.25,20.84,16.84,0,0,270.59,100.23,-0,0,67.35,0,70.17,223.12,17.32,16.84,9.8,33.67,19.24,0,0,8.66,19.24,8.66,4,0,66.89,0,2.77,0,0,37.33,0,37.34,0,12,13.17,13.17,39.49,32.41,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,15.25,20.84,16.84,0,0,270.59,100.23,-0,0,67.35,0,70.17,204.99,17.32,16.84,9.8,33.67,67.35,0,0,8.66,19.24,8.66,4,0,56.4,0,2.77,0,0,30.38,0,30.39,0,11.67,12.5,12.5,37.5,38.02,0,0,0,0,0,0,0,0,0,0,0

