Block,Time Block,KISHANGANGA,KKNP,KGSU1AND2,KGSU3AND4,KHSTPP-II,JHAJJAR,KHSTPP-I,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,MAPS,PARBATI3,RAPPB,NLCEXP,NLCIIST1,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,NNTPP,NAPP,NTPL,DHAULIGNGA,FSTPP I & II,DULHASTI,BSIUL,CHAMERA3,CHAMERA2,BRBCL,DADRT2,CHAMERA1,ANTA_CRF,AURY_CRF,ANTA_LF,ANTA_RF,ANTA_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,SALAL,SEWA2,SINGRAULI,RIHAND3,TALST2,TALA,RIHAND2,RIHAND1,SASAN,RAPPC,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,UNCHAHAR1,VALLURNTECL,TANDA2,UNCHAHAR4,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,95.55,399.91,43.41,9.34,0,3.88,0,0,0,0,0,0,123.49,0,2.66,0,0,44.51,0,29.21,20.1,52.7,0,10.33,10.81,14.5,465.46,13.58,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,97.1,123.31,0,9.97,117.62,45.74,391.21,58.21,0,0,0,0,0,20.26,0,2.71,1.01,34.27,0,10.59,0,41.04,48.65,51.37,0,0,0,0,0

2,00:15-00:30,0,0,0,0,95.55,399.91,43.41,9.34,0,3.88,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,29.21,20.1,52.7,0,10.33,10.81,14.5,331.5,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,97.1,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,20.26,0,2.71,1.31,34.27,0,10.59,0,41.04,48.65,51.37,0,0,0,0,0

3,00:30-00:45,0,0,0,0,95.55,304.65,43.41,9.34,0,3.88,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,29.21,20.1,52.7,0,10.33,10.81,14.5,292.77,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,97.1,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,20.26,0,2.71,1.57,34.27,0,10.59,0,41.04,16,51.37,0,0,0,0,0

4,00:45-01:00,0,0,0,0,95.55,208.01,43.41,9.34,0,3.88,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,29.21,20.1,52.7,0,10.33,10.81,13.42,292.77,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,97.1,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,18.36,0,2.71,1.57,34.27,0,10.59,0,41.6,10.67,34.25,0,0,0,0,0

5,01:00-01:15,0,0,0,0,95.55,148.09,43.41,9.34,0,3.88,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,29.21,20.1,52.7,0,10.33,10.81,13.49,320.44,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,97.1,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,17.51,0,2.71,1.57,34.27,0,10.59,0,41.6,10.67,34.25,0,0,0,0,0

