Block,Time,DADRT2,KGSU3AND4,RIHAND1,SEWA2,CHAMERA1,KOLDAM,NLCTS2EXP,NNTPP,RAPPB,TALST2,UNCHAHAR3,UNCHAHAR4,ANTA_LF,DADRI_RF,BRBCL,BSIUL,CHAMERA2,CHAMERA3,RAPPC,SINGRAULI,UNCHAHAR1,URI2,AURY_CRF,AURY_RF,DADRI_LF,JHAJJAR,RAPPD,RIHAND3,RSTPSU7,SALAL,SIMHST2,TANAKPUR,TEHRIPSP,TelanganaSTPP,DADRI_GF,KGSU1AND2,KHSTPP-II,KUDGI,MAPS,NAPP,NLCEXP,NLCIIST1,PARBATI3,TEHRI,UNCHAHAR2,AURY_GF,DHAULIGNGA,DULHASTI,KHSTPP-I,KISHANGANGA,KKNPPU2,PARBATI2,RIHAND2,RSTPSU1TO6,SIMHST1,TANDA2,ANTA_CRF,KKNP,KOTESHWR,NTPL,SASAN,SINGRAULI_HYDRO,TALA,VALLURNTECL,ANTA_RF,DADRI_CRF,FSTPP I & II,NJPC,NLCIIST2,RAMPUR,URI,ANTA_GF,AURY_LF
1,00:00-00:15,685.73,0,48.09,18.34,42.15,8.63,0,0,0,0,26.7,1.24,0,106.06,24.99,19.56,47.12,33.95,65.28,106.49,21.25,37.41,0,82.48,0,667.27,40.15,130.84,0,79.01,0,11.91,192.57,0,0,0,98.87,0,0,24.36,0,0,57.24,80.2,43.6,0,42.46,38.32,45.53,6.97,0,25.69,125.27,0,0,3.13,0,0,45.08,0,416.25,0,24.37,0,52.09,0,20.15,175.8,0,5.68,4.41,0,0

2,00:15-00:30,685.73,0,48.09,18.34,42.15,8.63,0,0,0,0,26.7,1.24,0,106.06,24.99,19.56,47.12,33.95,65.28,106.49,21.25,37.41,0,82.48,0,667.27,40.15,130.84,0,79.01,0,11.91,192.57,0,0,0,98.87,0,0,24.36,0,0,57.24,80.2,43.15,0,42.46,38.32,45.53,6.97,0,25.69,125.27,0,0,3.13,0,0,45.08,0,416.25,0,24.37,0,52.09,0,20.15,175.8,0,5.68,11.04,0,0

3,00:30-00:45,689.39,0,48.09,18.34,42.15,8.63,0,0,0,0,26.7,1.24,0,106.06,24.99,19.56,47.12,33.95,65.28,106.49,21.25,37.41,0,82.48,0,667.27,40.15,130.84,0,78.44,0,11.91,192.57,0,0,0,98.87,0,0,24.36,0,0,34.2,80.2,43.15,0,42.46,38.32,45.53,6.97,0,25.69,125.27,0,0,3.13,0,0,45.08,0,416.25,0,24.37,0,52.09,0,20.15,175.8,0,5.68,46.37,0,0

4,00:45-01:00,689.39,0,48.09,18.34,42.15,8.63,0,0,0,0,26.7,1.24,0,106.06,24.99,19.56,47.12,33.95,65.28,106.49,21.25,37.41,0,82.48,0,667.27,40.15,130.84,0,78.44,0,11.91,192.57,0,0,0,98.87,0,0,24.36,0,0,34.2,80.2,43.15,0,42.46,38.32,45.53,6.97,0,25.69,125.27,0,0,3.13,0,0,45.08,0,416.25,0,24.37,0,52.09,0,20.15,175.8,0,5.68,46.37,0,0

5,01:00-01:15,689.39,0,48.09,18.34,42.15,8.63,0,0,0,0,26.7,1.24,0,106.06,24.99,19.56,47.12,33.95,65.28,106.49,21.65,37.41,0,82.48,0,667.27,40.15,130.84,0,78.44,0,11.91,192.57,0,0,0,98.87,0,0,24.36,0,0,34.2,80.2,43.15,0,42.46,38.32,45.53,6.97,0,25.69,125.27,0,0,3.13,0,0,45.08,0,416.25,0,24.37,0,52.34,0,20.15,175.8,0,5.68,46.37,0,0

