Column1,Block,WR/2024/25501/A/48705,NR/2024/24507/A/48733,NER/2024/2820/A/48699,NR/2025/24762/C,NR/2025/24763/C,NR/2025/24774/C,NR/2024/24418/A/48470,NR/2024/24508/A/48732,NR/2024/24614/A/48731,NR/2024/24435/A/48468,NR/2024/24434/A/48469,NR/2025/24775/C,NR/2024/24566/A/48460,NR/2025/24773/C,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/6528,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/6775,NR/2025/24761/C,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8058,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3925,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,APPCPL,NVVNL,APPCPL,NVVNL,NVVNL,SJVNL,ITCLH,NVVNL,NVVNL,IEXL,IEXL,SJVNL,IEXL,SJVNL,APPCPL,NDMC,MANIKARAN,TPTCL,HPXL,IEXL,NDMC,NDMC,TPDDL,PXIL,IEXL,NDMC,PUNJAB,IEXL,IEXL,BAWANA_GAS,HPXL,DELHI,
,,DELHI_UT,NA,DELHI_UT,NA,NA,UTTARPRADESH_STATE,ANDHRA_PRADESH_STATE,NA,NA,KARNATAKA_STATE,NA,NA,TELANGANA_State,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,MP_State,NA,DELHI_UT,ODISHA_STATE,NA,DELHI_UT,NA,HIMACHAL_STATE,
,,BRPL,JIPL,BYPL,JIPL,TRN_ENERGY,BCMLUH,ITCWIND,TRN_ENERGY,TRN_ENERGY,NSLSUGARALAND,TESPL_BKN2,RSRPL_BKN,NSLKSLWPRTY,TPSL_BKN2,BYPL,SKS_Raigarh,BRPL,BYPL,SKS_Raigarh,SKS_Raigarh,JPL2,RKM_POWER,JHAJJAR,JPNIGRIE_JNSTPP,JP_BINA,RKM_POWER,BAWANA_GAS,NBVLIPP,JPNIGRIE_JNSTPP,BAWANA_GAS,JPNIGRIE_JNSTPP,CHANJUII,
,,GOA_State,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,
,,GOA_Beneficiary,NDMC,Manipur_Ben,NDMC,NDMC,NDMC,ITCLH,NDMC,NDMC,MES_Delhi,MES_Delhi,NDMC,MES_Delhi,NDMC,AEML,NDMC,AEML,TPC_MSEB,BRPL,BRPL,NDMC,NDMC,TPDDL,BRPL,BRPL,NDMC,PUNJAB,BRPL,BRPL,HARYANA,BRPL,TPDDL,
,,North-West,East-North,North-East-North East,East-North,West-North,North-North,South-West-North,West-North,West-North,South-West-North,North-North,North-North,South-West-North,North-North,North-West,West-North,North-West,North-West,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,East-North,West-North,North-North,West-North,North-North,
1,00:00-00:15,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,28.68,28.68,0,28.68,47.8,28.68,0,20.07,26.77,0,47.8,1.46,375.71999999999997

2,00:15-00:30,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,28.68,28.68,0,28.68,47.8,28.68,0,20.07,26.77,0,47.8,1.46,375.71999999999997

