Block,Time Block,DHAULIGNGA,FSTPP I & II,CHAMERA2,DULHASTI,DADRT2,CHAMERA3,BSIUL,BRBCL,CHAMERA1,UNCHAHAR1,TALST2,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR4,TALA,UNCHAHAR3,TEHRI,TelanganaSTPP,UNCHAHAR2,TANDA2,ANTA_LF,AURY_GF,AURY_LF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,URI,VALLURNTECL,URI2,NLCTS2EXP,NAPP,NNTPP,KOTESHWR,NLCEXP,KUDGI,NLCIIST1,NJPC,NLCIIST2,MAPS,SASAN,RIHAND1,SIMHST1,RAMPUR,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,NTPL,SALAL,SEWA2,PARBATI3,RIHAND3,SINGRAULI,RAPPB,RIHAND2,JHAJJAR,KHSTPP-II,KKNP,KGSU3AND4,KISHANGANGA,KHSTPP-I,KKNPPU2,KOLDAM,KGSU1AND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,15.02,1.8,0,360.85,0,0,19.21,0,14.88,0,0,3.07,0,0,19.25,0,0,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,34.99,0,18.08,0,41.55,0,8.52,0,0,0,0,0,0,394.36,74.91,0,0,0,51.06,0,0,0,1.34,0,0,119.4,134.15,0,114.06,231.73,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

2,00:15-00:30,0,15.02,1.8,0,360.85,0,0,19.21,0,14.88,0,0,3.07,0,0,19.25,0,0,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,34.99,0,18.08,0,41.55,0,8.52,0,0,0,0,0,0,394.36,74.91,0,0,0,51.06,0,0,0,1.34,0,0,119.4,134.15,0,114.06,231.73,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

3,00:30-00:45,0,15.02,1.8,0,360.85,0,0,16.76,0,14.88,0,0,11.07,0,0,19.25,0,0,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,18.08,0,41.55,0,8.52,0,0,0,0,0,0,394.36,74.91,0,0,0,51.06,0,0,0,1.34,0,0,108.03,101.27,0,108.97,231.73,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

4,00:45-01:00,0,15.02,1.8,0,348.63,0,0,16.52,0,14.88,0,0,3.07,0,0,19.25,0,0,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,18.08,0,41.55,0,8.52,0,0,0,0,0,0,394.36,74.91,0,0,0,51.06,0,0,0,1.34,0,0,109.17,101.27,0,101.42,231.73,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

5,01:00-01:15,0,15.02,1.8,0,336.14,0,0,15.49,0,11.53,0,0,3.07,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,18.08,0,41.55,0,8.52,0,0,0,0,0,0,394.36,74.91,0,0,0,51.06,0,0,0,12.27,0,0,109.17,101.27,0,101.42,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

6,01:15-01:30,0,15.02,1.8,0,325.58,0,0,13.65,0,11.53,0,0,11.07,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,18.08,0,41.55,0,8.52,0,0,0,0,0,0,394.36,74.91,0,0,0,51.06,0,0,0,53.56,0,0,119.4,110.88,0,101.42,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

7,01:30-01:45,0,15.02,1.8,0,312.13,0,0,13.67,0,11.53,0,0,3.07,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,4.39,0,41.55,0,8.52,0,0,0,0,0,0,394.36,74.91,0,0,0,51.06,0,0,0,53.56,0,0,119.4,134.15,0,101.42,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

8,01:45-02:00,0,15.02,1.8,0,261.36,0,0,13.89,0,11.53,0,0,3.07,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,4.39,0,41.55,0,8.52,0,0,0,0,0,0,394.36,74.91,0,0,0,51.06,0,0,0,53.56,0,0,119.4,134.15,0,101.42,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

9,02:00-02:15,0,15.02,1.8,0,249.84,0,0,12.63,0,11.53,0,0,3.07,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,4.39,0,41.55,0,8.52,0,0,0,0,0,0,394.36,74.91,0,0,0,51.06,0,0,0,53.56,0,0,119.4,134.15,0,101.42,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

10,02:15-02:30,0,15.02,1.8,0,240.23,0,0,12.06,0,11.53,0,0,11.07,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,4.39,0,41.55,0,8.52,0,0,0,0,0,0,394.36,74.91,0,0,0,51.06,0,0,0,2.24,0,0,119.4,134.15,0,101.42,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

11,02:30-02:45,0,15.02,1.8,0,231.59,0,0,10.63,0,11.53,0,0,2.71,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,4.39,0,41.55,0,8.52,0,0,0,0,0,0,383.56,74.91,0,0,0,51.06,0,0,0,1.34,0,0,119.4,134.15,0,101.42,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

12,02:45-03:00,0,15.02,1.8,0,266.17,0,0,12.58,0,11.53,0,0,2.71,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,4.39,0,41.55,0,8.52,0,0,0,0,0,0,383.56,74.91,0,0,0,51.06,0,0,0,1.34,0,0,119.4,134.15,0,101.42,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

13,03:00-03:15,0,15.02,1.8,0,272.89,0,0,13.37,0,11.53,0,0,2.71,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,4.39,0,41.55,0,8.52,0,0,0,0,0,0,383.56,74.91,0,0,0,51.06,0,0,0,12.27,0,0,119.4,134.15,0,101.42,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

14,03:15-03:30,0,15.02,1.8,0,274.81,0,0,15.74,0,11.53,0,0,2.71,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,4.39,0,41.55,0,8.52,0,0,0,0,0,0,383.56,74.91,0,0,0,51.06,0,0,0,12.27,0,0,119.4,134.15,0,101.42,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

15,03:30-03:45,0,15.02,1.8,0,279.61,0,0,17.91,0,11.53,0,0,2.71,0,0,14.23,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,4.39,0,41.55,0,8.52,0,0,0,0,0,0,383.56,74.91,0,0,0,51.06,0,0,0,12.27,0,0,119.4,134.15,0,114.06,230.41,69.24,0,0,0,23.99,0,0,0,0,0,0,0,0

