Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02012046/L_NR_2021_17,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,71.620000,0.000000,0.000000,4.440000,30.970000,30.970000,101.380000,4.010000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,50.2,52.9,16.73,0,0,0,0,0,0,0,0,0,10.3,52.9,0,16.74,0,7.41,0

2,00:15-00:30,71.620000,0.000000,0.000000,4.440000,30.970000,30.970000,101.380000,4.010000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,50.41,51.92,16.8,0,0,0,0,0,0,0,0,0,10.37,51.92,0,16.8,0,7.41,0

3,00:30-00:45,71.620000,0.000000,0.000000,4.440000,30.970000,30.970000,101.380000,4.010000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,50.41,51.89,16.8,0,0,0,0,0,0,0,0,0,10.73,51.89,0,16.8,0,7.41,0

4,00:45-01:00,71.620000,0.000000,0.000000,4.440000,30.970000,30.970000,101.380000,4.010000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,50.45,52.26,16.82,0,0,0,0,0,0,0,0,0,10.77,52.26,0,16.81,0,7.41,0

5,01:00-01:15,71.620000,0.000000,0.000000,4.440000,30.970000,30.970000,101.380000,4.010000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,47.99,52.54,16,0,0,0,0,0,0,0,0,0,10.47,52.54,0,15.99,0,7.41,0

6,01:15-01:30,71.620000,0.000000,0.000000,4.440000,30.970000,30.970000,101.380000,4.010000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,46.54,52.92,15.51,0,0,0,0,0,0,0,0,0,10.27,52.92,0,15.52,0,7.41,0

7,01:30-01:45,71.620000,0.000000,0.000000,4.440000,30.970000,30.970000,101.380000,4.010000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,46.72,60,15.57,0,0,0,0,0,0,0,0,0,11.18,60,0,15.57,0,7.01,0

8,01:45-02:00,71.620000,0.000000,0.000000,4.440000,30.970000,30.970000,101.380000,4.010000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,47.38,60,15.79,0,0,0,0,0,0,0,0,0,11.01,60,0,15.79,0,7.01,0

9,02:00-02:15,71.620000,0.000000,0.000000,4.280000,30.970000,30.970000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,48.1,60,16.03,0,0,0,0,0,0,0,0,0,12.76,60,0,16.04,0,7.01,0

10,02:15-02:30,71.620000,0.000000,0.000000,4.280000,30.970000,30.970000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,48.37,60,16.12,0,0,0,0,0,0,0,0,0,12.74,60,0,16.13,0,7.01,0

11,02:30-02:45,71.620000,0.000000,0.000000,4.280000,30.970000,30.970000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,65.33,60,21.78,0,0,0,0,0,0,0,0,0,12.62,60,0,21.77,0,7.01,0

12,02:45-03:00,71.620000,0.000000,0.000000,4.280000,30.970000,30.970000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,64.44,60,21.48,0,0,0,0,0,0,0,0,0,12.51,60,0,21.47,0,7.01,0

13,03:00-03:15,71.620000,0.000000,0.000000,4.280000,30.970000,2.110000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,65.92,60,21.97,0,0,0,0,0,0,0,0,0,16.64,60,0,21.97,0,7.01,0

14,03:15-03:30,71.620000,0.000000,0.000000,4.280000,30.970000,2.110000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,67.14,60,22.38,0,0,0,0,0,0,0,0,0,16.64,60,0,22.38,0,7.01,0

15,03:30-03:45,71.620000,0.000000,0.000000,4.120000,30.970000,2.110000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,66.2,60,22.07,0,0,0,0,0,0,0,0,0,16.29,60,0,22.06,0,7.01,0

16,03:45-04:00,71.620000,0.000000,0.000000,4.120000,30.970000,2.110000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,64.98,60,21.66,0,0,0,0,0,0,0,0,0,15.9,60,0,21.65,0,7.01,0

17,04:00-04:15,71.620000,0.000000,0.000000,4.120000,30.970000,2.110000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,64.16,60,21.39,0,0,0,0,0,0,0,0,0,15.45,60,0,21.38,0,7.01,0

18,04:15-04:30,71.620000,0.000000,0.000000,4.120000,30.970000,2.110000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,65.07,60,21.69,0,0,0,0,0,0,0,0,0,14.73,60,0,21.68,0,7.01,0

19,04:30-04:45,71.620000,0.000000,0.000000,4.120000,30.970000,2.110000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,66.52,60,22.17,0,0,0,0,0,0,0,0,0,14.56,60,0,22.17,0,7.01,0

20,04:45-05:00,71.620000,0.000000,0.000000,4.120000,30.970000,2.110000,101.380000,3.850000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,66.44,60,22.15,0,0,0,0,0,0,0,0,0,14.4,60,0,22.14,0,7.01,0

21,05:00-05:15,71.620000,0.000000,0.000000,3.970000,30.970000,2.110000,101.380000,3.770000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,66.98,60,22.33,0,0,0,0,0,0,0,0,0,14.2,60,0,22.32,0,7.01,0

22,05:15-05:30,71.620000,0.000000,0.000000,3.970000,30.970000,2.110000,101.380000,3.770000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,66.15,60,22.05,0,0,0,0,0,0,0,0,0,14.12,60,0,22.04,0,7.01,0

23,05:30-05:45,71.620000,0.000000,0.000000,3.970000,30.970000,2.110000,101.380000,3.770000,3.770000,261.910000,118.080000,0.000000,272.220000,30.930000,0.000000,61.73,60,20.58,0,0,0,0,0,0,0,0,0,14.12,60,0,20.57,0,7.01,0

