Block,Time,LT-31,LT-05,SH-06,L_NR_2020_02,L_NR_2019_11,LT-59,L_NR_2023_04,L_NR_2012_07,L_NR_2012_01,LT-35,L_NR_2018_61,L_NR_2012_02,LT-36,SH-07,L_NR_2012_04,L_NR_2021_12,L_NR_2022_09,L_NR_2021_14,L_NR_2020_07,L_NR_2020_06,L_NR_2019_07,L_NR_2019_05,L_NR_2021_15,L_NR_2023_07,L_NR_2021_17,L_NR_2020_05,L_NR_2022_10,L_NR_2019_06,L_NR_2023_10,L_NR_2022_08,L_NR_2019_19,L_NR_2021_16,L_NR_2021_13
1,00:00-00:15,0.000000,115.820000,30.880000,10.670000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,39.96,222.940000,0.000000,30.880000,271.430000,0,68.02,0,29.68,29.68,0,0,0,0,0,89.04,68.02,0,0,21.61,0,0,0

2,00:15-00:30,0.000000,115.820000,30.880000,10.670000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,39.67,222.940000,0.000000,30.880000,271.430000,0,66.98,0,29.18,29.18,0,0,0,0,0,87.54,66.98,0,0,21.34,0,0,0

3,00:30-00:45,0.000000,115.820000,30.880000,10.670000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,39.53,222.940000,0.000000,30.880000,271.430000,0,65.97,0,28.95,28.94,0,0,0,0,0,86.83,65.97,0,0,21.08,0,0,0

4,00:45-01:00,0.000000,115.820000,30.880000,10.670000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,39.43,222.940000,0.000000,30.880000,271.430000,0,65.8,0,28.76,28.77,0,0,0,0,0,86.3,65.8,0,0,20.77,0,0,0

5,01:00-01:15,0.000000,115.820000,30.880000,10.530000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,38.46,222.940000,0.000000,30.880000,271.430000,0,65.46,0,29.07,29.08,0,0,0,0,0,87.24,65.46,0,0,20.73,0,0,0

6,01:15-01:30,0.000000,115.820000,30.880000,10.530000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,38.29,222.940000,0.000000,30.880000,271.430000,0,65.46,0,29.2,29.2,0,0,0,0,0,87.61,65.46,0,0,20.61,0,0,0

7,01:30-01:45,0.000000,115.820000,30.880000,10.530000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,38.13,222.940000,0.000000,30.880000,271.430000,0,65.48,0,28.85,28.83,0,0,0,0,0,86.5,65.48,0,0,20.29,0,0,0

8,01:45-02:00,0.000000,115.820000,30.880000,10.530000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,37.87,222.940000,0.000000,30.880000,271.430000,0,60.71,0,28.54,28.53,0,0,0,0,0,85.6,60.71,0,0,13.38,0,0,0

9,02:00-02:15,0.000000,115.820000,30.880000,10.390000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,37.52,222.940000,0.000000,30.880000,271.430000,0,60.77,0,21,21,0,0,0,0,0,63,60.77,0,0,13.55,0,0,0

10,02:15-02:30,0.000000,115.820000,30.880000,10.390000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,36.98,222.940000,0.000000,30.880000,271.430000,0,60.92,0,21.13,21.13,0,0,0,0,0,63.39,60.92,0,0,13.73,0,0,0

11,02:30-02:45,0.000000,115.820000,30.880000,10.390000,10.750000,10.330000,29.660000,74.000000,101.090000,0.000000,36.75,222.940000,0.000000,30.880000,271.430000,0,60.88,0,21.21,21.21,0,0,0,0,0,63.63,60.88,0,0,13.87,0,0,0

12,02:45-03:00,0.000000,115.820000,30.880000,10.390000,10.750000,10.330000,30.620000,74.000000,101.090000,0.000000,36.36,222.940000,0.000000,30.880000,271.430000,0,60.85,0,21.21,21.2,0,0,0,0,0,63.62,60.85,0,0,14,0,0,0

13,03:00-03:15,0.000000,115.820000,30.880000,10.210000,10.750000,10.330000,30.620000,74.000000,101.090000,0.000000,35.21,222.940000,0.000000,30.880000,271.430000,0,60.46,0,21.22,21.23,0,0,0,0,0,63.69,60.46,0,0,14.05,0,0,0

14,03:15-03:30,0.000000,115.820000,30.880000,10.210000,10.750000,10.330000,30.620000,74.000000,101.090000,0.000000,25.34,222.940000,0.000000,30.880000,271.430000,0,59.69,0,21.16,21.15,0,0,0,0,0,63.46,59.69,0,0,18.65,0,0,0

15,03:30-03:45,0.000000,115.820000,30.880000,10.210000,10.750000,10.330000,30.620000,74.000000,101.090000,0.000000,24.54,222.940000,0.000000,30.880000,271.430000,0,61.59,0,21.12,21.12,0,0,0,0,0,63.36,61.59,0,0,18.3,0,0,0

16,03:45-04:00,0.000000,115.820000,30.880000,10.210000,10.750000,10.330000,30.620000,69.490000,101.090000,0.000000,23.65,222.940000,0.000000,30.880000,271.430000,0,60.6,0,21.16,21.17,0,0,0,0,0,63.51,60.6,0,0,18.16,0,0,0

17,04:00-04:15,0.000000,115.820000,30.880000,10.110000,10.750000,10.330000,30.660000,55.980000,101.090000,0.000000,22.36,222.940000,0.000000,30.880000,271.430000,0,59.57,0,21.19,21.18,0,0,0,0,0,63.56,59.57,0,0,17.76,0,0,0

18,04:15-04:30,0.000000,115.820000,30.880000,10.110000,10.750000,10.330000,30.660000,55.980000,101.090000,0.000000,20.5,222.940000,0.000000,30.880000,271.430000,0,68.42,0,26.88,26.89,0,0,0,0,0,80.66,68.42,0,0,23.09,0,0,0

19,04:30-04:45,0.000000,115.820000,30.880000,10.110000,10.750000,10.370000,30.660000,55.980000,101.090000,0.000000,18.73,222.940000,0.000000,30.880000,271.430000,0,68.07,0,26.65,26.65,0,0,0,0,0,79.94,68.07,0,0,22.39,0,0,0

20,04:45-05:00,0.000000,115.820000,30.880000,10.110000,10.750000,10.370000,30.660000,55.980000,101.090000,0.000000,18.72,222.940000,0.000000,30.880000,271.430000,0,67.55,0,26.38,26.37,0,0,0,0,0,79.12,67.55,0,0,21.42,0,0,0

21,05:00-05:15,0.000000,115.820000,30.880000,9.930000,10.750000,10.370000,30.660000,55.980000,101.090000,0.000000,18.03,207.170000,0.000000,30.880000,271.430000,0,66.32,0,26.04,26.04,0,0,0,0,0,78.12,66.32,0,0,20.7,0,0,0

22,05:15-05:30,0.000000,115.820000,30.880000,9.930000,10.750000,10.370000,30.660000,55.980000,101.090000,0.000000,17.24,170.490000,0.000000,30.880000,271.430000,0,64.54,0,25.9,25.89,0,0,0,0,0,77.68,64.54,0,0,20.27,0,0,0

23,05:30-05:45,0.000000,115.820000,30.880000,9.930000,10.750000,10.370000,30.660000,55.980000,101.090000,0.000000,16.22,170.490000,0.000000,30.880000,271.430000,0,63.74,0,25.42,25.42,0,0,0,0,0,76.25,63.74,0,0,20.05,0,0,0

24,05:45-06:00,0.000000,115.820000,30.880000,9.930000,10.750000,10.370000,30.660000,55.980000,101.090000,0.000000,15.67,170.490000,0.000000,30.880000,271.430000,0.02,63,0.18,32.59,32.59,0,0,0,0,0.33,97.77,63,0,0,19.63,0.068264,0.67,0

