Time,Block,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21974/A/30080,NR/2024/21860/A/30058,NR/2024/22014/A/29930,NR/01082024/30092024/LT_MEJA_DELHI,NR/2024/21872/A/29857,NR/2024/22156/C,NR/2024/21943/A/30093,NR/2024/22195/C,NR/2024/21932/A/29832,NR/2024/21961/A/29943,NR/2024/21970/A/30078,NR/2024/21870/A/29855,NR/01082024/31082024/jitpl,NR/2024/22081/A/30057,NR/2024/21968/A/30077,NR/2024/21869/A/29848,NR/2024/21909/A/30053,NR/2024/21966/A/30051,NR/2024/22042/A/30032,NR/01082024/31082024/SKS-Raigarh,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21971/A/30079,NR/2024/22184/C,NR/2024/21956/A/30097,NR/01102023/14082046/L_NR_2021_16,NR/30092023/26122029/SH-06,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21871/A/29856,NR/2024/21814/A/30081,NR/2024/21938/A/29945,NR/2024/21918/A/30119,NR/2024/22155/C,NR/2024/21868/A/29858,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/23072042/L_NR_2012_04,NR/2024/22199/C,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21876/A/29864,NR/2024/21983/A/29984,NR/2024/21954/A/30094,NR/2024/22137/C,NR/01082024/01082024/HPX_TAM_31072024_01942,NR/2024/22167/C,NR/2024/21873/A/29866,NR/2024/22136/C,NR/2024/22181/C,NR/2024/22090/C,NR/2024/21658/A/29811,NR/30092023/31122025/SH-07,NR/2024/22146/C,NR/2024/21875/A/29865,NR/2024/22175/C,NR/01082024/15082024/APL-Raigarh,NR/2024/22010/A/30116,NR/2024/22185/C,NR/2024/22173/C,NR/2024/21940/A/30095,NR/01102023/02012046/L_NR_2021_17,Total
,,INSTINCT,NVVNL,TPDDL,IEXL,DELHI,MSSH,PXIL,APPCPL,PXIL,DTCP,PTC,NVVNL,BMDRC,DELHI,TPDDL,NVVNL,UHL,AEL,INSTINCT,IEXL,DELHI,MEJA,TPTCL,NVVNL,IEXL,APPCPL,SECI_Trader,PUNJAB,DELHI,MHIL,NVVNL,PTC,MANIKARAN,IEXL,JHPL-DL,DELHI,TPTCL,PXIL,APPCPL,BAL234,TPTCL,APPCPL,NVVNL,HPXL,IEXL,BAL184,NVVNL,IEXL,MANIKARAN,ITCLH,BAWANA_GAS,IEXL,BAL224,HPXL,AEL,MANIKARAN,DIAPL,HPXL,APPCPL,SECI_Trader,Total

,,NA,NA,NA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,KARNATAKA,MAHARASHTRA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,NA,UTTAR PRADESH,NA,NA,MP,KERALA,NA,DELHI,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ODISHA,ARUNACHAL PRADESH,HIMACHAL PRADESH,NA,MANIPUR,NA,NA,TAMIL NADU,HIMACHAL PRADESH,NA,MAHARASHTRA,GOA,ANDHRA PRADESH,DELHI,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,GOA,HIMACHAL PRADESH,NA,UTTARAKHAND,NA,
,,JPL-2,RKM_POWER,JPL-2,NHCPL_HP,MEJA,SHPPBPL,PCKL,AEML,PCKL,SHPPBPL,HP,TRN_ENERGY,SHPPBPL,JITPL,JHAJJAR,JPL-2,SHPPBPL,APL_Raigarh TPP,JPL-2,A_A_Energy_MH_Bio,SKS Raigarh,MEJA,SIMHAPURI,RKM_POWER,Continuum_WFDPL_MP,KSEB,SBSRPC11PL_BKN,BAWANA_GAS,MSEB_Beneficiary,SHPPBPL,JPNIGRIE_JNSTPP,HP,AEML,NIRANISUGAR,SHPPBPL,CHANJUII,MPL,ODISHA,Arunachal_Ben,SHPPBPL,SIMHAPURI,Manipur_Ben,SOLAPUR_SOLAR,JPL-2,OPGPGUNIT1TN,SHPPBPL,KAMENG,LMEL MSEB,GOA_Beneficiary,ITCWIND,BAWANA_GAS,SINGOLI,SHPPBPL,GR_KRSNA_FERRO_MH,APL_Raigarh TPP,GOA_Beneficiary,GBHHPL,ACBIL,UTTARAKHAND,SBSRPC11PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,NDMC,TPDDL,MES (Delhi),DELHI,MSSH,TPDDL,BRPL,BRPL,DTCP,BRPL,NDMC,BMDRC,NDMC,TPDDL,NDMC,UHL,BRPL,BRPL,MES (Delhi),NDMC,DELHI,BRPL,NDMC,BYPL,BYPL,TPDDL,PUNJAB,TPDDL,MHIL,TPDDL,BYPL,BYPL,BRPL,JHPL-DL,TPDDL,TPDDL,BRPL,BRPL,BAL234,BRPL,BRPL,MES (Delhi),BRPL,TPDDL,BAL184,TPDDL,BYPL,BRPL,ITCLH,HARYANA,BRPL,BAL224,BYPL,BRPL,BRPL,DIAPL,BYPL,BYPL,BYPL,
,,West-North,West-North,West-North,North-North,North-North,North-North,South-East-North,West-North,South-East-West-North,North-North,North-North,West-North,North-North,East-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,South-West-North,West-North,West-North,South-West-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,South-East-West-North,North-North,North-North,East-North,East-West-North,North East-East-North,North-North,South-East-North,North East-East-North,West-North,West-North,South-East-West-North,North-North,North East-East-North,West-North,West-North,South-West-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,37.670000,37.210000,31.440000,67.420000,0,32.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,4.890000,0.870000,32.000000,90.540000,0.000000,8.670000,192.640000,11.690000,9.630000,28.900000,83.970000,0,1921.3

2,00:15-00:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,37.670000,37.210000,32.900000,67.420000,0,32.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,5.000000,0.870000,32.000000,90.540000,0.000000,8.670000,192.640000,11.690000,9.630000,28.900000,83.970000,0,1922.87
