Column1,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/03/01/4651,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/2563,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/8036,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/31/4992,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/31/3997,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/19072037/LT-05,GNA/SR/2025/03/01/7500,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/1906,NR/30092023/26122029/SH-06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,29.27,0,2.05,6.73,0.78,23.41,2.53,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,30.5,0,260.29,6.58,115.04,200,42,23.41,16.47,13.5,7.66,0,51.66,0,0,0,51.67,13.5,40.5,0,0,2.4,0,0,0,0,0,0,0

2,00:15-00:30,29.27,0,2.05,6.73,2.17,23.41,2.53,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,30.5,0,260.29,6.58,66.01,200,42,23.41,26.08,14.17,7.66,0,50,0,0,0,50,14.17,42.49,0,0,2.4,0,0,0,0,0,0,0

3,00:30-00:45,30.28,0,2.05,6.73,2.17,23.41,2.53,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,30.5,0,260.29,6.58,66.01,200,42,23.41,26.08,15,7.66,0,55,0,0,0,55,15,45,0,0,2.4,0,0,0,0,0,0,0

4,00:45-01:00,30.28,0,2.05,6.73,2.17,23.41,2.53,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,30.5,0,260.29,6.58,66.01,200,42,23.41,26.08,15.83,8,0,54,0,0,0,54,15.83,47.51,0,0,2.4,0,0,0,0,0,0,0

5,01:00-01:15,30.28,0,2.05,6.73,2.17,23.41,2.53,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,26.99,0,260.29,6.58,115.04,200,42,23.41,26.99,16.33,8.34,0,53.33,0,0,0,53.33,16.33,49.01,0,0,2.4,0,0,0,0,0,0,0

6,01:15-01:30,30.28,0,2.05,6.73,2.17,23.41,2.53,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,26.99,0,260.29,6.58,115.04,200,42,23.41,26.99,17,8.66,0,50,0,0,0,50,17,51,0,0,2.4,0,0,0,0,0,0,0

7,01:30-01:45,30.28,0,2.05,6.73,2.17,23.41,2.53,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,26.99,0,260.29,6.58,66.01,200,42,23.41,26.99,17.67,9,0,34.67,0,0,0,34.67,17.67,52.99,0,0,2.4,0,0,0,0,0,0,0

8,01:45-02:00,30.28,0,2.05,6.73,2.17,23.41,2.53,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,26.99,0,260.29,6.58,66.01,200,42,23.41,26.99,18.33,9.34,0,34.67,0,0,0,34.67,18.33,55.01,0,0,2.4,0,0,0,0,0,0,0

9,02:00-02:15,29.77,0,2.05,6.73,2.17,23.41,2.45,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,26.99,0,260.29,6.58,70.15,0,42,23.41,26.99,18.33,10,0,34.33,0,0,0,34.33,18.33,55.01,0,0,2.4,0,0,0,0,0,0,0

10,02:15-02:30,29.77,0,2.05,6.73,2.17,23.41,2.45,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,26.99,0,260.29,6.58,70.15,0,42,23.41,26.99,18.33,10.34,0,34,0,0,0,34,18.33,55.01,0,0,2.4,0,0,0,0,0,0,0

11,02:30-02:45,29.77,0,2.05,6.73,2.4,23.41,2.45,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,26.99,0,260.29,6.58,70.15,0,42,23.41,26.99,18.17,10.66,0,33.66,0,0,0,33.67,18.17,54.49,0,0,2.4,0,0,0,0,0,0,0

12,02:45-03:00,29.77,0,2.05,6.73,2.4,23.41,2.45,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,26.99,0,260.29,6.58,70.15,0,42,23.41,26.99,18,11,0,33.34,0,0,0,33.33,18,54,0,0,2.4,0,0,0,0,0,0,0

13,03:00-03:15,29.77,0,1.96,6.73,2.4,23.41,2.45,100.21,0,0,6.75,23.41,132.74,79.19,17.35,237.98,0,86.76,26.99,0,260.29,6.58,70.15,0,42,23.41,26.99,18.17,11.34,0,33.34,0,0,0,33.33,18.17,54.49,0,0,2.4,0,0,0,0,0,0,0

