Block,Time Block,KHSTPP-II,KISHANGANGA,KKNP,KHSTPP-I,DADRI_LF,DADRI_GF,DADRI_RF,KGSU1AND2,KGSU3AND4,JHAJJAR,KOLDAM,KUDGI,NAPP,MAPS,KOTESHWR,ANTA_RF,AURY_RF,ANTA_LF,AURY_GF,AURY_LF,AURY_CRF,DADRI_CRF,DULHASTI,DHAULIGNGA,FSTPP I & II,CHAMERA2,CHAMERA3,DADRT2,BSIUL,CHAMERA1,BRBCL,UNCHAHAR3,UNCHAHAR2,URI,VALLURNTECL,ANTA_GF,UNCHAHAR1,UNCHAHAR4,ANTA_CRF,URI2,KKNPPU2,SINGRAULI,SALAL,SEWA2,TALST2,RIHAND3,TALA,SASAN,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,TANDA2,TANAKPUR,TelanganaSTPP,TEHRI,NLCEXP,NLCIIST1,NJPC,NLCIIST2,RAPPC,NLCTS2EXP,RAMPUR,RAPPB,NNTPP,RIHAND2,NTPL,RIHAND1,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,70.51,0,0,31.6,0,0,0,0,0,230.91,0,0,41.8,0,8.53,0,0,0,0,0,0,0,15.85,0,12.49,0,0,297.17,0,0,17.87,14.26,16.01,25.48,0,0,11.55,0,0,4.27,0,107.94,1.35,0,0,119.56,0,402.73,0,0,0,0,0,0,8.01,0,0,0,0,0,0,51.86,0,0,0,0,114.21,0,43.28,0,0,0,0,0,0

2,00:15-00:30,65.8,0,0,31.6,0,0,0,0,0,230.91,0,0,41.8,0,8.53,0,0,0,0,0,0,0,15.85,0,12.49,0,0,297.17,0,0,17.79,14.26,11.25,25.48,0,0,11.55,0,0,4.27,0,107.94,1.35,0,0,119.56,0,402.73,0,0,0,0,0,0,8.01,0,0,0,0,0,0,51.86,0,0,0,0,114.21,0,43.28,0,0,0,0,0,0

3,00:30-00:45,65.8,0,0,31.6,0,0,0,0,0,230.91,0,0,41.8,0,8.53,0,0,0,0,0,0,0,15.85,0,12.49,0,0,297.17,0,0,15.78,14.26,11.25,25.48,0,0,11.55,0,0,18.11,0,93.03,1.35,0,0,119.56,0,402.73,0,0,0,0,0,0,8.01,0,0,0,0,0,0,51.86,0,0,0,0,98.44,0,37.29,0,0,0,0,0,0

4,00:45-01:00,65.8,0,0,31.6,0,0,0,0,0,230.91,0,0,41.8,0,8.53,0,0,0,0,0,0,0,15.85,0,12.49,0,0,295.24,0,0,14.91,14.26,11.25,3.18,0,0,11.55,0,0,18.11,0,93.03,1.35,0,0,119.56,0,402.73,0,0,0,0,0,0,2.46,0,0,0,0,0,0,51.86,0,0,0,0,98.44,0,37.29,0,0,0,0,0,0

5,01:00-01:15,65.8,0,0,31.6,0,0,0,0,0,230.91,0,0,41.8,0,8.53,0,0,0,0,0,0,0,15.85,0,12.49,0,0,277.93,0,0,14.01,14.26,11.25,1.6,0,0,11.55,0,0,18.11,0,93.03,1.35,0,0,119.56,0,402.73,0,0,0,0,0,0,2.46,0,0,0,0,0,0,51.86,0,0,0,0,98.44,0,37.29,0,0,0,0,0,0

6,01:15-01:30,65.8,0,0,31.6,0,0,0,0,0,230.91,0,0,41.8,0,8.53,0,0,0,0,0,0,0,15.85,0,12.49,0,0,257.74,0,0,14.6,14.26,11.25,1.6,0,0,11.55,0,0,18.11,0,93.03,1.35,0,0,119.56,0,402.73,0,0,0,0,0,0,2.46,0,0,0,0,0,0,51.86,0,0,0,0,98.44,0,37.29,0,0,0,0,0,0

7,01:30-01:45,65.8,0,0,31.6,0,0,0,0,0,230.91,0,0,41.8,0,8.53,0,0,0,0,0,0,0,0,0,12.49,0,0,251,0,0,14.16,14.26,11.25,1.6,0,0,11.55,0,0,18.11,0,93.03,1.35,0,0,119.56,0,402.73,0,0,0,0,0,0,2.46,0,0,0,0,0,0,51.86,0,0,0,0,98.44,0,37.29,0,0,0,0,0,0

8,01:45-02:00,65.8,0,0,31.6,0,0,0,0,0,230.91,0,0,41.8,0,8.53,0,0,0,0,0,0,0,0,0,12.49,0,0,243.31,0,0,12.92,14.26,11.25,1.6,0,0,11.55,0,0,18.11,0,93.03,1.35,0,0,119.56,0,402.73,0,0,0,0,0,0,2.46,0,0,0,0,0,0,51.86,0,0,0,0,98.44,0,37.29,0,0,0,0,0,0

9,02:00-02:15,78.42,0,0,31.6,0,0,0,0,0,230.91,0,0,41.8,0,8.53,0,0,0,0,0,0,0,0,0,12.49,0,0,229.85,0,0,11.53,14.26,11.25,1.28,0,0,11.55,0,0,4.27,0,93.03,1.35,0,0,119.56,0,402.73,0,0,0,0,0,0,2.46,0,0,0,0,0,0,51.86,0,0,0,0,98.44,0,37.29,0,0,0,0,0,0

