Column1,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/3428,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1475,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1899,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/2197,NR/2024/23952/A/44309,GNA/WR/2024/11/01/4200,NR/2024/24060/A/44494,WR/2024/25054/A/44497,NR/2024/24124/C,NR/2024/24097/A/44311,NR/2024/24088/A/44313,NR/2024/24123/C,NR/2024/24052/A/44317,NR/2024/24051/A/44318,NR/2024/24071/A/44316,Total
,,DELHI,NDMC,NDMC,APPCPL,PUNJAB,NDMC,BAWANA_GAS,NDMC,KSEB,PTC,PTC,NDMC,ITCLH,MANIKARAN,NVVNL,APPCPL,SJVNL,IEXL,IEXL,SJVNL,IEXL,IEXL,IEXL,
,,HIMACHAL_STATE,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,DELHI_UT,NA,KARNATAKA_STATE,KARNATAKA_STATE,NA,TELANGANA_State,TELANGANA_State,NA,
,,CHANJUII,RKM_POWER,SKS_Raigarh,BYPL,BAWANA_GAS,JPL2,BAWANA_GAS,TRN_ENERGY,BYPL,BRPL,BYPL,RKM_POWER,ITCWIND,BRPL,JITPL,BRPL,RSRPL_BKN,NSLSUGARALAND,NSLSTUNGBHDRA,TPSL_BKN2,NSLKSLWPRTY,NSLKSLWPRTY,TESPL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,KERALA_State,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,NDMC,NDMC,AEML,PUNJAB,NDMC,HARYANA,NDMC,KSEB,HP,HP,NDMC,ITCLH,AEML,NDMC,GOA_Beneficiary,NDMC,MES_Delhi,MES_Delhi,NDMC,MES_Delhi,MES_Delhi,MES_Delhi,
,,North-North,West-North,West-North,North-West,North-North,West-North,North-North,West-North,North-West-South,North-North,North-North,West-North,South-West-North,North-West,East-North,North-West,North-North,South-West-North,South-West-North,North-North,South-West-North,South-West-North,North-North,
1,00:00-00:15,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.2099999999999

2,00:15-00:30,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.2099999999999

