Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/1044,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/3109,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,GNA/NR/2025/07/01/8128,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/05/9146,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2786,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/2236,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/2997,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2020_06,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,0,0,0,0,30,30,86.82,5.9,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.93,-0,224.98,0,134.99,43.75,115.46,81.81,14.55,49.09,8.52,15.26,27.25,13.33,0,0,13.33,0,30.42,40.01,0,0,0,0,11.67,0,0,0,0

2,00:15-00:30,0,0,0,0,30,30,86.82,5.9,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.93,-0,224.98,0,134.99,43.75,115.46,81.81,14.55,49.09,8.52,15.26,27.76,13.33,0,0,13.33,0,29.62,40.01,0,0,0,0,11.67,0,0,0,0

3,00:30-00:45,0,0,0,0,30,30,86.82,0,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.93,-0,224.98,0,134.99,43.75,115.46,81.81,14.55,49.09,8.52,15.26,28.26,10.83,0,0,10.83,0,29.01,32.51,0,0,0,0,11.33,0,0,0,0

4,00:45-01:00,0,0,0,0,30,30,86.82,0,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.93,-0,224.98,0,134.99,43.75,115.46,81.81,14.55,49.09,8.52,15.26,28.77,10.83,0,0,10.83,0,28.21,32.51,0,0,0,0,11,0,0,0,0

5,01:00-01:15,0,0,0,0,30,26.17,86.82,0,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.47,-0,224.98,0,134.99,43.75,115.46,81.81,14.55,49.09,8.52,15.26,28.77,10.67,0,0,10.67,0,26.81,31.99,0,0,0,0,10.67,0,0,0,0

6,01:15-01:30,0,0,0,0,30,26.17,86.82,0,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.47,-0,224.98,0,134.99,43.75,115.46,81.81,14.55,49.09,8.52,15.26,28.77,10.33,0,0,10.33,0,25.41,31.01,0,0,0,0,10.33,0,0,0,0

7,01:30-01:45,0,0,0,0,26.94,26.94,86.82,0,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.47,-0,224.98,0,134.99,43.75,115.46,81.81,14.55,49.09,8.52,15.26,28.77,10,0,0,10,0,23.41,30,0,0,0,0,10,0,0,0,0

8,01:45-02:00,0,0,0,0,26.94,26.94,86.82,0,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.47,-0,224.98,0,134.99,43.75,115.46,81.81,14.55,49.09,8.52,15.26,28.77,9.67,0,0,9.67,0,21.61,28.99,0,0,0,0,10,0,0,0,0

9,02:00-02:15,0,0,0,0,26.94,26.94,86.82,0,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.47,-0,224.98,0,134.99,43.75,115.46,81.81,16.95,49.09,8.52,15.26,28.26,11.66,0,0,11.67,0,31.62,35,0,0,0,0,9.67,0,0,0,0

10,02:15-02:30,0,0,0,0,26.94,26.94,86.82,0,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.47,-0,224.98,0,134.99,43.75,115.46,81.81,16.95,49.09,8.52,15.26,28.26,11.34,0,0,11.33,0,31.02,34,0,0,0,0,9.33,0,0,0,0

11,02:30-02:45,0,0,0,0,26.94,26.94,86.82,0,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.47,-0,224.98,0,134.99,43.75,70.19,81.81,16.95,49.09,8.52,15.26,28.26,16.41,0,0,16.41,0,34.01,49.25,0,0,0,0,12.33,0,0,0,0

12,02:45-03:00,0,0,0,0,26.94,26.94,86.82,0,0,10.48,20.76,19.25,130.23,0,12.66,10.74,270.7,0,100.27,7.47,-0,224.98,0,134.99,43.75,70.19,81.81,16.95,49.09,8.52,15.26,29.27,15.95,0,0,15.95,0,34.01,47.85,0,0,0,0,12.16,0,0,0,0

13,03:00-03:15,0,0,0,0,26.94,26.94,66.92,0,0,10.48,20.76,19.25,130.23,0,11.73,10.59,270.7,0,100.27,7,-0,224.98,0,134.99,43.75,70.19,81.81,16.85,0,8.52,15.26,29.27,15.41,0,0,15.41,0,33.81,46.21,0,0,0,0,11.91,0,0,0,0

14,03:15-03:30,0,0,0,0,26.94,26.94,66.92,0,0,10.48,20.76,19.25,130.23,0,11.73,10.59,270.7,0,100.27,7,-0,224.98,0,134.99,43.75,70.19,81.81,16.85,0,8.52,15.26,29.27,14.78,0,0,14.78,0,33.61,44.33,0,0,0,0,11.57,0,0,0,0

15,03:30-03:45,0,0,0,0,26.94,26.94,66.92,0.47,0,10.48,20.76,19.25,130.23,0,11.73,10.59,270.7,0,100.27,7,-0,224.98,0,134.99,43.75,70.19,81.81,16.85,0,8.52,15.26,29.27,14.16,0,0,14.16,0,37.02,42.48,0,0,0,0,11.23,0,0,0,0

16,03:45-04:00,0,0,0,0,26.94,26.94,66.92,0.94,0,10.48,20.76,19.25,130.23,0,11.73,10.59,270.7,0,100.27,7,-0,224.98,0,134.99,43.75,70.19,81.81,16.85,0,8.52,15.26,29.27,13.5,0,0,13.5,0,36.82,40.52,0,0,0,0,10.83,0,0,0,0

