Block,Time,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/06022042/L_NR_2012_07,NR/01032024/22032024/HP-59,NR/01102023/30042040/GNA_LT_36,NR/01032024/22032024/HP-56,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01012024/31032024/ ChanjuII,NR/01032024/15032024/HP-62,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/22102023/11042047/L_NR_2021_16,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,SR/01032024/31032024/SJVN010324NR1590,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,SR/01032024/15032024/BYPL-APPCPL-KSEB,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,WR/01102023/01102023/L_NR_2020_06,NR/01032024/31032024/SJVN010324NR1588,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/01032024/31032024/SJVN010324NR1589
1,00:00-00:15,48.140000,52.630000,32.760000,0.000000,76.530000,26.690000,0.000000,1.030000,1.340000,81.830000,270.760000,0.000000,0.970000,26.690000,0.000000,47.170000,4.770000,98.210000,25.030000,229.480000,0,144.405000,14.33,0,11.66,0,0,0,96.27,37.67,0,0,0,43,0,0,0,0,0,96.27,7.01,0,48.14,14.34,0,37.67,0,0

2,00:15-00:30,48.140000,52.630000,32.760000,0.000000,76.530000,26.690000,0.000000,1.030000,1.340000,81.830000,270.760000,0.000000,0.970000,26.690000,0.000000,47.170000,4.770000,98.210000,25.030000,229.480000,0,144.405000,14.17,0,11.66,0,0,0,96.27,37.5,0,0,0,42.5,0,0,0,0,0,96.27,7.01,0,48.14,14.16,0,37.5,0,0

3,00:30-00:45,48.140000,52.630000,32.760000,0.000000,76.530000,26.690000,0.000000,1.030000,1.340000,91.460000,270.760000,0.000000,0.970000,26.690000,0.000000,47.170000,4.770000,98.210000,25.030000,200.600000,0,144.405000,14,0,11.66,0,0,0,96.27,37.17,0,0,0,42,0,0,0,0,0,96.27,7.01,0,48.14,14,0,37.17,0,0

4,00:45-01:00,48.140000,52.630000,32.760000,0.000000,76.530000,26.690000,0.000000,1.030000,1.340000,72.200000,270.760000,0.000000,0.970000,26.690000,0.000000,47.170000,4.770000,98.210000,25.030000,200.600000,0,144.405000,13.67,0,11.34,0,0,0,96.27,36.17,0,0,0,41,0,0,0,0,0,96.27,7.01,0,48.14,13.66,0,36.17,0,0

5,01:00-01:15,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.340000,57.760000,250.300000,0.000000,0.970000,26.690000,0.000000,35.100000,4.770000,98.210000,25.030000,173.940000,0,144.405000,13.33,0,11,0,0,0,96.27,35.17,0,0,0,40,0,0,0,0,0,96.27,7.01,0,48.14,13.34,0,35.17,0,0

6,01:15-01:30,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.340000,57.760000,231.050000,0.000000,0.970000,26.690000,0.000000,35.100000,4.770000,98.210000,25.030000,145.060000,0,144.405000,13,0,10.66,0,0,0,96.27,34.5,0,0,0,39,0,0,0,0,0,96.27,7.01,0,48.14,13,0,34.5,0,0

7,01:30-01:45,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.340000,52.950000,211.790000,0.000000,0.970000,26.690000,0.000000,35.100000,4.770000,98.210000,25.030000,145.060000,0,144.405000,12.5,0,10.34,0,0,0,96.27,32.83,0,0,0,37.5,0,0,0,0,0,96.27,7.01,0,48.14,12.5,0,32.83,0,0

8,01:45-02:00,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.340000,52.950000,192.540000,0.000000,0.970000,26.690000,0.000000,32.270000,4.770000,98.210000,25.030000,145.060000,0,144.405000,12.17,0,10,0,0,0,96.27,31.83,0,0,0,36.5,0,0,0,0,0,96.27,7.01,0,48.14,12.16,0,31.83,0,0

9,02:00-02:15,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.340000,52.950000,173.290000,0.000000,0.970000,26.690000,0.000000,28.020000,4.770000,98.210000,25.030000,145.060000,0,144.405000,12,0,8,0,0,0,96.27,23.33,0,0,0,36,0,0,0,0,0,96.27,7.01,0,48.14,12,0,23.33,0,0

10,02:15-02:30,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.340000,52.950000,148.910000,0.000000,0.970000,26.690000,0.000000,23.780000,4.770000,98.210000,25.030000,145.060000,0,144.405000,11.67,0,8,0,0,0,96.27,22.67,0,0,0,35,0,0,0,0,0,96.27,7.01,0,48.14,11.66,0,22.67,0,0

11,02:30-02:45,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.340000,52.950000,148.910000,0.000000,0.970000,26.690000,0.000000,19.530000,4.770000,98.210000,25.030000,145.060000,0,144.405000,11.33,0,9.9,0,0,0,96.27,25,0,0,0,34,0,0,0,0,0,96.27,7.01,0,48.14,11.34,0,25,0,0

12,02:45-03:00,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.340000,52.950000,148.910000,0.000000,0.970000,26.690000,0.000000,15.290000,4.770000,98.210000,25.030000,145.060000,0,144.405000,10.67,0,9.78,0,0,0,96.27,24.67,0,0,0,32,0,0,0,0,0,96.27,7.01,0,48.14,10.66,0,24.67,0,0

13,03:00-03:15,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,1.030000,1.340000,52.950000,148.910000,0.000000,0.970000,26.690000,0.000000,11.040000,4.690000,98.210000,24.070000,145.060000,0,144.405000,10.33,0,9.59,0,0,0,96.27,26.67,0,0,0,31,0,0,0,0,0,96.27,7.01,0,48.14,10.34,0,26.67,0,0

