Column1,Block,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/7459,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,GNA/SR/2025/04/01/2597,NR/2025/25792/A/62513,NR/2025/25794/A/62510,WR/2025/27369/A/62612,NR/2025/25828/A/62158,NR/2025/25885/C,WR/2025/27361/A/62545,NR/2025/25790/A/62519,WR/2025/27350/A/62152,NR/2025/25795/A/62507,NR/2025/25894/C,NR/2025/25791/A/62516,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/62072,Total
,,NDMC,IEXL,HPXL,DELHI,IEXL,PXIL,IEXL,IVPL_Trader,IEXL,IEXL,IEXL,APPCPL,APPCPL,APPCPL,MANIKARAN,DIAPL,DIAPL,APPCPL,APPCPL,KEIPL,APPCPL,TPDDL,APPCPL,BAWANA_GAS,PUNJAB,SECI_Trader,IEXL,
,,NA,SIKKIM_STATE,CSEB_State,HIMACHAL_STATE,SIKKIM_STATE,UTTARPRADESH_STATE,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,SIKKIM_STATE,SIKKIM_STATE,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,NA,NA,
,,JPL2,MEYONGCHU_HEP,MSPLTD,CHANJUII,Kalez_Khola_HEP,LAPL_UP,KGEPL_HP,BYPL,RHPPL_HP,RCHEP,LLHEP1234,BYPL,RKM_POWER,RKM_POWER,BYPL,GBHHPL,GBHHPL,BYPL,SKS_Raigarh,BYPL,TRN_ENERGY,JHAJJAR,JIPL,BAWANA_GAS,BAWANA_GAS,APSEPL_FTG,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,TPC_MSEB,BRPL,BRPL,BRPL,KSEB,NDMC,NDMC,CSEB_Beneficiary,DIAPL,DIAPL,CSEB_Beneficiary,NDMC,CSEB_Beneficiary,NDMC,TPDDL,NDMC,HARYANA,PUNJAB,TPDDL,MES_Delhi,
,,West-North,East-North,West-North,North-North,East-North,North-North,North-North,North-West,North-North,East-North,East-North,North-West-South,West-North,West-North,North-West,North-North,North-North,North-West,West-North,North-West,West-North,North-North,East-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,22.14,2.89,9.62,8.85,2.89,48.12,9.62,0,1.92,2.89,9.62,52.5,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,23.81,0,0,567.51

2,00:15-00:30,22.14,2.89,9.62,8.85,2.89,48.12,9.62,0,1.92,2.89,9.62,52.5,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,23.81,0,0,567.51

