Column1,Block,NR/2024/23414/A/39843,NR/2024/23384/A/39845,NR/2024/23503/C,NR/2024/23397/A/39928,NR/2024/23389/A/39879,NR/2024/23383/A/39828,NR/2024/23499/C,NR/2024/23215/A/39956,NR/2024/23501/C,NR/2024/23497/C,NR/2024/23356/A/39878,NR/2024/23480/C,NR/2024/23382/A/39974,NR/2024/23446/A/39970,GNA/NR/2024/10/04/7808,GNA/NR/2024/10/04/5483,NR/2024/23483/C,NR/2024/23498/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/04/6455,GNA/NR/2024/10/04/3394,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/4083,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/8106,Total
,,IEXL,IEXL,IEXL,DIAPL,SJVNL,ITCLH,IEXL,PTC,IEXL,HPXL,SJVNL,TPDDL,NVVNL,NVVNL,PXIL,IEXL,NVVNL,HPXL,DELHI,NDMC,NDMC,NDMC,HPXL,IEXL,PUNJAB,PTC,BAWANA_GAS,NDMC,NDMC,
,,KARNATAKA_STATE,KARNATAKA_STATE,MP_State,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,ODISHA_STATE,Meghalaya_State,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,
,,NSLSUGAR,NSLSUGAR,Continuum_WFDPL_MP,GBHHPL,RSRPL_BKN,ITCWIND,DBPL,HP,SINGOLI,JPNIGRIE_JNSTPP,TPSL_BKN2,JHAJJAR,JITPL,JITPL,AARTISTEEL,Meghalaya_Ben,SOLAPUR_SOLAR,HIRIYUR_OSTROKANNADA,CHANJUII,SKS_Raigarh,RKM_POWER,JPL2,ACBIL,SEIL,BAWANA_GAS,HP,BAWANA_GAS,RKM_POWER,TRN_ENERGY,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,
,,MES_Delhi,MES_Delhi,BYPL,DIAPL,NDMC,ITCLH,TPDDL,BYPL,BYPL,BYPL,NDMC,TPDDL,NDMC,NDMC,BRPL,BRPL,MES_Delhi,BYPL,TPDDL,NDMC,NDMC,NDMC,BRPL,BRPL,PUNJAB,BRPL,HARYANA,NDMC,NDMC,
,,South-West-North,South-West-North,West-North,North-North,North-North,South-West-North,West-North,North-North,North-North,West-North,North-North,North-North,East-North,East-North,East-North,North East-East-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,South-East-North,North-North,North-North,North-North,West-North,West-North,
1,00:00-00:15,0,6.76,21.7,2.9,0,0.58,96.64,18.12,81.18,0,0,173.95,24.89,0,0,218.41,0,20.29,6.74,12.45,39.62,39.62,0,0,32,54.36,32,39.62,12.45,934.2800000000001

2,00:15-00:30,0,6.76,21.8,2.9,0,0.58,96.64,18.12,81.18,0,0,173.95,24.89,0,0,221.31,0,20.29,6.74,12.45,39.62,39.62,0,0,32,54.36,32,39.62,12.45,937.2800000000001

3,00:30-00:45,0,6.76,21.88,2.9,0,0.58,96.64,18.12,81.18,0,0,173.95,24.89,0,0,222.27,0,20.29,6.74,12.45,39.62,39.62,0,0,14.68,54.36,14.68,39.62,12.45,903.68

4,00:45-01:00,0,6.76,23.4,2.9,0,0.58,96.64,18.12,81.18,0,0,173.95,24.89,0,0,225.17,0,17.4,6.74,12.45,39.62,39.62,0,0,14.68,54.36,14.68,39.62,12.45,905.2099999999999

5,01:00-01:15,0,6.76,25.06,2.9,0,0.53,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.64,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,483.65999999999985

6,01:15-01:30,0,6.76,24.29,2.9,0,0.53,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.64,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,482.8899999999999

7,01:30-01:45,0,6.76,22,2.9,0,0.53,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.64,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,480.5999999999999

8,01:45-02:00,0,6.76,20.74,2.9,0,0.53,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.64,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,479.3399999999999

9,02:00-02:15,0,6.76,20.45,2.9,0,0.48,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.64,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,478.9999999999999

10,02:15-02:30,0,6.76,20.16,2.9,0,0.48,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.64,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,478.7099999999999

11,02:30-02:45,0,6.76,19.68,2.9,0,0.48,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.64,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,478.2299999999999

12,02:45-03:00,0,6.76,19.37,2.9,0,0.48,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.64,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,477.91999999999985

13,03:00-03:15,0,6.76,19.16,2.9,0,0.43,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,477.6199999999999

14,03:15-03:30,0,6.76,18.88,2.9,0,0.43,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,477.3399999999999

15,03:30-03:45,0,6.76,18.45,2.9,0,0.43,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,476.90999999999997

16,03:45-04:00,0,6.76,18.52,2.9,0,0.43,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,476.9799999999999

17,04:00-04:15,0,6.76,18.06,2.9,0,0.43,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,476.51999999999987

18,04:15-04:30,0,6.76,17.91,2.9,0,0.43,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,476.3699999999999

19,04:30-04:45,0,6.76,17.38,2.9,0,0.43,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,475.8399999999999

20,04:45-05:00,0,6.76,17.08,2.9,0,0.43,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,475.53999999999996

21,05:00-05:15,0,6.76,17.01,2.9,0,0.48,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,475.52

22,05:15-05:30,0,6.76,16.91,2.9,0,0.48,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,475.41999999999996

23,05:30-05:45,0,6.76,16.84,2.9,0,0.48,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,475.3499999999999

24,05:45-06:00,0,6.76,16.68,2.9,0,0.48,0,18.12,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,54.36,16.78,37.33,12.45,475.18999999999994

25,06:00-06:15,0,6.76,16.35,2.9,0,0.53,0,0,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,402.42999999999995

26,06:15-06:30,0,6.76,16.1,2.9,0,0.53,0,0,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,402.17999999999995

27,06:30-06:45,0,6.76,15.7,2.9,0,0.53,0,0,0,0,0,173.95,24.89,0,0,0,0,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,401.77999999999986

28,06:45-07:00,0,6.76,15.29,2.9,0,0.53,0,0,0,0,0,173.95,24.89,0,0,0,0.07,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,401.43999999999994

29,07:00-07:15,0,6.76,15.09,2.9,0,0.58,0,0,0,0,0,173.95,24.89,0,0,0,0.55,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,401.76999999999987

30,07:15-07:30,0,6.76,14.56,2.9,0,0.58,0,0,0,0,0,173.95,24.89,0,0,0,0.85,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,401.53999999999985

31,07:30-07:45,0,6.76,14.02,2.9,0,0.58,0,0,0,0,0,173.95,24.89,0,0,0,1.08,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,401.2299999999999

32,07:45-08:00,0,6.76,13.76,2.9,0,0.58,0,0,0,0,0,173.95,24.89,0,0,0,1.3,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,401.18999999999994

33,08:00-08:15,0,6.76,13.46,2.9,0,0.97,0,0,0,0,0,222.27,24.89,0,0,0,1.84,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,450.1399999999999

34,08:15-08:30,0,6.76,13.48,2.9,0,0.97,0,0,0,0,0,222.27,24.89,0,0,0,3.93,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,452.2499999999999

35,08:30-08:45,0,6.76,12.83,2.9,0,0.97,0,0,0,0,0,222.27,24.89,0,0,0,5.84,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,453.5099999999999

36,08:45-09:00,0,6.76,12.15,2.9,0,0.97,0,0,0,0,0,222.27,24.89,0,0,0,5.48,0,6.6,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,452.4699999999999

37,09:00-09:15,6.76,0,11.36,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,5.75,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,504.8599999999999

38,09:15-09:30,6.76,0,10.99,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,4.25,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,502.9899999999999

39,09:30-09:45,6.76,0,10.15,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,3.63,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,501.52999999999986

40,09:45-10:00,6.76,0,9.08,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,4.02,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,500.8499999999999

41,10:00-10:15,6.76,0,8.23,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,5.19,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,501.16999999999985

42,10:15-10:30,6.76,0,7.58,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,6.07,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,501.39999999999986

43,10:30-10:45,6.76,0,6.95,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,8.49,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,503.1899999999998

44,10:45-11:00,6.76,0,6.47,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,8.63,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,502.8499999999999

45,11:00-11:15,6.76,0,6.18,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,8.78,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,502.7099999999998

46,11:15-11:30,6.76,0,5.92,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,8.88,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,502.54999999999984

47,11:30-11:45,6.76,0,5.62,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,8.83,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,502.1999999999998

48,11:45-12:00,6.76,0,5.57,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,4.74,0,6.46,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,498.05999999999983

49,12:00-12:15,6.76,0,5.54,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,5.91,0,6.37,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,499.1099999999999

50,12:15-12:30,6.76,0,5.53,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,7.02,0,6.37,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,500.2099999999999

51,12:30-12:45,6.76,0,5.52,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,3.85,0,6.37,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,497.03

52,12:45-13:00,6.76,0,5.46,2.9,42.52,0.87,0,0,0,0,10.63,222.27,0,24.89,0,0,7.04,0,6.37,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,500.15999999999997

53,13:00-13:15,6.76,0,5.3,2.9,42.52,0.77,0,0,0,0,10.63,222.27,0,24.89,0,0,7.39,0,6.37,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,500.2499999999999

54,13:15-13:30,6.76,0,5.38,2.9,42.52,0.77,0,0,0,0,10.63,222.27,0,24.89,0,0,8.59,0,6.37,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,501.52999999999986

55,13:30-13:45,6.76,0,5.61,2.9,42.52,0.77,0,0,0,0,10.63,222.27,0,24.89,0,0,8.13,0,6.37,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,501.29999999999995

56,13:45-14:00,6.76,0,5.44,2.9,42.52,0.77,0,0,0,0,10.63,222.27,0,24.89,0,0,8.67,0,6.37,12.45,37.33,37.33,0,0,16.78,0,16.78,37.33,12.45,501.66999999999996

57,14:00-14:15,6.76,0,5.53,2.9,42.52,0.92,0,0,0,0,10.63,222.27,0,24.89,0,0,8.41,0,6.46,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,508.60999999999996

58,14:15-14:30,6.76,0,5.8,2.9,42.52,0.92,0,0,0,0,10.63,222.27,0,24.89,0,0,8.01,0,6.46,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,508.47999999999996

59,14:30-14:45,6.76,0,5.58,2.9,42.52,0.92,0,0,0,0,10.63,222.27,0,24.89,0,0,7.57,0,6.46,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,507.82

60,14:45-15:00,6.76,0,5.58,2.9,42.52,0.92,0,0,0,0,10.63,222.27,0,24.89,0,0,7.34,0,6.46,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,507.59

61,15:00-15:15,6.76,0,5.81,2.9,42.52,0.92,0,0,0,0,10.63,222.27,0,24.89,0,0,5.74,0,6.6,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,506.35999999999996

62,15:15-15:30,6.76,0,6.04,2.9,42.52,0.92,0,0,0,0,10.63,222.27,0,24.89,0,0,5.99,0,6.6,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,506.84

63,15:30-15:45,6.76,0,6.56,2.9,42.52,0.92,0,0,0,0,10.63,222.27,0,24.89,0,0,5.8,0,6.6,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,507.17

64,15:45-16:00,6.76,0,6.42,2.9,42.52,0.92,0,0,0,0,10.63,222.27,0,24.89,0,0,4.95,0,6.6,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,506.18

65,16:00-16:15,0,6.76,6.05,2.9,42.52,0.77,0,0,0,0,10.63,222.27,24.89,0,0,0,4.54,0,6.74,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,505.39000000000004

66,16:15-16:30,0,6.76,7.15,2.9,42.52,0.77,0,0,0,0,10.63,222.27,24.89,0,0,0,3.89,0,6.74,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,505.84

67,16:30-16:45,0,6.76,8.18,2.9,35.27,0.77,0,0,0,0,10.63,222.27,24.89,0,0,0,3.33,0,6.74,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,499.06

68,16:45-17:00,0,6.76,8.93,2.9,28.03,0.77,0,0,0,0,10.63,222.27,24.89,0,0,0,2.78,0,6.74,12.45,39.62,39.62,0,0,16.78,0,16.78,39.62,12.45,492.0199999999999

69,17:00-17:15,0,6.76,7.94,2.9,0,0.72,96.64,0,0,48.32,0,222.27,29.28,0,0,58.95,1.96,0,6.74,12.45,39.62,39.62,0,96.64,14.67,0,14.67,39.62,12.45,752.2199999999999

70,17:15-17:30,0,6.76,8.02,2.9,0,0.72,96.64,0,0,48.32,0,222.27,29.28,0,0,46.39,0.79,0,6.74,12.45,39.62,39.62,0,96.64,14.67,0,14.67,39.62,12.45,738.5699999999999

71,17:30-17:45,0,6.76,7.95,2.9,0,0.72,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,42.52,0.43,0,6.74,12.45,39.62,39.62,0,96.64,14.67,0,14.67,39.62,12.45,854.1099999999999

72,17:45-18:00,0,6.76,8.54,2.9,0,0.72,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,41.56,0.18,0,6.74,12.45,39.62,39.62,0,96.64,14.67,0,14.67,39.62,12.45,853.4899999999999

73,18:00-18:15,0,6.76,8.87,2.9,0,0.72,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,95.67,0,6.76,6.74,12.45,39.62,39.62,24.16,96.64,0,0,32,39.62,12.45,941.3299999999999

74,18:15-18:30,0,6.76,8.85,2.9,0,0.72,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,97.61,0,6.76,6.74,12.45,39.62,39.62,24.16,96.64,0,0,32,39.62,12.45,943.25

75,18:30-18:45,0,6.76,8.89,2.9,0,0.72,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,103.4,0,6.76,6.74,12.45,39.62,39.62,24.16,96.64,0,0,32,39.62,12.45,949.08

76,18:45-19:00,0,6.76,10.23,2.9,0,0.72,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,107.27,0,6.76,6.74,12.45,39.62,39.62,24.16,96.64,0,0,32,39.62,12.45,954.29

77,19:00-19:15,0,6.76,11.79,2.9,0,0.68,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,196.18,0,6.76,6.64,12.45,39.62,39.62,24.16,96.64,32,0,32,39.62,12.45,1076.6199999999997

78,19:15-19:30,0,6.76,13.16,2.9,0,0.68,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,200.04,0,6.76,6.64,12.45,39.62,39.62,24.16,96.64,32,0,32,39.62,12.45,1081.8499999999997

79,19:30-19:45,0,6.76,13.56,2.9,0,0.68,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,203.91,0,6.76,6.64,12.45,39.62,39.62,24.16,96.64,32,0,32,39.62,12.45,1086.12

80,19:45-20:00,0,6.76,14.26,2.9,0,0.68,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,208.74,0,6.76,6.64,12.45,39.62,39.62,24.16,96.64,32,0,32,39.62,12.45,1091.6499999999999

81,20:00-20:15,0,6.76,14.4,2.9,0,0.68,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,219.37,0,11.6,6.55,12.45,39.62,39.62,24.16,96.64,32,0,32,39.62,12.45,1107.1699999999998

82,20:15-20:30,0,6.76,15.71,2.9,0,0.68,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,225.17,0,11.6,6.55,12.45,39.62,39.62,24.16,96.64,32,0,32,39.62,12.45,1114.28

83,20:30-20:45,0,6.76,16.49,2.9,0,0.68,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,230,0,14.5,6.55,12.45,39.62,39.62,24.16,96.64,32,0,32,39.62,12.45,1122.7899999999997

84,20:45-21:00,0,6.76,17.64,2.9,0,0.68,96.64,0,81.18,48.32,0,222.27,29.28,0,38.66,231.94,0,14.5,6.55,12.45,39.62,39.62,24.16,96.64,32,0,32,39.62,12.45,1125.8799999999999

85,21:00-21:15,0,6.76,18.58,2.9,0,0.72,96.64,0,81.18,48.32,0,222.27,24.89,0,38.66,227.1,0,14.5,6.37,12.45,39.62,39.62,24.16,96.64,32,0,32,39.62,12.45,1117.45

86,21:15-21:30,0,6.76,18.62,2.9,0,0.72,96.64,0,81.18,48.32,0,222.27,24.89,0,38.66,232.9,0,14.5,6.37,12.45,39.62,39.62,24.16,96.64,32,0,32,39.62,12.45,1123.2899999999997

87,21:30-21:45,0,6.76,19.96,2.9,0,0.72,96.64,0,81.18,48.32,0,222.27,24.89,0,38.66,226.14,0,14.5,6.37,12.45,39.62,39.62,24.16,96.64,32,0,0,39.62,12.45,1085.87

88,21:45-22:00,0,6.76,21.59,2.9,0,0.72,96.64,0,81.18,48.32,0,222.27,24.89,0,38.66,219.37,0,17.4,6.37,12.45,39.62,39.62,24.16,96.64,32,0,0,39.62,12.45,1083.6299999999999

89,22:00-22:15,0,6.76,19.4,2.9,0,0.68,96.64,18.12,81.18,48.32,0,222.27,24.89,0,38.66,219.37,0,20.29,6.27,12.45,39.62,39.62,24.16,96.64,14.67,54.36,14.67,39.62,12.45,1154.0099999999998

90,22:15-22:30,0,6.76,18.97,2.9,0,0.68,96.64,18.12,81.18,48.32,0,222.27,24.89,0,38.66,224.2,0,20.29,6.27,12.45,39.62,39.62,24.16,96.64,14.67,54.36,14.67,39.62,12.45,1158.4099999999999

91,22:30-22:45,0,6.76,19.78,2.9,0,0.68,96.64,18.12,81.18,48.32,0,222.27,24.89,0,38.66,227.1,0,20.29,6.27,12.45,39.62,39.62,24.16,96.64,14.67,54.36,14.67,39.62,12.45,1162.12

92,22:45-23:00,0,6.76,19.67,2.9,0,0.68,96.64,18.12,81.18,48.32,0,222.27,24.89,0,38.66,230,0,20.29,6.27,12.45,39.62,39.62,24.16,96.64,14.67,54.36,14.67,39.62,12.45,1164.91

93,23:00-23:15,0,6.76,20.17,2.9,0,0.58,96.64,18.12,81.18,48.32,0,222.27,24.89,0,38.66,225.17,0,20.29,6.18,12.45,39.62,39.62,24.16,96.64,14.67,54.36,14.67,39.62,12.45,1160.3899999999999

94,23:15-23:30,0,6.76,20.28,2.9,0,0.58,96.64,18.12,81.18,48.32,0,222.27,24.89,0,38.66,219.37,0,20.29,6.18,12.45,39.62,39.62,24.16,96.64,14.67,54.36,14.67,39.62,12.45,1154.6999999999998

95,23:30-23:45,0,6.76,20.75,2.9,0,0.58,96.64,18.12,81.18,48.32,0,222.27,24.89,0,38.66,214.54,0,20.29,6.18,12.45,39.62,39.62,24.16,96.64,14.67,54.36,14.67,39.62,12.45,1150.3399999999997

96,23:45-24:00,0,6.76,20.92,2.9,0,0.58,96.64,18.12,81.18,48.32,0,222.27,24.89,0,38.66,209.71,0,20.29,6.18,12.45,39.62,39.62,24.16,96.64,14.67,54.36,14.67,39.62,12.45,1145.6799999999998

