Column1,Block,GNA/NR/2025/06/01/7762,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/9719,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/27934/C,SR/2025/17280/C,NR/2025/27726/A/77546,NR/2025/27971/C,NR/2025/27936/C,NR/2025/27977/C,NR/2025/27907/C,NR/2025/27908/C,NR/2025/26777/A/77167,NR/2025/27728/A/77544,NR/2025/27359/A/77473,NR/2025/27927/C,NR/2025/27967/C,NR/2025/27859/C,NR/2025/26860/A/77257,NR/2025/27727/A/77543,NR/2025/26975/A/77556,NR/2025/27946/C,NR/2025/27974/C,NR/30092023/31122025/SH-07,NR/2025/27947/C,NR/2025/27976/C,NR/2025/27948/C,NR/2025/26570/A/77524,NR/2025/27360/A/77471,NR/2025/27281/A/77640,NR/2025/27157/A/77126,NR/2025/27906/C,NR/2025/27167/A/77234,NR/2025/27088/A/77616,NR/2025/27162/A/77553,NR/2025/26952/A/77047,NR/2025/26785/A/77093,NR/2025/27361/A/77469,NR/2025/27499/A/77526,NR/2025/26861/A/77491,NR/2025/27462/A/77089,NR/2025/26889/A/77527,NR/2025/27725/A/77548,NR/2025/26564/A/77522,NR/2025/27724/A/77170,NR/2025/26563/A/77521,NR/2025/27242/A/77258,NR/2025/27898/C,NR/2025/26085/A/77063,NR/2025/26561/A/77520,NR/2025/27782/A/77542,NR/2025/27860/C,NR/2025/27895/C,NR/2025/27168/A/77235,NR/2025/27857/C,NR/2025/27393/A/77467,NR/2025/26445/A/77620,NR/2025/26569/A/77523,NR/2025/27622/A/77173,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/77476,Total
,,PTC,PUNJAB,KEIPL,MANIKARAN,INSTINCT,PTC,SIMHAPURI,APPCPL,NDMC,PowerPulse,APPCPL,NVVNL,DELHI,APPCPL,HPXL,APPCPL,APPCPL,APPCPL,APPCPL,PowerPulse,PowerPulse,INSTINCT,APPCPL,BRPL,INSTINCT,APPCPL,IEXL,BRPL,APPCPL,APPCPL,NVVNL,APPCPL,BAWANA_GAS,NVVNL,APPCPL,NVVNL,PowerPulse,BRPL,MANIKARAN,KEIPL,PowerPulse,PTC,NVVNL,APPCPL,PXIL,IEXL,BRPL,HPXL,PowerPulse,IEXL,HPXL,APPCPL,PowerPulse,DIAPL,PowerPulse,GMRETL,BRPL,ITCLH,PowerPulse,APPCPL,IEXL,PXIL,PTC,MANIKARAN,BRPL,NVVNL,PowerPulse,IEXL,SECI_Trader,BRPL,
,,ODISHA_STATE,DELHI_UT,CSEB_State,MP_State,NA,TELANGANA_State,NA,CSEB_State,NA,NA,NA,NA,HIMACHAL_STATE,Manipur_State,DELHI_UT,NA,NA,CSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,Manipur_State,NA,NA,DELHI_UT,NA,NA,NA,NA,NA,CSEB_State,CSEB_State,NA,GoHP_Chamera1_STATE,NA,CSEB_State,NA,NA,NA,JK_and_LADAKH_UT,NA,MSEB_State,MSEB_State,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,GoHP_Rampur_STATE,CSEB_State,NA,NA,NA,NA,NA,NA,
,,NBVL_OTCL,BAWANA_GAS,CSPDCL,BLAPOWER_MP,SIMHAPURI,NAVABHARAT,SIMHAPURI,CSPDCL,JIPL,COASTGEN,DBPL,JHABUA_IPP,CHANJUII,Manipur_Ben,BYPL,RKM_POWER,RKM_POWER,CSEB_Beneficiary,RKM_POWER,MAHAN_ENERGEN,APL_Raipur_TPP,JPL2,RKM_POWER,RIHAND1,JPL2,SKS_Raigarh,JSWEL_MSEB,JPL2,JPL2,Manipur_Ben,ILFS,JPL2,BAWANA_GAS,Kameng,TRN_ENERGY,SORANG_HEP,APL_Raigarh_TPP,RIHAND2,CSEB_Beneficiary,CSEB_Beneficiary,APL_Raigarh_TPP,GoHP_Chamera1,ILFS,CSEB_Beneficiary,MBMP,MBMP,RIHAND3,O2Z,COASTGEN,JSWEL_MSEB,GRETAENERGY,SKS_Raigarh,MAHAN_ENERGEN,GBHHPL,MAHAN_ENERGEN,GBHHPL,JPL2,ITCWIND,APL_Raipur_TPP,TRN_ENERGY,MBMP,MBMP,GoHP_Rampur,CSEB_Beneficiary,DADRT2,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,TPSL_BKN2,APSEPL_FTG,TS1PL_BKN,
,,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,TPDDL,BYPL,TANGEDCO,NDMC,NDMC,BYPL,NDMC,TPDDL,TPDDL,BRPL,NDMC,BRPL,BRPL,NDMC,MES_Delhi,BRPL,NDMC,BYPL,BRPL,NDMC,HARYANA,TPDDL,NDMC,TPDDL,TPDDL,BRPL,BYPL,BYPL,TPDDL,BRPL,BRPL,BYPL,BRPL,NDMC,BRPL,BYPL,BRPL,MES_Delhi,BYPL,NDMC,TPDDL,DIAPL,TPDDL,BRPL,BRPL,ITCLH,TPDDL,NDMC,NDMC,BRPL,BRPL,BYPL,BRPL,TPDDL,TPDDL,MES_Delhi,TPDDL,BRPL,
,,East-West-North,North-North,West-North,West-North,South-West-North,South-West-North,South-East-North,West-North,East-North,South-West-North,West-North,West-North,North-North,North East-East-North,North-West-South,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,South-West-North,West-North,North-North,North East-East-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,North-North,North-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,20.51,32,11.9,20.51,41.02,53.33,41.02,11.89,17.37,0,41.02,20.51,11.82,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,0,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,8.69,164.08,9.65,5.79,8.77,0,10.62,144.78,41.02,0,0.68,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2379.76

2,00:15-00:30,20.51,32,11.9,20.51,41.02,53.33,41.02,11.89,17.37,0,41.02,20.51,11.82,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,0,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,8.69,164.08,9.65,5.79,8.77,0,10.62,144.78,41.02,0,0.68,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2379.76

3,00:30-00:45,20.51,30,11.9,20.51,41.02,53.33,41.02,11.89,17.37,0,41.02,20.51,10.53,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,25.64,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,8.69,164.08,9.65,5.79,8.77,0,10.62,144.78,41.02,0,0.68,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2402.11

4,00:45-01:00,20.51,30,11.9,20.51,41.02,53.33,41.02,11.89,17.37,0,41.02,20.51,10.53,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,25.64,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,8.69,164.08,9.65,5.79,8.77,0,10.62,144.78,41.02,0,0.68,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2402.11

5,01:00-01:15,20.51,26.7,11.9,20.51,41.02,53.33,41.02,11.89,17.37,0,41.02,20.51,10.43,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,26.7,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,8.69,164.08,9.65,5.79,8.77,0,10.62,144.78,41.02,0,0.68,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2399.7700000000004

6,01:15-01:30,20.51,26.7,11.9,20.51,41.02,53.33,41.02,11.89,17.37,0,41.02,20.51,10.43,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,26.7,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,8.69,164.08,9.65,5.79,8.77,0,10.62,144.78,41.02,0,0.68,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2399.7700000000004

7,01:30-01:45,20.51,26.7,11.9,20.51,41.02,53.33,41.02,11.89,17.37,0,41.02,20.51,10.43,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,26.7,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,8.69,164.08,9.65,5.79,8.77,0,10.62,144.78,41.02,0,0.68,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2399.7700000000004

8,01:45-02:00,20.51,26.7,11.9,20.51,41.02,53.33,41.02,11.89,17.37,0,41.02,20.51,10.43,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,26.7,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,8.69,164.08,9.65,5.79,8.77,0,10.62,144.78,41.02,0,0.68,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2399.7700000000004

9,02:00-02:15,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,10.35,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,26.94,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,144.78,41.02,0,0.63,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2385.6400000000003

10,02:15-02:30,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,10.35,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,26.94,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,144.78,41.02,0,0.63,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2385.6400000000003

11,02:30-02:45,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,10.35,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,26.94,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,144.78,41.02,0,0.63,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2385.6400000000003

12,02:45-03:00,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,10.35,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,27.03,0,0,26.94,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,144.78,41.02,0,0.63,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2385.6400000000003

13,03:00-03:15,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,10.16,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,144.78,41.02,0,0.53,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2364.1099999999997

14,03:15-03:30,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,10.16,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,144.78,41.02,0,0.53,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2364.1099999999997

15,03:30-03:45,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,10.16,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,144.78,41.02,0,0.53,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2364.1099999999997

16,03:45-04:00,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,10.16,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,217.07,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,144.78,41.02,0,0.53,144.78,8.77,0,0,20.51,0,111,96.52,144.78,0,0,0,2364.1099999999997

17,04:00-04:15,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.98,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,0,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,0,0,0,0.53,144.78,8.77,0,0,20.51,0,111,96.52,0,0,0,0,1816.2799999999997

18,04:15-04:30,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.98,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,0,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,0,0,0,0.53,144.78,8.77,0,0,20.51,0,111,96.52,0,0,0,0,1816.2799999999997

19,04:30-04:45,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.98,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,0,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,0,0,0,0.53,144.78,8.77,0,0,20.51,0,111,96.52,0,0,0,0,1816.2799999999997

20,04:45-05:00,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.98,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,0,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,0,0,0,0.53,144.78,8.77,0,0,20.51,0,111,96.52,0,0,0,0,1816.2799999999997

21,05:00-05:15,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.79,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,0,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,0,0,0,0.63,144.78,8.77,0,0,20.51,0,111,96.52,0,0,0,0,1816.19

22,05:15-05:30,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.79,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,0,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,0,0,0,0.63,144.78,8.77,0,0,20.51,0,111,96.52,0,0,0,0,1816.19

23,05:30-05:45,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.79,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,0,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,10.62,0,0,0,0.63,144.78,8.77,0,0,20.51,0,111,96.52,0,0,0,0,1816.19

24,05:45-06:00,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.79,0,0,26.32,0,0,0,0,0,164.08,26.32,33.78,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,28.96,24.85,0,0,20.51,164.08,55.92,0,0,38.61,0,0,9.65,0,8.77,0,9.65,0,0,0,0.63,144.78,8.77,0,0,20.51,0,111,96.52,0,0,0,0,1815.2200000000003

25,06:00-06:15,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.7,0,0,26.32,0,0,0,0,0,164.08,26.32,0,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,8.77,0,9.65,0,0,0,0.68,144.78,8.77,0,0,20.51,0,0,96.52,0,0,0.61,1,1604.44

26,06:15-06:30,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.7,0,0,26.32,0,0,0,0,0,164.08,26.32,0,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,8.77,0,9.65,0,0,0,0.68,144.78,8.77,0,0,20.51,0,0,96.52,0,0,1.29,4,1608.1200000000001

27,06:30-06:45,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.7,0,0,26.32,0,0,0,0,0,164.08,26.32,0,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,8.77,0,9.65,0,0,0,0.68,144.78,8.77,0,0,20.51,0,0,96.52,0,0,4.31,7,1614.14

28,06:45-07:00,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.7,0,0,26.32,0,0,0,0,0,164.08,26.32,0,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,8.77,0,9.65,0,0,0,0.68,144.78,8.77,0,0,20.51,0,0,96.52,0,0,7.19,14,1624.0200000000002

29,07:00-07:15,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.6,0,0,26.32,0,0,0,0,0,164.08,26.32,0,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,8.77,0,9.65,0,0,0,0.87,144.78,8.77,0,0,20.51,0,0,96.52,0,0,10.81,25,1638.73

30,07:15-07:30,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.6,0,0,26.32,0,0,0,0,0,164.08,26.32,0,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,8.77,0,9.65,0,0,0,0.87,144.78,8.77,0,0,20.51,0,0,96.52,0,0,15.5,35,1653.42

31,07:30-07:45,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.6,0,0,26.32,0,0,0,0,0,164.08,26.32,0,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,8.77,0,9.65,0,0,0,0.87,144.78,8.77,0,0,20.51,0,0,96.52,0,0,21.08,32,1656

32,07:45-08:00,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.6,0,0,26.32,0,0,0,0,0,164.08,26.32,0,0,0,0,90.25,26.32,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,8.77,0,9.65,0,0,0,0.87,144.78,8.77,0,0,20.51,0,0,96.52,0,0,27.27,42,1672.19

33,08:00-08:15,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.6,0,0,30.25,0,0,0,0,0,164.08,30.25,0,0,0,0,90.25,43.87,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,14.62,0,9.65,0,0,0,0.97,144.78,14.62,0,0,20.51,0,0,96.52,0,5.79,33.94,46,1725.86

34,08:15-08:30,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.6,0,0,30.25,0,0,0,0,0,164.08,30.25,0,0,0,0,90.25,43.87,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,14.62,0,10.62,0,0,0,0.97,144.78,14.62,0,0,20.51,0,0,96.52,0,5.79,40.65,56,1743.5399999999997

35,08:30-08:45,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.6,0,0,30.25,0,0,0,0,0,164.08,30.25,0,0,0,0,90.25,43.87,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,14.62,0,10.62,0,0,0,0.97,144.78,14.62,0,0,20.51,0,0,96.52,0,5.79,47.35,70,1764.2399999999996

36,08:45-09:00,20.51,26.94,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.6,0,0,30.25,0,0,0,0,0,164.08,30.25,0,0,0,0,90.25,43.87,5.79,0,0,26.94,164.33,0,27.99,0,0,24.85,0,0,20.51,164.08,55.92,0,0,0,0,0,9.65,0,14.62,0,10.62,0,0,0,0.97,144.78,14.62,0,0,20.51,0,0,96.52,0,5.4,54.18,81,1781.6799999999998

37,09:00-09:15,20.51,26.95,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.52,5.79,0,0,30.25,55.92,30.25,0,128.97,0,0,0,164.08,14.62,9.65,0,0,0,164.08,43.87,26.95,164.33,14.62,27.99,0,0,0,0,0,20.51,0,0,0,0,0,0,0,0,0,0,0,10.62,0,0,90.25,0.97,15.81,0,53.09,0,20.51,24.85,0,96.52,0,8.08,60.82,63,1826.0299999999993

38,09:15-09:30,20.51,26.95,11.9,20.51,41.02,53.33,41.02,11.89,17.37,164.08,41.02,20.51,9.52,5.79,0,0,30.25,55.92,30.25,0,128.97,0,0,0,164.08,14.62,9.65,0,0,0,164.08,43.87,26.95,164.33,14.62,27.99,0,0,0,0,0,20.51,0,0,0,0,0,0,0,0,0,0,0,11.58,0,0,90.25,0.97,15.81,0,53.09,0,20.51,24.85,0,96.52,0,8.69,66.48,77,1847.2599999999995

