Time,Block,NR/01072024/31072024/R2,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20688/A/29039,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/27072024/27072024/IEX_240726-01729,NR/2024/21339/A/28974,NR/2024/21210/A/28978,NR/2024/20574/A/29225,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/2024/21715/A/28798,NR/2024/21146/A/29021,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/22009/C,NR/2024/21156/A/29024,NR/30092023/26122029/SH-06,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21141/A/28988,NR/2024/21183/A/29292,NR/2024/21199/A/29003,NR/2024/21023/A/29004,NR/2024/21108/A/29255,NR/2024/21142/A/28980,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/27072024/27072024/HPX-TAMCTG-270724-01870,NR/2024/21942/C,NR/2024/21227/A/29256,NR/2024/21075/A/29294,NR/2024/21967/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/20966/A/28926,NR/2024/21152/A/28925,NR/2024/21682/A/29316,NR/2024/21089/A/29240,NR/2024/22002/C,NR/2024/20573/A/29226,NR/2024/21087/A/29038,NR/2024/21096/A/29258,NR/2024/21072/A/29242,NR/2024/21144/A/29001,NR/2024/19779/A/28920,NR/2024/21148/A/29015,NR/2024/20711/A/29334,NR/2024/21103/A/29257,NR/2024/21159/A/29014,NR/2024/21076/A/29291,NR/2024/21958/C,NR/2024/21153/A/29025,NR/2024/21567/A/29238,NR/2024/21952/C,NR/2024/21173/A/29037,NR/2024/21062/A/29221,NR/2024/21099/A/28982,NR/2024/21238/A/29295,NR/2024/21158/A/29023,NR/2024/21986/C,NR/2024/20931/A/29198,NR/2024/21150/A/29020,NR/2024/21160/A/29022,NR/2024/21186/A/29252,NR/2024/21113/A/29239,NR/2024/21941/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total
,,PTC,TPTCL,TPTCL,GMRETL,MEJA,INSTINCT,INSTINCT,IEXL,TPTCL,TPTCL,PTC,NDMC,BAWANA_GAS,DIAPL,BAL184,NDMC,PXIL,UHL,PUNJAB,DELHI,TPDDL,TPTCL,MANIKARAN,INSTINCT,INSTINCT,APPCPL,TPTCL,APPCPL,HPXL,NVVNL,APPCPL,MANIKARAN,HPXL,AEL,IEXL,IEXL,TPDDL,NVVNL,PXIL,PTC,GMRETL,APPCPL,NVVNL,DTCP,ITCLH,BAL224,TPDDL,APPCPL,MHIL,MANIKARAN,IEXL,JHPL-DL,NVVNL,NVVNL,GMRETL,PTC,TPTCL,MANIKARAN,MSSH,IEXL,AEL,BAL234,BMDRC,NVVNL,NVVNL,NVVNL,SECI_Trader,SECI_Trader,Total

,,NA,NA,NA,RAJASTHAN,UTTAR PRADESH,MAHARASHTRA,NA,KARNATAKA,NA,NA,HIMACHAL PRADESH,NA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,WEST BENGAL,HIMACHAL PRADESH,DELHI,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,MP,MAHARASHTRA,NA,MANIPUR,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,NA,NAGALAND,GOA,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,KERALA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,NA,UTTARAKHAND,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,NA,ODISHA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,NA,NA,NA,NA,
,,SEILP2,MPL,JITPL,RUVNL,MEJA,JPL_DHULE,JPL,KPTCL,JITPL,SIMHAPURI,HP,JITPL,BAWANA_GAS,GBHHPL,SHPPBPL,SKS Raigarh,WBSEDCL,SHPPBPL,BAWANA_GAS,MSEB_Beneficiary,CHANJUII,TPC MSEB,BLAPOWER_MP,JPL_DHULE,JPL,Manipur_Ben,HP-GOVT,Arunachal_Ben,MAHAN_ENERGEN_U1,KAMENG,Nagaland_Ben,GOA_Beneficiary,GBHHPL,APL_Raigarh TPP,A_A_Energy_MH_Bio,NHCPL_HP,JHAJJAR,RKM_POWER,MAHAN_ENERGEN_U1,HP,GBHHPL,KSEB,RKM_POWER,SHPPBPL,ITCWIND,SHPPBPL,JPL-2,UTTARAKHAND,SHPPBPL,AEML,RKM_POWER,SHPPBPL,TRN_ENERGY,SORANG_HEP,GMRKEL (STU),SEILP2,ACBIL,MMS STEEL TN,SHPPBPL,PCKL,APL_Raigarh TPP,SHPPBPL,SHPPBPL,JP BINA,JPL-2,SOLAPUR_SOLAR,SBSRPC11PL_BKN,SBSRPC11PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,TPDDL,BRPL,BYPL,DELHI,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,NDMC,HARYANA,DIAPL,BAL184,NDMC,BRPL,UHL,PUNJAB,TPDDL,TPDDL,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BYPL,BRPL,BYPL,BRPL,MES (Delhi),MES (Delhi),TPDDL,NDMC,BRPL,BRPL,BRPL,BYPL,NDMC,DTCP,ITCLH,BAL224,TPDDL,BYPL,MHIL,BYPL,BRPL,JHPL-DL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,MSSH,BRPL,BRPL,BAL234,BMDRC,TPDDL,NDMC,MES (Delhi),TPDDL,BYPL,
,,South-West-North,East-North,East-North,North-North,North-North,West-North,West-North,South-West-North,East-North,South-West-North,North-North,East-North,North-North,North-North,North-North,West-North,East-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,North East-East-North,West-North,North East-East-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,North-North,West-North,West-East-North,North-North,North-North,South-West-North,West-North,North-North,South-West-North,North-North,West-North,North-North,North-North,West-North,West-North,North-North,West-North,North-North,East-North,South-East-North,West-North,South-West-North,North-North,South-East-West-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,32.000000,9.650000,0.360000,12.420000,0.000000,0.610000,32.000000,0.000000,12.980000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,12.200000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.630000,0.520000,96.460000,84.090000,0.880000,90.670000,96.460000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1900.46

2,00:15-00:30,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,32.000000,9.650000,0.360000,12.420000,0.000000,0.610000,32.000000,0.000000,12.980000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,12.200000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.630000,0.520000,96.460000,84.090000,0.880000,90.670000,96.460000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1900.46
