Block,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11
1,00:00-00:15,0,0,39.51,48.55,0,7.41,0,0,0,48.55,0,0,10.16,13.17,0,13.16,0,0,0,30.920000,0.000000,28.950000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,70.830000,117.890000,30.920000,4.150000

2,00:15-00:30,0,0,40.32,49.21,0,7.41,0,0,0,49.21,0,0,10.67,13.44,0,13.43,0,0,0,30.920000,0.000000,28.950000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,70.830000,117.890000,30.920000,4.150000

3,00:30-00:45,0,0,40.82,49.66,0,8.61,0,0,0,49.66,0,0,11.2,13.61,0,13.59,0,0,0,30.920000,0.000000,28.950000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,70.830000,117.890000,30.920000,4.150000

4,00:45-01:00,0,0,40.92,50.21,0,13.64,0,0,0,50.21,0,0,11.68,13.64,0,13.64,0,0,0,30.920000,0.000000,28.950000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,70.830000,117.890000,30.920000,4.150000

5,01:00-01:15,0,0,41.83,46.64,0,14.16,0,0,0,46.64,0,0,9.94,13.94,0,13.95,0,0,0,30.920000,0.000000,27.980000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,70.830000,117.890000,30.920000,4.150000

6,01:15-01:30,0,0,42.3,47.91,0,14.74,0,0,0,47.91,0,0,10.38,14.1,0,14.1,0,0,0,30.920000,0.000000,27.980000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,70.830000,117.890000,30.920000,4.150000

7,01:30-01:45,0,0,42.83,61.09,0,15.34,0,0,0,61.09,0,0,15.21,14.28,0,14.27,0,0,0,30.920000,0.000000,27.980000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,65.710000,117.890000,30.920000,4.150000

8,01:45-02:00,0,0,44.14,61.87,0,16.07,0,0,0,61.87,0,0,15.42,14.71,0,14.72,0,0,0,30.920000,0.000000,27.980000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,65.710000,117.890000,30.920000,4.150000

9,02:00-02:15,0,0,44.12,62.11,0,8.39,0,0,0,62.11,0,0,15.75,14.71,0,14.7,0,0,0,24.620000,0.000000,27.980000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,65.710000,117.890000,24.620000,4.000000

10,02:15-02:30,0,0,44.19,62.11,0,8.35,0,0,0,62.11,0,0,15.95,14.73,0,14.72,0,0,0,24.620000,0.000000,27.980000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,65.710000,117.890000,24.620000,4.000000

11,02:30-02:45,0,0,53.86,61.98,0,7.48,0,0,0,61.98,0,0,16.27,17.95,0,17.95,0,0,0,24.620000,0.000000,27.980000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,65.710000,117.890000,24.620000,4.000000

12,02:45-03:00,0,0,53.21,61.8,0,7.52,0,0,0,61.8,0,0,16.38,17.74,0,17.73,0,0,0,24.620000,0.000000,27.980000,0.000000,3.860000,0.000000,0.000000,101.210000,271.770000,4.120000,202.920000,65.710000,117.890000,24.620000,4.000000

