Block,Time,BSIUL,CHAMERA1,KHSTPP-I,KISHANGANGA,KKNPPU2,KOLDAM,RAPPB,RIHAND3,SEWA2,TANDA2,DADRI_LF,KUDGI,MAPS,NLCEXP,PARBATI3,RAPPC,SALAL,UNCHAHAR1,ANTA_RF,DADRI_CRF,FSTPP I & II,NNTPP,NTPL,RSTPSU1TO6,URI2,AURY_GF,RIHAND1,SIMHST2,TALST2,UNCHAHAR2,UNCHAHAR3,URI,ANTA_GF,DADRT2,JHAJJAR,NAPP,NJPC,NLCTS2EXP,TelanganaSTPP,UNCHAHAR4,VALLURNTECL,AURY_CRF,AURY_RF,DADRI_RF,BRBCL,CHAMERA2,CHAMERA3,KGSU1AND2,KOTESHWR,NLCIIST2,RSTPSU7,SASAN,TALA,TEHRI,AURY_LF,DADRI_GF,KKNP,RAMPUR,RIHAND2,SINGRAULI_HYDRO,TANAKPUR,ANTA_CRF,DHAULIGNGA,DULHASTI,KGSU3AND4,KHSTPP-II,NLCIIST1,SIMHST1,SINGRAULI,ANTA_LF
1,00:00-00:15,0,0,44.92,0,0,0,0,0,0,0,21.92,0,0,0,0,52.29,12.78,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,11.92,0,9.13,16.48,0,148.3,0,0,139.68,0

2,00:15-00:30,0,0,44.92,0,0,0,0,0,0,0,21.92,0,0,0,0,52.29,25.57,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,11.92,0,9.13,16.48,0,148.3,0,0,139.68,0

3,00:30-00:45,0,0,44.92,0,0,0,0,0,0,0,21.92,0,0,0,0,52.29,69.72,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,9.13,16.48,0,139.52,0,0,139.68,0

4,00:45-01:00,0,0,44.92,0,0,0,0,0,0,0,21.92,0,0,0,0,52.29,69.72,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,9.13,16.48,0,139.52,0,0,139.68,0

5,01:00-01:15,0,0,44.92,0,0,0,0,26.38,0,0,21.92,0,0,0,0,52.29,69.72,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,1.32,16.48,0,139.52,0,0,139.68,0

6,01:15-01:30,0,0,44.92,0,0,0,0,32.97,0,0,21.92,0,0,0,0,52.29,69.72,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,1.32,16.48,0,139.52,0,0,139.68,0

7,01:30-01:45,0,0,44.92,0,0,0,0,39.57,0,0,21.92,0,0,0,0,52.29,25.57,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,11.92,0,1.32,16.48,0,139.52,0,0,139.68,0

8,01:45-02:00,0,0,44.92,0,0,0,0,46.17,0,0,21.92,0,0,0,0,52.29,12.78,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,11.92,0,1.32,16.48,0,139.52,0,0,139.68,0

9,02:00-02:15,0,0,44.92,0,0,0,0,72.55,0,0,21.92,0,0,0,0,52.29,2.33,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,11.92,0,1.32,16.48,0,139.52,0,0,139.68,0

10,02:15-02:30,0,0,44.92,0,0,0,0,79.14,0,0,21.92,0,0,0,0,52.29,2.33,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,1.32,16.48,0,139.52,0,0,139.68,0

11,02:30-02:45,0,0,44.92,0,0,0,0,85.74,0,0,21.92,0,0,0,0,52.29,2.33,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,1.32,16.48,0,139.52,0,0,139.68,0

12,02:45-03:00,0,0,44.92,0,0,0,0,85.74,0,0,21.92,0,0,0,0,52.29,2.33,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,1.32,16.48,0,139.52,0,0,139.68,0

13,03:00-03:15,0,0,44.92,0,0,0,0,92.34,0,0,21.92,0,0,0,0,52.29,2.33,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,1.32,16.48,0,139.52,0,0,139.68,0

14,03:15-03:30,0,0,44.92,0,0,0,0,98.93,0,0,21.92,0,0,0,0,52.29,2.33,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,1.32,16.48,0,139.52,0,0,139.68,0

15,03:30-03:45,0,0,44.92,0,0,0,0,105.53,0,0,21.92,0,0,0,0,52.29,2.33,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,1.32,16.48,0,139.52,0,0,139.68,0

16,03:45-04:00,0,0,44.92,0,0,0,0,112.13,0,0,21.92,0,0,0,0,52.29,2.33,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,1.32,16.48,0,139.52,0,0,139.68,0

17,04:00-04:15,0,0,44.92,0,0,0,0,118.71,0,0,21.92,0,0,0,0,52.29,12.78,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,9.13,16.48,0,139.52,0,0,139.68,0

18,04:15-04:30,0,0,44.92,0,0,0,0,124.32,0,0,21.92,0,0,0,0,52.29,12.78,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,0,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.13,0,9.13,16.48,0,139.52,0,0,139.68,0

19,04:30-04:45,0,0,44.92,0,0,0,0,124.32,0,0,21.92,0,0,0,0,52.29,12.78,20.56,42.74,0,20.8,0,0,0,4.57,0,92,0,0,21.19,26.39,0.66,0,341.57,436.2,42.08,23.39,0,0,0,0,0,70.16,66.85,20,2.4,0,0,8.87,0,0,418.77,0,0,0,0,0,0,118.76,0,5.76,0,9.13,16.48,0,139.52,0,0,139.68,0

