Column1,Block,WR/2025/27361/A/64743,WR/2025/27350/A/64647,NR/2025/25752/A/64496,GNARE/NR/2024/12/20/3668,NR/2025/25924/A/64650,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/1389,NR/2025/25945/A/64730,NR/2025/25947/A/64728,NR/2025/25948/A/64726,NR/2025/26009/C,NR/2025/25955/A/64724,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/1831,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/1333,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/6490,Total
,,APPCPL,KEIPL,IEXL,SECI_Trader,DIAPL,IEXL,PXIL,HPXL,APPCPL,APPCPL,APPCPL,TPDDL,APPCPL,IEXL,APPCPL,IVPL_Trader,NDMC,NDMC,IEXL,BAWANA_GAS,IEXL,IEXL,DELHI,PUNJAB,IEXL,IEXL,HPXL,PowerPulse,HPXL,HPXL,
,,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,SIKKIM_STATE,UTTARPRADESH_STATE,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,SIKKIM_STATE,HIMACHAL_STATE,DELHI_UT,SIKKIM_STATE,SIKKIM_STATE,NA,NA,NA,CSEB_State,
,,BYPL,BYPL,TPSL_BKN2,APSEPL_FTG,GBHHPL,Kalez_Khola_HEP,LAPL_UP,SIMHAPURI,RKM_POWER,RKM_POWER,TRN_ENERGY,JHAJJAR,JIPL,KGEPL_HP,BYPL,BYPL,JPL2,SKS_Raigarh,RHPPL_HP,BAWANA_GAS,JPNIGRIE_JNSTPP,RCHEP,CHANJUII,BAWANA_GAS,MEYONGCHU_HEP,LLHEP1234,JPL2,APL_Raipur_TPP,JPL,MSPLTD,
,,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,CSEB_Beneficiary,CSEB_Beneficiary,MES_Delhi,TPDDL,DIAPL,BRPL,BRPL,BRPL,NDMC,NDMC,NDMC,TPDDL,NDMC,BRPL,KSEB,TPC_MSEB,NDMC,NDMC,BRPL,HARYANA,BRPL,BRPL,TPDDL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-West,North-West,North-North,North-North,North-North,East-North,North-North,South-East-North,West-North,West-North,West-North,North-North,East-North,North-North,North-West-South,North-West,West-North,West-North,North-North,North-North,West-North,East-North,North-North,North-North,East-North,East-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,52.5,0,43.74,14.58,1.92,30,19.25,2.89,11.42,30,2.89,9.62,72.17,96.23,72.17,9.62,950.4899999999999

2,00:15-00:30,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,52.5,0,43.74,14.58,1.92,30,19.25,2.89,11.42,30,2.89,9.62,72.17,96.23,72.17,9.62,950.4899999999999

3,00:30-00:45,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,52.5,0,43.74,14.58,1.92,30,19.25,2.89,11.42,30,2.89,9.62,72.17,96.23,72.17,9.62,950.4899999999999

4,00:45-01:00,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,52.5,0,43.74,14.58,1.92,30,19.25,2.89,11.42,30,2.89,9.62,72.17,96.23,72.17,9.62,950.4899999999999

5,01:00-01:15,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,52.5,0,43.74,14.58,1.92,30,19.25,2.89,11.24,23.51,2.89,9.62,72.17,96.23,72.17,9.62,943.8199999999999

6,01:15-01:30,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,52.5,0,43.74,14.58,1.92,30,19.25,2.89,11.24,23.51,2.89,9.62,72.17,96.23,72.17,9.62,943.8199999999999

7,01:30-01:45,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,52.5,0,43.74,14.58,1.92,30,19.25,2.89,11.24,23.51,2.89,9.62,72.17,96.23,72.17,9.62,943.8199999999999

