Column1,Block,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/26335/A/75721,NR/2025/26289/A/75724,NR/2025/25967/A/75677,NR/2025/27478/C,NR/2025/27492/C,NR/2025/27505/C,NR/2025/27501/C,NR/2025/26828/A/75691,NR/2025/27493/C,NR/2025/26879/A/75712,NR/2025/25860/A/75683,NR/2025/25859/A/75684,NR/2025/26101/A/75388,NR/2025/27149/A/75342,NR/2025/26085/A/75204,NR/2025/26827/A/75692,NR/2025/26336/A/75717,NR/2025/26825/A/75700,NR/2025/26829/A/75690,NR/2025/25861/A/75682,NR/2025/27517/C,NR/2025/26232/A/75727,NR/2025/26785/A/75227,NR/2025/26265/A/75725,NR/2025/26082/A/75824,NR/2025/26202/A/75823,NR/2025/26822/A/75693,NR/2025/26191/A/75307,NR/2025/27420/C,NR/2025/26153/A/75229,NR/2025/26004/A/75310,NR/2025/26291/A/75722,NR/2025/26379/A/75676,NR/2025/26959/A/75341,NR/2025/26005/A/75314,NR/2025/26233/A/75726,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/75225,NR/2025/27426/C,NR/2025/27443/C,NR/2025/27452/C,NR/2025/27464/C,NR/2025/27425/C,NR/2025/27421/C,NR/2025/27422/C,NR/2025/27424/C,NR/2025/27512/C,NR/2025/27502/C,NR/2025/27503/C,NR/2025/27504/C,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/1698,Total
,,PowerPulse,PXIL,PXIL,JPL,DELHI,PowerPulse,BAWANA_GAS,PUNJAB,BRPL,HPXL,PowerPulse,TPDDL,NVVNL,APPCPL,APPCPL,APPCPL,NVVNL,BRPL,PowerPulse,PowerPulse,GMRETL,DIAPL,ITCLH,APPCPL,BRPL,APPCPL,APPCPL,PowerPulse,GEPL_Trader,HPXL,IEXL,HPXL,NVVNL,NVVNL,APPCPL,PXIL,HPXL,IEXL,PXIL,HPXL,PowerPulse,DIAPL,PXIL,HPXL,SECI_Trader,IEXL,IEXL,IEXL,PXIL,PowerPulse,HPXL,HPXL,HPXL,HPXL,GEPL_Trader,APPCPL,APPCPL,APPCPL,PXIL,PXIL,PXIL,IEXL,NDMC,HPXL,HPXL,HPXL,PXIL,IEXL,SIMHAPURI,
,,NA,ODISHA_STATE,CSEB_State,NA,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,NA,NA,NA,NA,TAMILNADU_State,NA,MP_State,NA,HIMACHAL_STATE,NA,GEB_State,NA,NA,TAMILNADU_State,NA,NA,NA,GEB_State,NA,MP_State,GEB_State,NA,NA,NA,NA,UTTARPRADESH_STATE,Meghalaya_State,NA,JK_and_LADAKH_UT,NA,NA,HIMACHAL_STATE,MSEB_State,ODISHA_STATE,ODISHA_STATE,NA,
,,COASTGEN,FACORPOWER,SKSIPL,JPL2,CHANJUII,APL_Raipur_TPP,BAWANA_GAS,BAWANA_GAS,TS1PL_BKN,SIMHAPURI,MAHAN_ENERGEN,JHAJJAR,Kameng,RKM_POWER,SKS_Raigarh,TRN_ENERGY,SORANG_HEP,RIHAND3,APL_Raipur_TPP,APL_Raipur_TPP,GBHHPL,GBHHPL,ITCWIND,JPL2,DADRT2,RKM_POWER,RKM_POWER,APL_Raipur_TPP,DIKCHU,PCBL_PALEJ,MBMP,JPL,SKS_Raigarh,JPNIGRIE_JNSTPP,SKS_Raigarh,JPNIGRIE_JNSTPP,JPL,SURYADEV_ALLOYSTN,ILFS,Ultratech_Sidhi_MP,COASTGEN,GBHHPL,SKS_Raigarh,PCBL_MUNDRA,APSEPL_FTG,TPSL_BKN2,SURYADEV_ALLOYSTN,MBMP,JPNIGRIE_JNSTPP,COASTGEN,PCBL_MUNDRA,SIMHAPURI,Ultratech_Sidhi_MP,PCBL_PALEJ,SORANG_HEP,RKM_POWER,JPL2,TRN_ENERGY,LAPL_UP,Meghalaya_Ben,SINGOLI,O2ZTPL,JIPL,JPL,KGEPL_HP,GRETAENERGY,FACORPOWER,VSL,SIMHAPURI,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,HARYANA,PUNJAB,BRPL,BRPL,BRPL,TPDDL,TPDDL,NDMC,NDMC,NDMC,TPDDL,BRPL,TPDDL,TPDDL,TPDDL,DIAPL,ITCLH,NDMC,BRPL,NDMC,NDMC,TPDDL,BYPL,BRPL,NDMC,BRPL,BYPL,TPDDL,NDMC,BRPL,BRPL,BRPL,BYPL,BRPL,BRPL,DIAPL,BYPL,BRPL,TPDDL,MES_Delhi,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,NDMC,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,South-East-North,East-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,South-West-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,North-North,North-North,South-West-North,West-North,North-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,South-West-North,North-North,West-North,West-North,North-North,North-North,South-West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,North East-East-North,North-North,North-North,East-North,West-North,North-North,West-North,East-North,East-North,South-West-North,
1,00:00-00:15,0,14.49,10.63,82.12,14.61,164.24,32,32,0,48.3,164.24,53.14,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.77,43.91,111.1,43.91,37.33,0,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53,2189.6299999999997

2,00:15-00:30,0,14.49,10.63,82.12,14.61,164.24,32,32,0,48.3,164.24,53.14,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.77,43.91,111.1,43.91,37.33,0,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53,2189.6299999999997

3,00:30-00:45,0,14.49,10.63,82.12,14.61,164.24,32,32,0,48.3,164.24,53.14,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.77,43.91,111.1,43.91,37.33,0,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53,2189.6299999999997

4,00:45-01:00,0,14.49,10.63,82.12,14.61,164.24,32,32,0,48.3,164.24,53.14,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.77,43.91,111.1,43.91,37.33,0,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53,2189.6299999999997

5,01:00-01:15,0,14.49,10.63,82.12,14.42,164.24,26.5,26.5,0,48.3,164.24,53.14,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.68,43.91,111.1,43.91,37.33,0,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53,2178.35

6,01:15-01:30,0,14.49,10.63,82.12,14.42,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.68,43.91,111.1,43.91,37.33,0,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53,2125.21

7,01:30-01:45,0,14.49,10.63,82.12,14.42,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.68,43.91,111.1,43.91,37.33,0,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53,2125.21

8,01:45-02:00,0,14.49,10.63,82.12,14.42,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.68,43.91,111.1,43.91,37.33,0,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53,2125.21

9,02:00-02:15,0,14.49,10.63,82.12,14.24,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.63,43.91,111.1,43.91,37.33,0,88.61,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,2008.0799999999992

10,02:15-02:30,0,14.49,10.63,82.12,14.24,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.63,43.91,111.1,43.91,37.33,0,88.61,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,2008.0799999999992

11,02:30-02:45,0,14.49,10.63,82.12,14.24,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.63,43.91,111.1,43.91,37.33,0,88.61,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,2008.0799999999992

12,02:45-03:00,0,14.49,10.63,82.12,14.24,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.63,43.91,111.1,43.91,37.33,0,88.61,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,2008.0799999999992

13,03:00-03:15,0,14.49,10.63,82.12,14.06,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.48,43.91,111.1,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1851.5099999999993

14,03:15-03:30,0,14.49,10.63,82.12,14.06,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.48,43.91,111.1,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1851.5099999999993

