Time,Block,ER/2023/8040/C,NR/2023/10786/A,NR/2023/12872/F,WR/2023/15879/C,NR/2023/11266/A,NR/2023/12813/F,NR/2023/10651/A,NR/2023/11953/A,NR/2023/11709/A,NR/2023/12814/F,NR/2023/12923/F,NR/2023/11507/A,ER/2023/8029/C,NR/2023/12915/F,NR/2023/12922/F,NR/2023/10436/A,NR/2023/10959/A,NR/2023/10460/A,NR/2023/12919/F,NR/2023/12917/F,NR/2023/12956/F,NR/2023/10720/A,NR/2023/12924/F,NR/2023/11447/A,NR/2023/13149/C,NR/2023/13072/D,SR/2023/5884/C,NR/2023/13146/C,NR/2023/12920/F,NR/2023/13157/C,NR/2023/12916/F,NR/2023/12661/A,NR/2023/12169/A,NR/2023/10947/A,NR/2023/12921/F,NR/2023/13164/C,NR/2023/12706/A,NR/2023/13141/D,NR/2023/10956/A,NR/2023/11712/A,NR/2023/13153/C,WR/2023/15878/C,NR/2023/13133/D,NR/2023/13138/D,NR/2023/13130/D,Total
,,PXIL,STATKRAFT,ITCLH,IEXL,TPTCL,MANIKARAN,KEIPL,KEIPL,MANIKARAN,MANIKARAN,SHPPBPL,TPTCL,HPXL,SHPPBPL,SHPPBPL,APPCPL,NVVNL,GMRETL,SHPPBPL,SHPPBPL,IEXL,KEIPL,SHPPBPL,TPTCL,SJVNL,TPTCL,HPXL,GBHHPL,SHPPBPL,PXIL,SHPPBPL,NVVNL,APPCPL,APPCPL,SHPPBPL,IEXL,HPXL,NVVNL,NVVNL,MANIKARAN,TPDDL,IEXL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,DELHI,TAMIL NADU,ANDHRA PRADESH,DELHI,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,JAMMU AND KASHMIR,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,MAHARASHTRA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,DELHI,NA,NA,NA,
,,BYPL,TANGEDCO,ITCWIND,BYPL,KWHEP,HP,Meghalaya_Ben,Meghalaya_Ben,TANGEDCO,HP,SHPPBPL,JPL,BYPL,SHPPBPL,SHPPBPL,Meghalaya_Ben,KAMENG,Meghalaya_Ben,SHPPBPL,SHPPBPL,SAPU1234,TANGEDCO,SHPPBPL,HP-GOVT,IPCL_WB,HP-GOVT,BYPL,GBHHPL,SHPPBPL,BRPL,SHPPBPL,SKS Raigarh,HP,HP,SHPPBPL,BYPL,B_S_ISPAT_MH,KAMENG,JPNIGRIE_JNSTPP,TANGEDCO,CHANJUII,BYPL,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,ODISHA,DELHI,DELHI,AMNSIL_WR,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,KERALA,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,Gujarat,DELHI,DELHI,DELHI,
,,JSPLBarbil,BYPL,ITCLH,AMNSIL,BRPL,BRPL,BYPL,BYPL,BRPL,BRPL,MHIL,BRPL,VL-CPP 1215,BAL184,JHPL-DL,BYPL,BRPL,BYPL,AISHER,BAL234,MES (Delhi),BYPL,UHL,BRPL,NDMC,BRPL,KSEB,DIAPL,BMDRC,ASIL_UP,BAL224,NDMC,BRPL,BYPL,MAX-HPTL,AMBASTL,NDMC,TPDDL,BRPL,BRPL,TPDDL,TPLD,MES (Delhi),BRPL,BYPL,
,,North-East,South-West-North,South-West-North,North-East-West,North-North,North-North,North East-East-North,North East-East-North,South-West-North,North-North,North-North,West-North,North-East,North-North,North-North,North East-East-North,North East-East-North,North East-East-North,North-North,North-North,North-North,South-West-North,North-North,North-North,East-North,North-North,North-East-South,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,South-West-North,North-North,North-East-West,West-North,North-North,North-North,
1,00:00-00:15,4.410000,98.680000,0.480000,170.000000,17.200000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,42.640000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.820000,28.000000,0,0,0,1416.9

2,00:15-00:30,4.410000,98.680000,0.480000,170.000000,17.200000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,42.640000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.820000,28.000000,0,0,0,1416.9

3,00:30-00:45,4.410000,98.680000,0.480000,170.000000,17.200000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,42.640000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.820000,28.000000,0,0,0,1416.9

4,00:45-01:00,4.410000,98.680000,0.480000,170.000000,17.200000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,42.640000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.820000,28.000000,0,0,0,1416.9

5,01:00-01:15,4.410000,98.680000,0.530000,170.000000,27.530000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,32.310000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.820000,28.000000,0,0,0,1416.95

6,01:15-01:30,4.410000,98.680000,0.530000,170.000000,27.530000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,32.310000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.820000,28.000000,0,0,0,1416.95

7,01:30-01:45,4.410000,98.680000,0.530000,170.000000,27.530000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,32.310000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.820000,28.000000,0,0,0,1416.95

8,01:45-02:00,4.410000,98.680000,0.530000,170.000000,27.530000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,32.310000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.820000,28.000000,0,0,0,1416.95

9,02:00-02:15,4.410000,98.680000,0.480000,170.000000,37.850000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.730000,28.000000,0,0,0,1416.81

10,02:15-02:30,4.410000,98.680000,0.480000,170.000000,37.850000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.730000,28.000000,0,0,0,1416.81

11,02:30-02:45,4.410000,98.680000,0.480000,170.000000,37.850000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.730000,28.000000,0,0,0,1416.81

12,02:45-03:00,4.410000,98.680000,0.480000,170.000000,37.850000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.730000,28.000000,0,0,0,1416.81

13,03:00-03:15,4.410000,98.680000,0.440000,170.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.640000,28.000000,0,0,0,1355.99

14,03:15-03:30,4.410000,98.680000,0.440000,170.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.640000,28.000000,0,0,0,1355.99

15,03:30-03:45,4.410000,98.680000,0.440000,170.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.640000,28.000000,0,0,0,1355.99

16,03:45-04:00,4.410000,98.680000,0.440000,170.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.640000,28.000000,0,0,0,1355.99

17,04:00-04:15,4.410000,98.680000,0.440000,170.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.450000,28.000000,0,0,0,1355.8

18,04:15-04:30,4.410000,98.680000,0.440000,170.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.450000,28.000000,0,0,0,1355.8

19,04:30-04:45,4.410000,98.680000,0.440000,170.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.450000,28.000000,0,0,0,1355.8

20,04:45-05:00,4.410000,98.680000,0.440000,170.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.450000,28.000000,0,0,0,1355.8

21,05:00-05:15,4.410000,0.000000,0.480000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.370000,28.000000,0,0,0,1187.08

22,05:15-05:30,4.410000,0.000000,0.480000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.370000,28.000000,0,0,0,1187.08

23,05:30-05:45,4.410000,0.000000,0.480000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.370000,28.000000,0,0,0,1187.08

24,05:45-06:00,4.410000,0.000000,0.480000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.370000,28.000000,0,0,0,1187.08

25,06:00-06:15,4.410000,0.000000,0.530000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.270000,28.000000,0,0,0,1147.15

26,06:15-06:30,4.410000,0.000000,0.530000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.270000,28.000000,0,3.5,1.5,1152.15

27,06:30-06:45,4.410000,0.000000,0.530000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.270000,28.000000,0,7,3,1157.15

28,06:45-07:00,4.410000,0.000000,0.530000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,28.530000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.270000,28.000000,0.12,14,6,1167.27

29,07:00-07:15,4.410000,0.000000,0.680000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,27.520000,0.640000,30.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.090000,28.000000,0.48,21,9,1206.59

30,07:15-07:30,4.410000,0.000000,0.680000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,27.520000,0.640000,30.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.090000,28.000000,0.71,28,12,1216.82

31,07:30-07:45,4.410000,0.000000,0.680000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,27.520000,0.640000,30.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.090000,28.000000,1.23,42,18,1237.34

32,07:45:08:00,4.410000,0.000000,0.680000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,27.520000,0.640000,30.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.090000,28.000000,2.08,54.6,23.4,1256.19

33,08:00-08:15,4.410000,0.000000,0.970000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,17.000000,28.000000,2.56,65.1,27.9,1271.87

34,08:15-08:30,4.410000,0.000000,0.970000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,17.000000,28.000000,3.05,77,33,1289.36

35,08:30-08:45,4.410000,0.000000,0.970000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,17.000000,28.000000,3.53,90.3,38.7,1308.84

36,08:45:09:00,4.410000,0.000000,0.970000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,21.990000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,17.000000,28.000000,3.93,100.1,42.9,1323.24

37,09:00:09:15,4.410000,0.000000,0.970000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,21.990000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.900000,28.000000,3.77,112,48,1374.17

38,09:15-09:30,4.410000,0.000000,0.970000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,21.990000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.900000,28.000000,4.2,122.5,52.5,1389.6

39,09:30-09:45,4.410000,0.000000,0.970000,100.000000,37.850000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,21.990000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.900000,28.000000,4.45,130.9,56.1,1401.85

40,09:45-10:00,4.410000,0.000000,0.970000,100.000000,25.810000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,34.030000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.900000,28.000000,4.6,141.4,60.6,1417

41,10:00-10:15,4.410000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.720000,28.000000,4.64,149.1,63.9,1518.8

42,10:15-10:30,4.410000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.720000,28.000000,4.64,156.1,66.9,1528.8

