Block,Time Block,JHAJJAR,BSIUL,CHAMERA3,DHAULIGNGA,CHAMERA2,FSTPP I & II,DULHASTI,DADRT2,CHAMERA1,BRBCL,DADRI_LF,DADRI_RF,SASAN,TEHRI,TANDA2,SIMHST1,SINGRAULI_HYDRO,RSTPSU7,SALAL,SEWA2,SIMHST2,TALST2,SINGRAULI,TANAKPUR,TEHRIPSP,TelanganaSTPP,TALA,UNCHAHAR2,UNCHAHAR1,ANTA_CRF,ANTA_RF,AURY_LF,URI,ANTA_LF,AURY_GF,DADRI_CRF,UNCHAHAR4,VALLURNTECL,ANTA_GF,AURY_CRF,DADRI_GF,AURY_RF,URI2,UNCHAHAR3,NAPP,KUDGI,NJPC,NLCEXP,MAPS,RIHAND1,RAPPB,RSTPSU1TO6,NLCIIST1,RAPPD,NLCIIST2,RAMPUR,RIHAND3,NLCTS2EXP,RAPPC,NNTPP,NTPL,PARBATI3,RIHAND2,PARBATI2,KGSU1AND2,KGSU3AND4,KHSTPP-I,KKNP,KHSTPP-II,KISHANGANGA,KOTESHWR,KKNPPU2,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,381.68,18.77,32.58,40.75,45.23,13.34,51.71,4.94,40.46,14.26,0,0,401.94,73.12,2.51,0,0,0,81.42,17.6,0,0,108.27,12.53,0,0,19.24,30.71,14.44,0,0,0,50.26,0,0,0,1.11,0,0,0,0,0,35.92,18.87,23.02,0,168.72,0,0,45.38,0,0,0,22.73,0,5.44,125.58,0,62.79,0,0,35.68,120.23,37.14,0,0,43.7,0,93.62,2.23,38.94,0,8.27,0,0,0,0,0

2,00:15-00:30,309.68,18.77,32.58,40.75,45.23,13.49,51.71,4.94,40.46,13.18,0,0,401.94,73.12,1.25,0,0,0,81.42,17.6,0,0,108.27,12.53,0,0,19.28,30.71,14.44,0,0,0,50.26,0,0,0,1.11,0,0,0,0,0,35.92,18.87,23.02,0,168.72,0,0,45.38,0,0,0,22.73,0,5.44,125.58,0,62.79,0,0,35.68,120.23,37.14,0,0,43.7,0,93.62,2.23,38.94,0,8.27,0,0,0,0,0

3,00:30-00:45,230.35,18.77,32.58,40.75,45.23,14.01,51.71,4.94,40.46,11.68,0,0,401.94,73.12,1.36,0,0,0,81.42,17.6,0,0,108.27,12.53,0,0,19.3,30.71,14.44,0,0,0,50.26,0,0,0,1.11,0,0,0,0,0,35.92,18.87,23.02,0,168.72,0,0,45.38,0,0,0,22.73,0,5.44,125.58,0,62.79,0,0,35.68,120.23,37.14,0,0,43.7,0,93.62,2.23,38.94,0,8.27,0,0,0,0,0

4,00:45-01:00,230.35,18.77,32.58,40.75,45.23,14.68,51.71,4.94,40.46,11.21,0,0,401.94,73.12,1.36,0,0,0,81.42,17.6,0,0,108.27,12.53,0,0,19.3,30.71,14.44,0,0,0,36.02,0,0,0,1.11,0,0,0,0,0,35.92,18.87,23.02,0,168.72,0,0,45.38,0,0,0,22.73,0,5.44,125.58,0,62.79,0,0,35.68,120.23,37.14,0,0,43.7,0,93.62,2.23,38.94,0,8.27,0,0,0,0,0

5,01:00-01:15,230.35,18.77,32.58,40.75,45.23,9.76,51.71,4.94,40.46,12.18,0,0,401.94,73.12,1.58,0,0,0,81.42,17.6,0,0,78.67,12.53,0,0,19.44,23.76,12.25,0,0,0,36.02,0,0,0,0.59,0,0,0,0,0,23.94,14.62,23.02,0,168.72,0,0,25.95,0,0,0,22.73,0,5.44,92.24,0,62.79,0,0,35.68,95.8,49.98,0,0,28.06,0,60.57,2.23,38.94,0,8.27,0,0,0,0,0

6,01:15-01:30,230.35,18.77,32.58,40.75,45.23,9.76,51.71,4.94,40.46,12.18,0,0,401.94,73.12,1.58,0,0,0,81.42,17.6,0,0,78.67,12.53,0,0,19.44,23.76,12.25,0,0,0,36.02,0,0,0,0.59,0,0,0,0,0,23.94,14.62,23.02,0,168.72,0,0,25.95,0,0,0,22.73,0,5.44,92.24,0,62.79,0,0,35.68,90.71,49.98,0,0,28.06,0,60.57,2.23,38.94,0,8.27,0,0,0,0,0

7,01:30-01:45,230.35,18.77,32.58,40.75,45.23,9.76,51.71,4.94,40.46,10.2,0,0,401.94,73.12,1.58,0,0,0,81.42,17.6,0,0,78.67,12.53,0,0,19.47,23.76,12.09,0,0,0,36.02,0,0,0,0.59,0,0,0,0,0,35.92,14.62,23.02,0,168.72,0,0,39.62,0,0,0,22.73,0,5.44,125.58,0,62.79,0,0,35.68,104.49,49.98,0,0,28.06,0,60.57,2.23,38.94,0,8.27,0,0,0,0,0

8,01:45-02:00,230.35,18.77,32.58,40.75,45.23,9.76,51.71,4.94,40.46,9.84,0,0,401.94,73.12,1.58,0,0,0,81.42,17.6,0,0,78.67,12.53,0,0,19.5,23.76,12.09,0,0,0,36.02,0,0,0,0.59,0,0,0,0,0,35.92,14.62,23.02,0,168.72,0,0,39.62,0,0,0,22.73,0,5.44,125.58,0,62.79,0,0,35.68,104.49,49.98,0,0,28.06,0,60.57,2.23,38.94,0,8.27,0,0,0,0,0

9,02:00-02:15,230.35,18.77,32.58,40.75,45.23,9.76,51.71,4.94,40.46,10.98,0,0,401.94,73.12,1.58,0,0,0,81.42,17.6,0,0,78.67,12.53,0,0,19.55,23.76,12.09,0,0,0,32.85,0,0,0,0.59,0,0,0,0,0,23.94,14.62,23.02,0,168.72,0,0,39.62,0,0,0,22.73,0,5.44,125.58,0,62.79,0,0,35.68,104.49,49.98,0,0,28.06,0,60.57,2.23,38.94,0,8.27,0,0,0,0,0

10,02:15-02:30,230.35,18.77,32.58,40.75,45.23,9.76,51.71,4.94,40.46,10.95,0,0,401.94,72.52,1.58,0,0,0,81.42,17.6,0,0,78.67,12.53,0,0,19.55,23.76,12.09,0,0,0,32.85,0,0,0,0.59,0,0,0,0,0,23.94,14.62,23.02,0,168.72,0,0,39.62,0,0,0,22.73,0,5.44,125.58,0,62.79,0,0,35.68,104.49,49.98,0,0,28.06,0,60.57,2.23,38.94,0,8.27,0,0,0,0,0

11,02:30-02:45,230.35,18.77,32.58,40.75,45.23,9.76,51.71,4.94,40.46,11.18,0,0,401.94,72.52,1.58,0,0,0,81.42,17.6,0,0,78.67,12.53,0,0,19.55,23.76,11.95,0,0,0,29.67,0,0,0,0.59,0,0,0,0,0,23.94,14.62,23.02,0,168.72,0,0,39.62,0,0,0,22.73,0,5.44,125.58,0,62.79,0,0,35.68,104.49,49.98,0,0,28.06,0,60.57,2.23,38.94,0,8.27,0,0,0,0,0

