Block,Time,TANDA2,ANTA_CRF,DULHASTI,RAPPC,ANTA_RF,SALAL,BSIUL,SEWA2,DHAULIGNGA,SINGRAULI_HYDRO,SINGRAULI,TEHRI,RAMPUR,UNCHAHAR3,CHAMERA1,DADRI_LF,DADRI_RF,UNCHAHAR4,AURY_CRF,URI2,CHAMERA3,NJPC,URI,PARBATI3,ANTA_GF,TANAKPUR,AURY_GF,RIHAND1,JHAJJAR,ANTA_LF,KOTESHWR,AURY_RF,RAPPB,RIHAND3,AURY_LF,DADRI_CRF,NAPP,UNCHAHAR2,CHAMERA2,KOLDAM,DADRT2,UNCHAHAR1,RIHAND2,KISHANGANGA,DADRI_GF,BRBCL,TALA,FSTPP I & II,KHSTPP-II,KHSTPP-I,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,5.032708,0.000000,56.997748,65.650519,0.000000,72.750496,0.000000,0.000000,41.934007,1.084744,126.047089,66.004173,6.497280,26.621866,40.597031,0.000000,0.000000,2.976288,0.000000,37.247250,33.549463,173.339836,30.837811,18.369994,0.000000,10.487803,0.000000,93.484284,403.498928,0.000000,37.753246,0.000000,0.000000,125.774752,0.000000,0.000000,47.431509,42.064581,46.715035,9.835863,663.082241,20.531401,119.802816,8.033715,0.000000,14.448000,9.486557,13.120710,137.919163,30.986240,336.132720,0,0,0,0,0

2,00:15-00:30,5.032708,0.000000,56.997748,65.650519,0.000000,72.750496,0.000000,0.000000,41.934007,1.084744,126.047089,66.618165,6.497280,26.621866,40.597031,0.000000,0.000000,2.976288,0.000000,37.247250,33.549463,173.339836,30.837811,18.369994,0.000000,10.487803,0.000000,93.484284,403.498928,0.000000,37.753246,0.000000,0.000000,125.774752,0.000000,0.000000,47.431509,42.064581,46.715035,9.835863,663.082241,20.531401,119.802816,8.033715,0.000000,14.448000,9.486557,13.120710,137.919163,30.986240,336.132720,0,0,0,0,0

3,00:30-00:45,5.032708,0.000000,56.997748,65.650519,0.000000,72.750496,0.000000,0.000000,41.934007,1.084744,126.047089,66.618165,6.497280,26.621866,40.597031,0.000000,0.000000,2.976288,0.000000,37.247250,33.549463,173.339836,30.837811,18.369994,0.000000,10.487803,0.000000,93.484284,406.894208,0.000000,37.753246,0.000000,0.000000,125.774752,0.000000,0.000000,47.431509,42.064581,46.715035,9.835863,663.082241,20.531401,119.802816,8.033715,0.000000,14.448000,9.628147,13.120710,137.919163,30.986240,336.132720,0,0,0,0,0

4,00:45-01:00,5.032708,0.000000,56.997748,65.650519,0.000000,72.750496,0.000000,0.000000,41.934007,1.084744,126.047089,66.618165,6.497280,26.621866,40.597031,0.000000,0.000000,2.976288,0.000000,37.247250,33.549463,173.339836,30.837811,18.369994,0.000000,10.487803,0.000000,93.484284,406.894208,0.000000,37.753246,0.000000,0.000000,125.774752,0.000000,0.000000,47.431509,42.064581,46.715035,9.835863,663.082241,20.531401,119.802816,8.033715,0.000000,14.448000,9.628147,13.120710,137.919163,30.986240,336.132720,0,0,0,0,0

5,01:00-01:15,5.032708,0.000000,56.997748,65.650519,0.000000,72.750496,0.000000,0.000000,41.934007,1.126465,126.047089,66.618165,6.497280,26.621866,40.597031,0.000000,0.000000,2.976288,0.000000,16.930568,33.549463,173.339836,30.837811,4.114879,0.000000,10.487803,0.000000,93.484284,406.894208,0.000000,37.753246,0.000000,0.000000,125.774752,0.000000,0.000000,47.431509,42.064581,46.715035,9.835863,663.082241,20.531401,119.802816,8.033715,0.000000,14.448000,9.628147,13.120710,137.919163,30.986240,336.132720,0,0,0,0,0

