Block,Time,DADRI_GF,RAMPUR,AURY_LF,RAPPB,DADRT2,CHAMERA1,AURY_RF,AURY_GF,DADRI_CRF,NAPP,TANAKPUR,UNCHAHAR2,CHAMERA2,DHAULIGNGA,DADRI_RF,ANTA_RF,ANTA_GF,SALAL,UNCHAHAR1,NJPC,DADRI_LF,RIHAND1,ANTA_LF,TANDA2,KOLDAM,SEWA2,KOTESHWR,KISHANGANGA,URI,AURY_CRF,CHAMERA3,UNCHAHAR3,DULHASTI,JHAJJAR,SINGRAULI,RIHAND2,TEHRI,SINGRAULI_HYDRO,BSIUL,ANTA_CRF,RIHAND3,UNCHAHAR4,URI2,PARBATI3,RAPPC,FSTPP I & II,BRBCL,KHSTPP-I,KHSTPP-II,SASAN,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,6.516168,0.000000,0.000000,664.720005,40.715045,20.564298,0.000000,0.000000,45.793467,9.775823,43.379800,46.850834,42.055908,16.895437,14.623224,0.000000,75.206964,21.860580,173.843731,0.000000,93.756041,0.000000,5.175914,9.887081,18.161396,0.000000,8.057069,35.193312,0.000000,33.646990,26.699256,57.163439,408.077040,98.792723,120.151080,0.000000,1.150661,6.299093,0.000000,126.140377,2.984940,36.602241,16.212588,65.354850,20.092800,19.319988,42.803460,142.195200,399.312704,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,6.516168,0.000000,0.000000,664.720005,40.715045,18.668143,0.000000,0.000000,45.793467,9.775823,43.379800,46.850834,42.055908,16.895437,11.977917,0.000000,75.206964,21.860580,173.843731,0.000000,93.756041,0.000000,5.175914,9.887081,18.161396,0.000000,8.057069,35.193312,0.000000,33.646990,26.699256,57.163439,408.077040,98.792723,120.151080,0.000000,1.150661,6.299093,0.000000,126.140377,2.984940,36.602241,16.212588,65.354850,20.092800,19.319988,42.803460,142.195200,399.380625,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,6.516168,0.000000,0.000000,664.720005,40.715045,18.668143,0.000000,0.000000,45.793467,9.775823,43.379800,46.850834,42.055908,16.895437,11.977917,0.000000,75.206964,21.860580,173.843731,0.000000,93.756041,0.000000,5.175914,9.887081,18.161396,0.000000,8.057069,35.193312,0.000000,33.646990,26.699256,57.163439,408.077040,136.474707,120.151080,0.000000,1.150661,6.299093,0.000000,126.140377,2.984940,36.602241,16.212588,65.354850,20.092800,17.241832,42.803460,142.195200,399.380625,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,6.516168,0.000000,0.000000,664.720005,40.715045,18.668143,0.000000,0.000000,45.793467,2.351147,43.379800,46.850834,42.055908,16.895437,11.977917,0.000000,75.206964,21.860580,173.843731,0.000000,93.756041,0.000000,5.175914,9.887081,18.161396,0.000000,8.057069,35.193312,0.000000,33.646990,26.699256,57.163439,408.077040,137.047483,120.151080,0.000000,1.150661,6.299093,0.000000,126.140377,2.984940,36.602241,16.212588,65.354850,20.092800,15.783986,42.803460,142.195200,399.380625,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,6.516168,0.000000,0.000000,664.720005,40.715045,2.733073,0.000000,0.000000,45.793467,2.351147,43.379800,46.850834,42.055908,0.000000,1.856502,0.000000,72.961980,21.860580,173.843731,0.000000,93.756041,0.000000,5.175914,9.887081,18.161396,0.000000,8.057069,35.193312,0.000000,33.646990,26.699256,57.163439,408.077040,137.047483,120.151080,0.000000,1.150661,6.299093,0.000000,126.140377,2.984940,36.602241,16.212588,65.354850,20.092800,15.140682,42.803460,142.195200,399.380625,0.000000,0,0,0,0,0

