Column1,Time,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,GNA/NR/2024/09/01/9821,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/16/2535,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/8090,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNA/NR/2024/09/01/2171,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/7119,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01082024/30092024/LT_MEJA_DELHI,L_NR_2019_19
1,00:00-00:15,17.01,0,0,0,0,0,0,10.83,25,0,0,0,0,9,25,0,32.5,10.84,32.86,4.46,30.28,24.16,8.4,0,262.38,163.08,32,273.25,96.64,0,32,100.68,0,5.67,115.5,2.42,5.77,17.47,0,0,87.17,7.95,0

2,00:15-00:30,16.21,0,0,0,0,0,0,10.83,25,0,0,0,0,9,25,0,32.5,10.84,32.86,4.46,30.28,24.16,8.4,0,262.38,163.08,32,273.25,96.64,0,32,100.68,0,5.67,115.5,2.42,5.77,17.47,0,0,87.17,7.95,0

3,00:30-00:45,15.01,0,0,0,0,0,0,10.67,24.67,0,0,0,0,8.66,24.67,0,32,10.66,32.86,4.46,30.28,24.16,8.4,0,220.34,163.08,24.08,273.25,96.64,0,24.08,100.68,0,5.67,70.44,2.42,5.77,17.47,0,0,87.17,7.95,0

4,00:45-01:00,13.41,0,0,0,0,0,0,10.67,24.67,0,0,0,0,8.66,24.67,0,32,10.66,32.86,4.46,30.28,24.16,8.4,0,220.34,163.08,24.08,273.25,96.64,0,24.08,100.68,0,5.67,70.44,2.42,5.77,17.47,0,0,87.17,7.95,0

5,01:00-01:15,12.41,0,0,0,0,0,0,10.67,24.67,0,0,0,0,8.34,24.67,0,32,10.66,32.86,4.27,30.28,24.16,8.3,0,220.34,163.08,24.08,273.25,96.64,8.78,24.08,100.68,0,5.67,70.44,2.42,5.23,17.47,0,0,87.17,7.95,0

6,01:15-01:30,12.01,0,0,0,0,0,0,10.67,25,0,0,0,0,8,25,0,32,10.66,32.86,4.27,30.28,24.16,8.3,0,205.4,163.08,24.08,273.25,96.64,8.78,24.08,100.68,0,5.67,70.44,2.42,5.23,17.47,0,0,87.17,7.95,0

