Block,Time Block,RAMPUR,RAPPC,NTPL,PARBATI3,RAPPB,KGSU3AND4,KUDGI,NLCEXP,NLCIIST2,NJPC,NNTPP,NLCIIST1,NLCTS2EXP,TALST2,UNCHAHAR1,TANAKPUR,TelanganaSTPP,TANDA2,TEHRI,MAPS,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,KOTESHWR,KOLDAM,KHSTPP-I,NAPP,DADRI_RF,DADRI_LF,FSTPP I & II,JHAJJAR,KGSU1AND2,TALA,SASAN,RIHAND1,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,SINGRAULI_HYDRO,RIHAND2,DULHASTI,DADRT2,DHAULIGNGA,BSIUL,CHAMERA3,CHAMERA1,CHAMERA2,BRBCL,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,AURY_LF,URI2,DADRI_GF,ANTA_LF,UNCHAHAR3,AURY_GF,DADRI_CRF,ANTA_GF,UNCHAHAR2,URI,AURY_CRF,AURY_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,13.3,5.54,0,0,0,0,142.56,0,0,0,8.53,0,36.11,42.1,0,0,14.92,229.81,0,0,335.47,88.44,0,0,0,0,1.35,0,134.28,59.75,0,114.16,15.84,265.32,0,0,0,0,0,14.42,0,0,0,0,0,4.14,0,0,0,0,0,0,22.41,0.43,0,0,0,0,0,0,0

2,00:15-00:30,0,25,0,0,0,0,0,0,0,0,0,0,0,0,13.3,5.54,0,0,0,0,142.56,0,0,0,8.53,0,36.11,42.1,0,0,14.92,229.81,0,0,335.47,88.44,0,0,0,0,1.35,0,134.28,59.75,0,114.16,15.84,265.32,0,0,0,0,0,14.42,0,0,0,0,0,4.14,0,0,0,0,0,0,22.41,0.43,0,0,0,0,0,0,0

3,00:30-00:45,0,25,0,0,0,0,0,0,0,0,0,0,0,0,13.15,5.54,0,0,0,0,142.56,0,0,0,8.53,0,36.11,42.1,0,0,15.52,229.81,0,0,335.47,88.44,0,0,0,0,1.35,0,134.28,59.75,0.62,114.16,15.84,265.32,0,0,0,0,0,14.42,0,0,0,0,0,4.14,0,0,0,0,0,0,25.47,0.43,0,0,0,0,0,0,0

4,00:45-01:00,0,25,0,0,0,0,0,0,0,0,0,0,0,0,13.15,5.54,0,0,0,0,142.56,0,0,0,8.53,0,36.11,42.1,0,0,15.52,229.81,0,0,335.47,88.44,0,0,0,0,1.35,0,134.28,59.75,0.62,114.16,15.84,265.32,0,0,0,0,0,14.42,0,0,0,0,0,4.14,0,0,0,0,0,0,25.47,0.43,0,0,0,0,0,0,0

5,01:00-01:15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,13.16,5.54,0,0,0,0,142.56,0,0,0,8.53,0,36.11,42.1,0,0,14.92,229.81,0,0,335.47,88.44,0,0,0,0,1.35,0,134.28,59.75,0.62,114.16,15.84,265.32,0,0,0,0,0,11.68,0,0,0,0,0,4.14,0,0,0,0,0,0,22.41,0.43,0,0,0,0,0,0,0

