Block,Time,KHSTPP-I,KKNP,NAPP,PARBATI3,SASAN,TEHRI,URI,CHAMERA1,DADRT2,KGSU3AND4,KKNPPU2,KUDGI,RSTPSU1TO6,SIMHST1,TALST2,UNCHAHAR4,URI2,BRBCL,CHAMERA2,KOTESHWR,MAPS,SALAL,UNCHAHAR1,ANTA_LF,ANTA_RF,AURY_RF,DADRI_CRF,DADRI_LF,KHSTPP-II,NLCEXP,NLCTS2EXP,SINGRAULI_HYDRO,TALA,VALLURNTECL,ANTA_GF,DHAULIGNGA,KOLDAM,NLCIIST2,NNTPP,RAMPUR,RAPPB,RAPPC,SINGRAULI,AURY_CRF,KGSU1AND2,RIHAND1,RIHAND2,SIMHST2,TANDA2,TelanganaSTPP,UNCHAHAR2,UNCHAHAR3,AURY_GF,AURY_LF,DADRI_RF,BSIUL,CHAMERA3,DULHASTI,FSTPP I & II,JHAJJAR,NJPC,TANAKPUR,ANTA_CRF,KISHANGANGA,NLCIIST1,NTPL,RIHAND3,RSTPSU7,SEWA2,DADRI_GF
1,00:00-00:15,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,12.78,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,9.13,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,10.25,0,0,0,0,124.32,0,0,0

2,00:15-00:30,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,12.78,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,9.13,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,10.25,0,0,0,0,124.32,0,0,0

3,00:30-00:45,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,12.78,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,9.13,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,5.13,0,0,0,0,124.32,0,0,0

4,00:45-01:00,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,13.95,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,9.13,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,5.13,0,0,0,0,124.32,0,0,0

5,01:00-01:15,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,69.72,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,0,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,5.13,0,0,0,0,124.32,0,0,0

6,01:15-01:30,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,69.72,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,0,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,5.13,0,0,0,0,124.32,0,0,0

7,01:30-01:45,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,69.72,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,0,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,10.25,0,0,0,0,124.32,0,0,0

8,01:45-02:00,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,69.72,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,0,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,10.25,0,0,0,0,124.32,0,0,0

9,02:00-02:15,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,13.36,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,0,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,10.25,0,0,0,0,124.32,0,0,0

10,02:15-02:30,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,2.33,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,0,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,5.13,0,0,0,0,124.32,0,0,0

11,02:30-02:45,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,2.33,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,0,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,5.13,0,0,0,0,124.32,0,0,0

12,02:45-03:00,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,2.33,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,0,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,5.13,0,0,0,0,124.32,0,0,0

13,03:00-03:15,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,2.33,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,0,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,5.13,0,0,0,0,124.32,0,0,0

14,03:15-03:30,44.92,0,41.97,0,410.62,0,0.66,0,341.57,0,0,0,0,0,0,0,4.57,20,2.4,8.87,0,2.33,20.56,0,42.84,70.37,0,22.47,140.56,0,0,0,0,0,0,0,0,0,0,0,0,52.41,139.68,0,0,45,118.76,0,0,0,21.19,26.39,0,0,66.85,0,0,16.48,20.8,654.31,0,5.13,0,0,0,0,124.32,0,0,0

