Block,Time Block,JHAJJAR,KGSU1AND2,DADRI_LF,AURY_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DULHASTI,DHAULIGNGA,FSTPP I & II,KOTESHWR,KOLDAM,BSIUL,CHAMERA1,BRBCL,DADRT2,CHAMERA3,CHAMERA2,AURY_GF,AURY_CRF,URI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,ANTA_LF,ANTA_GF,ANTA_CRF,ANTA_RF,SIMHST1,RSTPSU7,SALAL,SEWA2,SASAN,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,TALST2,TANAKPUR,TelanganaSTPP,TALA,TEHRI,TANDA2,RIHAND3,RIHAND2,RIHAND1,RAPPC,RSTPSU1TO6,RAPPB,KKNP,KHSTPP-II,KISHANGANGA,KKNPPU2,NNTPP,NTPL,NAPP,PARBATI3,NLCEXP,NLCIIST1,NJPC,NLCIIST2,MAPS,RAMPUR,NLCTS2EXP,KUDGI,KGSU3AND4,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,344,0,0,0,0,0,0,0,0,0,11.44,8.49,0,0,0,18.19,253.31,0,0,0,0,1.06,11.02,0,0,4.12,13.87,22.28,0,0,0,0,0,0,1.34,0,400.28,0,109.07,0,0,5.51,0,0,0,0,118.84,113.51,87.94,51.55,0,0,0,109.61,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,27.25,0,0,0,0,0

2,00:15-00:30,344,0,0,0,0,0,0,0,0,0,9.57,8.49,0,0,0,18.64,253.31,0,0,0,0,1.06,11.02,0,0,4.12,13.87,22.28,0,0,0,0,0,0,1.34,0,400.3,0,102.59,0,0,5.51,0,0,0,0,118.84,113.51,87.94,51.55,0,0,0,77.97,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0

3,00:30-00:45,344,0,0,0,0,0,0,0,0,0,9.57,8.49,0,0,0,16.38,262.39,0,0,0,0,0.84,11.02,0,0,4.12,13.87,22.28,0,0,0,0,0,0,1.34,0,400.3,0,102.59,0,0,5.51,0,0,0,0,118.84,113.51,87.94,51.55,0,0,0,77.97,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0

4,00:45-01:00,344,0,0,0,0,0,0,0,0,0,9.57,8.49,0,0,0,16.27,331.7,0,0,0,0,0.84,11.02,0,0,4.12,13.87,22.28,0,0,0,0,0,0,1.34,0,400.3,0,73.5,0,0,0,0,0,0,0,118.84,113.51,87.94,51.55,0,0,0,77.97,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0

5,01:00-01:15,344,0,0,0,0,0,0,0,0,0,9.57,8.49,0,0,0,14.68,359.42,0,0,0,0,0.84,11.02,0,0,4.12,13.87,22.28,0,0,0,0,0,0,1.34,0,400.3,0,66.22,0,0,0,0,0,0,0,118.84,113.51,87.94,51.55,0,0,0,77.97,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0

6,01:15-01:30,344,0,0,0,0,0,0,0,0,0,9.57,8.49,0,0,0,16.46,359.42,0,0,0,0,0.84,11.02,0,0,4.12,13.87,22.28,0,0,0,0,0,0,1.34,0,400.3,0,66.22,0,0,0,0,0,0,0,118.84,113.51,87.94,51.55,0,0,0,77.97,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0

7,01:30-01:45,344,0,0,0,0,0,0,0,0,0,9.57,8.49,0,0,0,15.47,359.42,0,0,0,0,0.84,11.02,0,0,4.12,13.87,22.28,0,0,0,0,0,0,1.34,0,400.3,0,66.22,0,0,0,0,0,0,0,118.84,113.51,76.69,51.55,0,0,0,77.97,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0

8,01:45-02:00,344,0,0,0,0,0,0,0,0,0,9.57,8.49,0,0,0,14.5,359.42,0,0,0,0,0.84,11.02,0,0,4.12,13.87,22.28,0,0,0,0,0,0,1.34,0,400.3,0,66.22,0,0,0,0,0,0,0,118.84,113.51,74.78,51.55,0,0,0,77.97,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0

9,02:00-02:15,344,0,0,0,0,0,0,0,0,0,9.57,8.49,0,0,0,15.01,359.42,0,0,0,0,0.84,11.02,0,0,4.12,13.87,22.28,0,0,0,0,0,0,1.34,0,400.3,0,66.22,0,0,0,0,0,0,0,94.32,100.93,70,51.55,0,0,0,77.97,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0

10,02:15-02:30,344,0,0,0,0,0,0,0,0,0,9.57,8.49,0,0,0,14.11,359.42,0,0,0,0,0.84,11.02,0,0,4.12,13.87,22.28,0,0,0,0,0,0,1.34,0,400.3,0,66.22,0,0,0,0,0,0,0,94.32,100.93,65.84,51.55,0,0,0,77.97,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0

