Column1,Block,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/16/1676,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/4863,NR/30092023/31122025/SH-07,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/01/9969,NR/30092023/26122029/SH-06,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/2143,GNA/WR/2024/11/01/4200,NR/2024/24418/A/55289,GNA/WR/2025/01/01/9606,GNA/WR/2025/01/01/8625,WR/2025/26047/A/55396,GNARE/NR/2024/12/20/3668,NR/2025/25267/A/55460,NR/2025/25426/C,NR/2025/25265/A/55458,NR/2025/25427/C,NR/2025/25266/A/55457,NR/2025/25070/A/55497,Total
,,NDMC,PTC,APPCPL,DELHI,NDMC,BAWANA_GAS,PTC,NDMC,PUNJAB,APPCPL,NDMC,NDMC,MANIKARAN,ITCLH,APPCPL,TPTCL,APPCPL,SECI_Trader,OIDLWM3_AEROCITY,SJVNL,OIDLWM2_AEROCITY,SJVNL,ABLWM1_AEROCITY,NVVNL,
,,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,
,,RKM_POWER,BRPL,BYPL,CHANJUII,SKS_Raigarh,BAWANA_GAS,BYPL,JPL2,BAWANA_GAS,BYPL,TRN_ENERGY,RKM_POWER,BRPL,ITCWIND,BYPL,BYPL,BRPL,APSEPL_FTG,TCSPL_BKN2,TPSL_BKN2,TCSPL_BKN2,RSRPL_BKN,TCSPL_BKN2,JIPL,
,,DELHI_UT,HIMACHAL_STATE,KERALA_State,DELHI_UT,DELHI_UT,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,KERALA_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,MSEB_State,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,HP,KSEB,TPDDL,NDMC,HARYANA,HP,NDMC,PUNJAB,KSEB,NDMC,NDMC,AEML,ITCLH,AEML,TPC_MSEB,GOA_Beneficiary,TPDDL,OIDLWM3_AEROCITY,NDMC,OIDLWM2_AEROCITY,NDMC,ABLWM1_AEROCITY,NDMC,
,,West-North,North-North,North-West-South,North-North,West-North,North-North,North-North,West-North,North-North,North-West-South,West-North,West-North,North-West,South-West-North,North-West,North-West,North-West,North-North,North-North,North-North,North-North,North-North,North-North,East-North,
1,00:00-00:15,23.07,47.56,75,5.25,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.39

2,00:15-00:30,23.07,47.56,75,5.25,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.39

3,00:30-00:45,23.07,47.56,75,5.25,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.39

4,00:45-01:00,23.07,47.56,75,5.25,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.39

5,01:00-01:15,23.07,47.56,75,5.25,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.39

6,01:15-01:30,23.07,47.56,75,5.25,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.39

7,01:30-01:45,23.07,47.56,75,5.25,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.39

8,01:45-02:00,23.07,47.56,75,5.25,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.39

9,02:00-02:15,23.07,47.56,75,5.15,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.29

10,02:15-02:30,23.07,47.56,75,5.15,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.29

11,02:30-02:45,23.07,47.56,75,5.15,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.29

12,02:45-03:00,23.07,47.56,75,5.15,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.29

13,03:00-03:15,23.07,47.56,75,5.06,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.2

14,03:15-03:30,23.07,47.56,75,5.06,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.2

15,03:30-03:45,23.07,47.56,75,5.06,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.2

16,03:45-04:00,23.07,47.56,75,5.06,7.21,26.99,15.85,23.07,26.99,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,300.2

17,04:00-04:15,23.07,47.56,75,4.87,7.21,26.96,15.85,23.07,26.96,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,299.95

18,04:15-04:30,23.07,47.56,75,4.87,7.21,26.96,15.85,23.07,26.96,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,299.95

19,04:30-04:45,23.07,47.56,75,4.87,7.21,26.96,15.85,23.07,26.96,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,299.95

20,04:45-05:00,23.07,47.56,75,4.87,7.21,26.96,15.85,23.07,26.96,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,299.95

21,05:00-05:15,23.07,47.56,75,4.79,7.21,26.96,15.85,23.07,26.96,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,299.87

22,05:15-05:30,23.07,47.56,75,4.79,7.21,26.96,15.85,23.07,26.96,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,299.87

23,05:30-05:45,23.07,47.56,75,4.79,7.21,26.96,15.85,23.07,26.96,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,299.87

24,05:45-06:00,23.07,47.56,75,4.79,7.21,26.96,15.85,23.07,26.96,0,8.65,23.07,0,0.38,0,0,0,0,0,0,0,0,0,17.3,299.87

25,06:00-06:15,36.53,0,75,4.69,7.21,26.96,0,43.26,26.96,0,13.46,36.53,0,0.43,0,0,0,0,0,0,0,0,0,17.3,288.33000000000004

26,06:15-06:30,36.53,0,75,4.69,7.21,25.24,0,43.26,25.24,0,13.46,36.53,0,0.43,0,0,0,0,0,0,0,0,0,17.3,284.89

