Column1,Block,NR/2024/23384/A/40203,NR/2024/23510/A/40221,NR/2024/23382/A/40371,NR/2024/23618/C,NR/2024/23599/C,NR/2024/23383/A/40400,NR/2024/23414/A/40195,NR/2024/23605/C,NR/2024/23389/A/40325,NR/2024/23356/A/40326,GNA/NR/2024/10/09/6619,NR/30092023/26122029/SH-06,NR/2024/23614/C,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/09/7320,NR/2024/23446/A/40370,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/09/8664,NR/2024/23620/C,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,NR/30092023/31122025/SH-07,Total
,,IEXL,DIAPL,NVVNL,HPXL,TPDDL,ITCLH,IEXL,NVVNL,SJVNL,SJVNL,HPXL,PUNJAB,HPXL,NDMC,NDMC,PXIL,NVVNL,DELHI,HPXL,HPXL,NDMC,NDMC,NDMC,BAWANA_GAS,
,,KARNATAKA_STATE,HIMACHAL_STATE,NA,NA,NA,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,NA,NA,NA,DELHI_UT,KARNATAKA_STATE,NA,NA,NA,NA,HIMACHAL_STATE,NA,CSEB_State,NA,NA,NA,DELHI_UT,
,,NSLSUGAR,GBHHPL,JITPL,SINGOLI,JHAJJAR,ITCWIND,NSLSUGAR,SOLAPUR_SOLAR,RSRPL_BKN,TPSL_BKN2,SIMHAPURI,BAWANA_GAS,JSWEL,RKM_POWER,TRN_ENERGY,JPNIGRIE_JNSTPP,JITPL,CHANJUII,JITPL,CH_Steel_Power_CH,RKM_POWER,JPL2,SKS_Raigarh,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,
,,MES_Delhi,DIAPL,NDMC,BYPL,TPDDL,ITCLH,MES_Delhi,MES_Delhi,NDMC,NDMC,BRPL,PUNJAB,BYPL,NDMC,NDMC,TPDDL,NDMC,TPDDL,BRPL,BYPL,NDMC,NDMC,NDMC,HARYANA,
,,South-West-North,North-North,East-North,North-North,North-North,South-West-North,South-West-North,West-North,North-North,North-North,South-East-North,North-North,South-West-North,West-North,West-North,West-North,East-North,North-North,East-North,West-North,West-North,West-North,West-North,North-North,
1,00:00-00:15,6.79,2.91,24.99,80.52,194.02,0.58,0,0,0,0,0,8.76,48.5,37.47,12.49,58.21,0,6.63,291.03,14.07,37.47,37.47,12.49,31.5,905.9

2,00:15-00:30,6.79,2.91,24.99,80.52,194.02,0.58,0,0,0,0,0,8.76,48.5,37.47,12.49,58.21,0,6.63,291.03,14.07,37.47,37.47,12.49,31.5,905.9

3,00:30-00:45,6.79,2.91,24.99,80.52,194.02,0.58,0,0,0,0,0,10.13,48.5,37.47,12.49,58.21,0,6.63,291.03,14.07,37.47,37.47,12.49,10.13,885.9000000000001

4,00:45-01:00,6.79,2.91,24.99,67.91,194.02,0.58,0,0,0,0,0,10.13,48.5,37.47,12.49,58.21,0,6.63,291.03,14.07,37.47,37.47,12.49,10.13,873.29

5,01:00-01:15,6.79,2.91,24.99,0,194.02,0.53,0,0,0,0,0,10.13,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,10.13,733.0500000000001

6,01:15-01:30,6.79,2.91,24.99,0,194.02,0.53,0,0,0,0,0,10.13,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,10.13,733.0500000000001

7,01:30-01:45,6.79,2.91,24.99,0,194.02,0.53,0,0,0,0,0,19.39,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,19.39,751.57

8,01:45-02:00,6.79,2.91,24.99,0,194.02,0.53,0,0,0,0,0,19.39,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,19.39,751.57

9,02:00-02:15,6.79,2.91,24.99,0,194.02,0.49,0,0,0,0,0,14.39,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,14.39,741.5300000000001

10,02:15-02:30,6.79,2.91,24.99,0,194.02,0.49,0,0,0,0,0,6.89,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,6.89,726.5300000000001

11,02:30-02:45,6.79,2.91,24.99,0,194.02,0.49,0,0,0,0,0,9.39,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,9.39,731.5300000000001

12,02:45-03:00,6.79,2.91,24.99,0,194.02,0.49,0,0,0,0,0,6.89,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,6.89,726.5300000000001

13,03:00-03:15,6.79,2.91,24.99,0,194.02,0.44,0,0,0,0,0,19.39,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,19.39,751.48

14,03:15-03:30,6.79,2.91,24.99,0,194.02,0.44,0,0,0,0,0,25.89,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,25.89,764.48

15,03:30-03:45,6.79,2.91,24.99,0,194.02,0.44,0,0,0,0,0,25.89,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,25.89,764.48

16,03:45-04:00,6.79,2.91,24.99,0,194.02,0.44,0,0,0,0,0,25.89,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,25.89,764.48

