Time,Block,NR/2023/11328/A,NR/2023/13859/A,NR/2023/13983/F,NR/2023/13283/A,NR/2023/14582/C,NR/2023/13858/A,NR/2023/14116/F,NR/2023/13573/A,NR/2023/11264/A,NR/2023/12646/A,NR/2023/11521/A,NR/2023/13704/A,NR/2023/11315/A,NR/2023/14583/C,NR/2023/14120/F,NR/2023/14114/F,NR/2023/13704/A/II,NR/2023/14187/F,NR/2023/11204/A,NR/2023/14566/D,NR/2023/11325/A,NR/2023/13983/F/II,NR/2023/13284/A,NR/2023/11470/A,NR/2023/14115/F,NR/2023/14117/F,NR/2023/11203/A,NR/2023/14136/F,NR/2023/14591/C,NR/2023/14113/F,NR/2023/11469/A,NR/2023/14569/D,NR/2023/14121/F,NR/2023/11654/A,NR/2023/14568/D,NR/2023/14119/F,NR/2023/14570/D,NR/2023/11524/A,SR/2023/6907/C,NR/2023/14118/F,ER/2023/8876/C,NR/2023/14567/D,NR/2023/14572/C,WR/2023/16980/C,NR/2023/13573/A/II,NR/2023/11954/A,NR/2023/11458/A,NR/2023/14564/D,NR/2023/11205/A,NR/2023/11739/A,NR/2023/11697/A,NR/2023/13283/A/II,NR/2023/11892/A,NR/2023/14565/D,Total
,,APPCPL,MANIKARAN,ITCLH,APPCPL,TPDDL,MANIKARAN,SHPPBPL,NVVNL,TPTCL,MANIKARAN,PTC,HPXL,GMRETL,PXIL,SHPPBPL,SHPPBPL,HPXL,GBHHPL,KEIPL,KEIPL,APPCPL,ITCLH,APPCPL,NVVNL,SHPPBPL,SHPPBPL,KEIPL,SJVNL,IEXL,SHPPBPL,NVVNL,NVVNL,SHPPBPL,TPTCL,TS1PL_BKN,SHPPBPL,NVVNL,PTC,HPXL,SHPPBPL,HPXL,TS1PL_BKN,GBHHPL,IEXL,NVVNL,KEIPL,STATKRAFT,NVVNL,KEIPL,NVVNL,APPCPL,APPCPL,TPTCL,KEIPL,Total

,,UTTARAKHAND,HIMACHAL PRADESH,ANDHRA PRADESH,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,TAMIL NADU,NA,MAHARASHTRA,MEGHALAYA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,KERALA,UTTAR PRADESH,MEGHALAYA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,WEST BENGAL,KARNATAKA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,DELHI,HIMACHAL PRADESH,DELHI,NA,HIMACHAL PRADESH,DELHI,NA,MEGHALAYA,TAMIL NADU,NA,KERALA,MP,HIMACHAL PRADESH,GOA,MAHARASHTRA,MAHARASHTRA,
,,UTTARAKHAND,HP,ITCWIND,GOA_Beneficiary,CHANJUII,HP,SHPPBPL,SKS Raigarh,KWHEP,TANGEDCO,JPNIGRIE_JNSTPP,B_S_ISPAT_MH,Meghalaya_Ben,BYPL,SHPPBPL,SHPPBPL,B_S_ISPAT_MH,GBHHPL,KSEB,LAPL-UP,Meghalaya_Ben,ITCWIND,HP,KAMENG,SHPPBPL,SHPPBPL,Meghalaya_Ben,IPCL_WB,NSLSUGAR,SHPPBPL,JPNIGRIE_JNSTPP,SORANG_HEP,SHPPBPL,JPL-2,TS1PL_BKN,SHPPBPL,KAMENG,JPL-2,BYPL,SHPPBPL,BYPL,TS1PL_BKN,GBHHPL,BYPL,SKS Raigarh,Meghalaya_Ben,TANGEDCO,SOLAPUR_SOLAR,KSEB,JP BINA,HP,GOA_Beneficiary,TPC MSEB,LMEL MSEB,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,ODISHA,DELHI,DELHI,Gujarat,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,ITCLH,BRPL,TPDDL,BRPL,AISHER,NDMC,BRPL,BRPL,TPDDL,NDMC,BYPL,ASIL_UP,MHIL,BAL224,NDMC,DIAPL,BYPL,BYPL,BYPL,ITCLH,BRPL,BRPL,BAL234,BMDRC,BYPL,NDMC,MES (Delhi),BAL184,BRPL,TPDDL,UHL,BRPL,BRPL,JHPL-DL,TPDDL,TPDDL,TANGEDCO,MAX-HPTL,VLSEZ,BYPL,DIAPL,TPL DIS AHM,NDMC,BYPL,BYPL,MES (Delhi),BRPL,BRPL,BYPL,BRPL,BYPL,BYPL,
,,North-North,North-North,South-West-North,West-East-North,North-North,North-North,North-North,West-East-North,North-North,South-West-North,West-North,West-North,North East-East-North,North-North,North-North,North-North,West-East-North,North-North,South-East-North,North-North,North East-East-North,South-East-North,North-North,North East-East-North,North-North,North-North,North East-East-North,East-North,South-West-North,North-North,West-North,North-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,North-East-South,North-North,North-East,North-North,North-North,North-East-West,West-North,North East-East-North,South-West-North,West-North,South-East-North,West-North,North-North,West-North,West-North,West-North,
1,00:00-00:15,48.270000,178.120000,0.000000,1.120000,18.010000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,0.000000,24.140000,0.870000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,0.000000,2016.96

2,00:15-00:30,48.270000,178.120000,0.000000,1.120000,18.010000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,0.000000,24.140000,0.870000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,0.000000,2016.96
