Block,Time Block,SIMHST1,SIMHST2,SINGRAULI,KKNPPU2,KOLDAM,KGSU1AND2,KGSU3AND4,KHSTPP-II,KISHANGANGA,JHAJJAR,KKNP,KHSTPP-I,RAMPUR,PARBATI3,NTPL,RAPPC,PARBATI2,RAPPB,DULHASTI,DHAULIGNGA,FSTPP I & II,NLCTS2EXP,NNTPP,RIHAND2,RSTPSU7,SALAL,SEWA2,RIHAND1,RAPPD,SASAN,RIHAND3,RSTPSU1TO6,NJPC,NLCIIST1,NLCIIST2,NLCEXP,DADRT2,CHAMERA3,CHAMERA1,CHAMERA2,NAPP,BSIUL,BRBCL,ANTA_LF,AURY_GF,DADRI_GF,ANTA_GF,AURY_CRF,DADRI_CRF,DADRI_RF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_LF,UNCHAHAR4,UNCHAHAR3,VALLURNTECL,UNCHAHAR2,URI2,URI,UNCHAHAR1,MAPS,KUDGI,KOTESHWR,TALA,TANAKPUR,TEHRIPSP,TEHRI,TelanganaSTPP,SINGRAULI_HYDRO,TALST2,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,72.35,0,8.33,0,0,94.16,6.73,591,0,43.95,5.48,48.8,0,62.85,24.8,0,36.99,40.99,19.45,0,0,120.92,0,78.52,17.7,45.65,38.67,331.18,126.3,0,169.7,0,0,0,664.31,32.77,40.69,45.48,23.51,18.88,15.89,0,0,0,0,0,0,0,0,0,0,0,0,1.26,26.16,0,41.63,36.11,17.06,20.7,0,0,43.52,23.48,3.72,185.89,79.5,0,0,0,5.36,0,0,0,0,0

2,00:15-00:30,0,0,72.35,0,8.33,0,0,94.16,6.73,485.04,0,43.95,5.48,48.8,0,62.85,24.8,0,36.99,40.99,19.45,0,0,120.92,0,78.52,17.7,45.65,38.67,331.21,126.3,0,169.7,0,0,0,665.46,32.77,40.69,45.48,23.51,18.88,12.76,0,0,0,0,0,0,0,0,0,0,0,0,1.26,26.16,0,40.85,36.11,17.06,20.7,0,0,43.52,23.48,3.72,185.89,79.5,0,0,0,5.36,0,0,0,0,0

3,00:30-00:45,0,0,72.35,0,8.33,0,0,94.16,6.73,458.33,0,43.95,5.48,50.23,0,62.85,24.8,0,36.99,40.99,19.45,0,0,120.92,0,78.52,17.7,45.65,38.67,331.21,126.3,0,169.7,0,0,0,665.46,32.77,40.69,45.48,23.51,18.88,14.21,0,0,0,0,0,0,0,0,0,0,0,0,1.68,26.16,0,41.66,36.11,45.82,20.7,0,0,43.52,23.55,3.72,185.89,79.5,0,0,0,5.36,0,0,0,0,0

4,00:45-01:00,0,0,72.35,0,8.33,0,0,94.16,6.73,458.33,0,43.95,5.48,50.23,0,62.85,24.8,0,36.99,40.99,19.45,0,0,120.92,0,78.52,17.7,45.65,38.67,331.21,126.3,0,169.7,0,0,0,665.46,32.77,40.69,45.48,23.51,18.88,13.53,0,0,0,0,0,0,0,0,0,0,0,0,1.68,26.16,0,41.66,36.11,45.82,20.9,0,0,43.52,23.55,11.5,185.89,79.5,0,0,0,5.36,0,0,0,0,0

5,01:00-01:15,0,0,72.35,0,8.33,0,0,94.16,6.73,400.42,0,43.95,5.48,50.23,0,62.85,24.8,0,36.99,40.99,19.45,0,0,120.92,0,78.52,17.7,45.65,38.67,331.21,126.3,0,169.7,0,0,0,661.38,32.77,40.69,45.48,23.51,18.88,14.71,0,0,0,0,0,0,0,0,0,0,0,0,1.68,23.44,0,38.29,36.11,46.88,18.12,0,0,43.52,23.55,11.5,185.89,79.5,0,0,0,5.36,0,0,0,0,0

