Block,Time,TEHRI,ANTA_GF,UNCHAHAR3,KISHANGANGA,KOLDAM,SEWA2,DADRI_GF,DADRI_CRF,AURY_LF,RAPPC,ANTA_LF,CHAMERA1,RIHAND3,UNCHAHAR2,UNCHAHAR4,RIHAND1,SINGRAULI,BSIUL,SALAL,RAPPB,DADRI_LF,DADRI_RF,JHAJJAR,NAPP,DADRT2,AURY_CRF,DHAULIGNGA,NJPC,RIHAND2,CHAMERA2,SINGRAULI_HYDRO,RAMPUR,ANTA_CRF,URI,ANTA_RF,PARBATI3,KOTESHWR,CHAMERA3,TANAKPUR,AURY_GF,AURY_RF,DULHASTI,URI2,TANDA2,UNCHAHAR1,KAWAS-RLNG,VSTPS IV,NNTPP,NLCTS2EXP,GANDHAR-APM,MOUDA_II,GANDHAR-RLNG,GANDHAR-NAPM,SIMHST2,RSTPSU1TO6,GADARWARA-I,KAWAS-NAPM,KKNP,TALST2,KHSTPP-II,KAWAS-zLIQ,RSTPSU7,NTPL,VSTPS III,SOLAPUR,NLCEXP,KHSTPP-I,SIPAT I,KUDGI,GANDHAR-ComGas,VALLURNTECL,FSTPP I & II,BRBCL,VSTPS I,KHARGONE-I,NLCIIST1,SIPAT II,KGSU3AND4,KAWAS-ComGas,NLCIIST2,KGSU1AND2,TALA,TAPS-II,KSTPS I&II,MAPS,SASAN,LARA-I,KAPS,KAWAS-APM,KSTPS7,VSTPS V,MOUDA,VSTPS II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,26.659683,0.000000,26.087285,2.468554,4.117544,16.620742,0.000000,0.000000,0.000000,57.092134,0.000000,40.778267,122.408100,42.130732,0.000000,77.368016,138.465478,0.000000,76.785250,0.000000,0.000000,0.000000,327.592236,42.944116,354.940106,0.000000,9.592894,108.955393,116.767575,42.217017,0.981517,2.099005,0.000000,47.531340,0.000000,0.000000,16.859390,30.679168,2.974482,0.000000,0.000000,52.153427,34.211249,2.360797,0.000000,0.000000,2.596468,0.14,0.79,0.000000,2.690594,0.000000,0.000000,0.10,5.80,4.154348,0.000000,1.57,2.93,142.721367,0.000000,1.88,1.01,1.895994,1.713669,0.79,42.283620,5.141006,7.68,0.000000,2.30,18.677928,14.512451,2.275681,3.427338,1.12,0.904723,1.05,0.000000,0.43,1.94,0.000000,2.702613,2.872831,0.23,334.150312,4.119736,0.794612,0.000000,1.298234,1.284386,1.875115,1.879816,0,0,0,0,0

2,00:15-00:30,26.659683,0.000000,26.087285,2.468554,4.117544,16.620742,0.000000,0.000000,0.000000,57.092134,0.000000,40.778267,122.408100,42.130732,0.000000,77.368016,139.345891,0.000000,76.785250,0.000000,0.000000,0.000000,356.617236,42.944116,354.940106,0.000000,9.592894,79.240286,116.767575,42.217017,0.981517,1.524684,0.000000,47.531340,0.000000,0.000000,16.859390,30.679168,2.974482,0.000000,0.000000,52.153427,34.211249,2.360797,0.000000,0.000000,2.596468,0.14,0.79,0.000000,2.690594,0.000000,0.000000,0.10,5.85,4.154348,0.000000,1.57,2.93,142.721367,0.000000,1.88,1.01,1.895994,1.713669,0.79,42.283620,5.141006,7.68,0.000000,2.30,18.986800,12.363978,2.275815,3.427338,1.12,0.904723,1.05,0.000000,0.43,1.94,0.000000,2.702613,2.872831,0.23,334.150312,4.119736,0.794612,0.000000,1.298234,1.284386,1.875115,1.879816,0,0,0,0,0

3,00:30-00:45,26.659683,0.000000,26.083800,2.468554,3.088157,16.620742,0.000000,0.000000,0.000000,57.092134,0.000000,40.778267,122.408100,42.130732,0.000000,77.368016,139.345891,0.000000,76.785250,0.000000,0.000000,0.000000,374.312811,42.944116,354.940106,0.000000,9.592894,59.430214,116.767575,42.217017,0.981517,1.148641,0.000000,47.531340,0.000000,0.000000,16.859390,30.679168,2.974482,0.000000,0.000000,52.153427,34.211249,2.360797,0.000000,0.000000,2.596468,0.14,0.79,0.000000,2.690594,0.000000,0.000000,0.15,5.85,4.154348,0.000000,1.57,2.93,142.721367,0.000000,1.88,1.01,1.895994,1.713669,0.79,42.283620,5.141006,7.68,0.000000,2.30,18.986800,14.301892,2.275815,3.427338,1.12,0.904723,1.05,0.000000,0.43,1.94,0.000000,2.702613,2.872831,0.23,334.150312,4.119736,0.794612,0.000000,1.298234,1.284386,1.875115,1.879816,0,0,0,0,0

4,00:45-01:00,26.659683,0.000000,18.253436,2.468554,2.058772,16.620742,0.000000,0.000000,0.000000,57.092134,0.000000,40.778267,122.408100,42.130732,0.000000,77.368016,139.345891,0.000000,76.785250,0.000000,0.000000,0.000000,402.399336,42.944116,345.835931,0.000000,9.592894,39.620143,116.767575,42.217017,0.981517,0.765760,0.000000,47.531340,0.000000,0.000000,16.859390,30.679168,2.974482,0.000000,0.000000,52.153427,34.211249,2.360797,0.000000,0.000000,2.596468,0.14,0.79,0.000000,2.690594,0.000000,0.000000,0.18,5.85,4.154348,0.000000,1.57,2.93,142.721367,0.000000,1.88,1.01,1.895994,1.713669,0.79,42.283620,5.141006,7.68,0.000000,2.30,18.986800,13.550351,2.275815,3.427338,1.12,0.904723,1.05,0.000000,0.43,1.94,0.000000,2.702613,2.872831,0.23,334.150312,4.119736,0.794612,0.000000,1.298234,1.284386,1.875115,1.879816,0,0,0,0,0

5,01:00-01:15,26.659683,0.000000,17.803548,2.468554,1.029386,16.620742,0.000000,0.000000,0.000000,57.092134,0.000000,40.778267,122.408100,42.130732,0.000000,77.368016,139.345891,0.000000,76.785250,0.000000,0.000000,0.000000,385.642236,42.944116,345.835931,0.000000,9.592894,39.620143,116.767575,42.217017,0.981517,0.765760,0.000000,47.531340,0.000000,0.000000,16.859390,30.679168,2.974482,0.000000,0.000000,52.153427,34.211249,2.360797,0.000000,0.000000,2.596468,0.14,0.79,0.000000,2.690594,0.000000,0.000000,0.25,5.85,4.154348,0.000000,1.57,2.93,142.721367,0.000000,1.88,1.01,1.895994,1.713669,0.79,42.283620,5.141006,7.68,0.000000,2.30,18.986800,11.676823,2.275815,3.427338,1.12,0.904723,1.05,0.000000,0.43,1.94,0.000000,2.702613,2.872831,0.23,334.150312,4.119736,0.794612,0.000000,1.298234,1.284386,1.875115,1.879816,0,0,0,0,0

