Block,Time,BSIUL,KKNP,KKNPPU2,KOTESHWR,NLCTS2EXP,RSTPSU7,SEWA2,UNCHAHAR1,URI2,AURY_CRF,AURY_GF,AURY_RF,BRBCL,KGSU1AND2,KHSTPP-I,KOLDAM,KUDGI,NTPL,RIHAND1,SALAL,SASAN,TANDA2,TelanganaSTPP,ANTA_RF,DHAULIGNGA,RAPPC,RSTPSU1TO6,TALST2,UNCHAHAR3,URI,DADRI_GF,CHAMERA3,DADRT2,FSTPP I & II,KGSU3AND4,RAPPB,RIHAND2,RIHAND3,SINGRAULI,TEHRI,UNCHAHAR2,VALLURNTECL,NAPP,NLCIIST1,PARBATI3,SINGRAULI_HYDRO,TALA,TANAKPUR,ANTA_CRF,ANTA_LF,CHAMERA2,JHAJJAR,KISHANGANGA,NLCIIST2,ANTA_GF,CHAMERA1,DULHASTI,KHSTPP-II,NNTPP,RAMPUR,SIMHST1,SIMHST2,DADRI_CRF,MAPS,NJPC,NLCEXP,UNCHAHAR4,AURY_LF,DADRI_LF,DADRI_RF
1,00:00-00:15,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0,0,7.81,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

2,00:15-00:30,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0,0,7.81,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

3,00:30-00:45,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0,0,7.81,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

4,00:45-01:00,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0,0,7.81,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

5,01:00-01:15,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0,0,7.81,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

6,01:15-01:30,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0,0,7.81,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

7,01:30-01:45,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

8,01:45-02:00,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

9,02:00-02:15,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

10,02:15-02:30,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

11,02:30-02:45,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

12,02:45-03:00,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.1,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

13,03:00-03:15,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.42,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

14,03:15-03:30,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.42,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

15,03:30-03:45,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.42,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

16,03:45-04:00,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.42,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,0,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

17,04:00-04:15,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.42,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,15.18,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

18,04:15-04:30,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.42,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,15.18,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

19,04:30-04:45,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.62,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,15.18,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

20,04:45-05:00,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.62,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,15.18,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,0,0,23.56,69.05

21,05:00-05:15,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,9.29,225,0,0,44.62,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,15.18,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,18.94,0,0,0,23.56,69.05

22,05:15-05:30,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,41.83,225,0,0,44.62,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,30.37,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,18.94,0,0,0,23.56,69.05

23,05:30-05:45,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,41.83,225,0,0,44.62,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,30.37,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,18.94,0,0,0,23.56,69.05

24,05:45-06:00,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,41.83,225,0,0,44.62,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,30.37,42.39,0,43.79,0,0,0.36,0,2.05,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,0,0,46.78,0,0,0,23.56,69.05

25,06:00-06:15,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,41.83,225,0,0,44.62,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,45.55,42.39,0,43.79,0,3.82,0.36,0,0,0,0,0,434.65,0,0,0,0,0,148.3,0,0,0,0,69.05,0,70.17,0,0,0,23.56,0

26,06:15-06:30,0,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,41.83,225,0,0,44.62,0,53.42,0,0,26.4,1.11,0,0,683.14,20.8,0,0,118.76,124.33,104.15,45.55,42.39,0,43.79,0,16.54,0.36,0,0,0,0,2.66,434.65,0,0,0,0,16.48,148.3,0,0,0,0,69.05,0,70.17,0,0,0,23.56,0

27,06:30-06:45,2.2,0,0,17.75,0,0,0,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,41.83,225,0,0,44.84,7.92,53.42,0,0,26.4,1.11,0,9.68,682.79,18.21,0,0,118.76,124.33,104.15,45.55,42.39,0,43.79,0,16.54,0.36,0,0,0,0,5.33,434.65,0,0,0,14.05,32.96,148.3,0,0,0,0,69.05,0,93.56,0,0,0,23.56,0

28,06:45-07:00,13.04,0,0,17.75,0,0,7.9,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,9.29,225,0,0,44.84,27.41,53.42,0,0,26.4,1.11,0,19.38,682.79,18.21,0,0,118.76,124.33,104.15,60.73,42.39,0,43.79,0,16.54,0.36,0,0,0,0,26.34,434.65,0,0,0,28.05,32.96,148.3,0,0,0,0,69.05,0,93.56,0,0,0,23.56,0

29,07:00-07:15,13.04,0,0,17.75,0,0,7.9,10.28,4.31,0,0,53.75,20,0,33.69,0,0,0,92,1.4,225,0,0,44.84,27.41,53.42,0,0,26.4,1.11,0,19.38,682.79,18.21,0,0,118.76,124.33,104.15,60.73,42.39,0,43.79,0,16.54,0.36,0,0,0,0,26.34,434.65,0,0,0,28.05,32.96,148.3,0,0,0,0,69.05,0,93.56,0,0,0,23.56,0

