Block,Time Block,RAPPB,RAPPC,RIHAND1,RIHAND3,RIHAND2,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,NLCEXP,NLCIIST1,MAPS,KOTESHWR,KUDGI,KOLDAM,NAPP,UNCHAHAR3,KGSU1AND2,KGSU3AND4,ANTA_RF,AURY_GF,DADRI_CRF,AURY_RF,AURY_LF,DADRI_GF,AURY_CRF,DADRI_RF,DADRI_LF,VALLURNTECL,ANTA_CRF,ANTA_GF,ANTA_LF,KKNPPU2,KISHANGANGA,KHSTPP-II,KKNP,KHSTPP-I,UNCHAHAR4,URI,URI2,JHAJJAR,BRBCL,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,FSTPP I & II,CHAMERA3,DHAULIGNGA,BSIUL,SALAL,RSTPSU7,RSTPSU1TO6,SIMHST1,SIMHST2,TANDA2,TEHRI,TALST2,TALA,TANAKPUR,UNCHAHAR1,SINGRAULI_HYDRO,UNCHAHAR2,TelanganaSTPP,SINGRAULI,SEWA2,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,25,88.44,34.88,114.16,0,0,0,0,0,0,0,0,0,0,8.53,0,0,41.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.44,0,43.77,0,0.63,4.14,228.26,17.38,0,0,265.32,0,20,0,0,0,1.35,0,0,0,0,0,0,0,0,5.54,13.48,0.68,23.17,0,134.28,0,402.56,0,0,0,0,0

2,00:15-00:30,0,25,88.44,34.88,114.16,0,0,0,0,0,0,0,0,0,0,8.53,0,0,41.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.44,0,43.77,0,0.63,4.14,228.26,16.73,0,0,265.32,0,20,0,0,0,1.35,0,0,0,0,0,0,0,0,5.54,13.48,0.68,23.17,0,134.28,0,402.56,0,0,0,0,0

3,00:30-00:45,0,25,88.44,34.88,114.16,0,0,0,0,0,0,0,0,0,0,8.53,0,0,41.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.44,0,43.77,0,0.63,4.14,228.26,18.8,0,0,265.32,0,20,0,0,0,1.35,0,0,0,0,0,0,0,0,5.54,13.48,0.68,23.17,0,134.28,0,402.56,0,0,0,0,0

4,00:45-01:00,0,25,88.44,34.88,114.16,0,0,0,0,0,0,0,0,0,0,8.53,0,0,41.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.44,0,43.77,0,0.63,4.14,228.26,16.63,0,0,265.32,0,20,0,0,0,1.35,0,0,0,0,0,0,0,0,5.54,13.48,0.68,23.17,0,134.28,0,402.56,0,0,0,0,0

5,01:00-01:15,0,25,88.44,34.88,114.16,18.21,0,0,0,0,0,0,0,0,0,8.53,0,0,41.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.44,0,43.77,0,0.63,4.14,228.26,14.92,0,0,265.32,0,16.04,0,0,0,1.35,0,0,0,0,0,0,0,0,5.54,13.48,0.68,23.18,0,134.28,0,402.56,0,0,0,0,0

