Block,Time,ANTA_LF,JHAJJAR,DULHASTI,DHAULIGNGA,RIHAND2,AURY_LF,SINGRAULI_HYDRO,CHAMERA3,CHAMERA2,NJPC,TEHRI,KOLDAM,AURY_RF,SALAL,RAPPC,RIHAND1,AURY_GF,DADRI_RF,UNCHAHAR3,UNCHAHAR1,RIHAND3,ANTA_CRF,URI,RAMPUR,NAPP,CHAMERA1,DADRI_LF,BSIUL,RAPPB,BRBCL,UNCHAHAR4,KHSTPP-I,PARBATI3,ANTA_RF,DADRI_CRF,TALA,KUDGI,SEWA2,KOTESHWR,DADRT2,UNCHAHAR2,ANTA_GF,FSTPP I & II,SINGRAULI,DADRI_GF,URI2,TANAKPUR,AURY_CRF,KISHANGANGA,KHSTPP-II,SASAN,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,234.686042,15.887261,0.000000,113.884312,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.804263,52.118668,88.697200,0.000000,0.000000,8.474439,11.459917,119.226029,0.000000,38.317190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.281969,0.000000,23.025311,0.000000,0.000000,0.000000,0.000000,64.59,0.000000,0.000000,172.573900,14.461500,0.000000,2.892300,118.945838,0.000000,23.863095,2.470024,0.000000,0.000000,74.235700,403.736157,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,234.686042,15.887261,0.000000,113.884312,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.337336,52.118668,88.697200,0.000000,0.000000,8.474439,7.759529,119.226029,0.000000,38.317190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.281969,0.000000,23.025311,0.000000,0.000000,0.000000,0.000000,65.56,0.000000,0.000000,172.573900,14.461500,0.000000,2.892300,118.945838,0.000000,23.863095,2.470024,0.000000,0.000000,54.953700,403.736157,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,234.686042,15.887261,0.000000,113.884312,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.337336,52.118668,88.697200,0.000000,0.000000,8.474439,8.676900,119.226029,0.000000,6.386198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.235378,0.000000,23.025311,0.000000,0.000000,0.000000,0.000000,63.63,0.000000,0.000000,172.573900,15.425600,0.000000,2.892300,118.945838,0.000000,23.863095,2.470024,0.000000,0.000000,45.312700,403.736157,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,234.686042,15.887261,0.000000,113.884312,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.337336,52.118668,88.697200,0.000000,0.000000,8.474439,8.676900,119.226029,0.000000,6.386198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.118496,0.000000,23.025311,0.000000,0.000000,0.000000,0.000000,62.67,0.000000,0.000000,172.573900,15.425600,0.000000,2.892300,118.945838,0.000000,23.863095,2.470024,0.000000,0.000000,45.312700,403.736157,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,234.686042,15.887261,0.000000,113.884312,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.337336,52.118668,88.697200,0.000000,0.000000,8.474439,8.676900,119.226029,0.000000,6.386198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.032069,0.000000,14.461500,0.000000,0.000000,0.000000,0.000000,61.70,0.000000,0.000000,172.573900,15.425600,0.000000,2.892300,118.945838,0.000000,23.863095,2.470024,0.000000,0.000000,45.312700,403.736157,0.000000,0,0,0,0,0

