Block,Time Block,NTPL,PARBATI3,PARBATI2,RAMPUR,KHSTPP-II,KKNP,KISHANGANGA,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,MAPS,NLCTS2EXP,NAPP,NNTPP,NLCIIST1,NLCIIST2,NLCEXP,NJPC,KGSU3AND4,KHSTPP-I,DADRI_RF,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,CHAMERA2,CHAMERA3,DHAULIGNGA,DADRT2,AURY_LF,ANTA_LF,DADRI_GF,AURY_RF,DADRI_CRF,AURY_GF,ANTA_RF,AURY_CRF,DADRI_LF,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,ANTA_GF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_CRF,URI2,UNCHAHAR3,BSIUL,BRBCL,CHAMERA1,TANDA2,TALST2,TANAKPUR,TALA,SINGRAULI,SINGRAULI_HYDRO,RIHAND2,SIMHST2,RSTPSU7,RIHAND1,SALAL,SEWA2,RAPPB,RSTPSU1TO6,RAPPD,RIHAND3,SASAN,RAPPC,SIMHST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,32.51,23.15,6,95.21,0,8.31,10.04,0,9.24,0,0,0,24.82,0,0,0,0,151.01,0,43.85,1.77,13.77,57.3,518.44,0,47,22.47,10.54,528.61,0,0,0,1.79,0,0,1.06,0,0,0,42.09,49.44,28.05,0,21.13,1.34,0,0,36.69,26.66,12.56,19.26,40.59,2.49,0,6.04,0,144.11,1.02,119.97,0,0,93.63,73.85,0,0,0,20.86,125.95,327.03,66.51,0,0,0,0,0,0

2,00:15-00:30,0,32.51,23.15,6,95.21,0,8.31,10.04,0,9.24,0,0,0,24.82,0,0,0,0,151.01,0,43.85,0,13.77,57.3,518.44,0,47,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.34,0,0,36.69,26.66,12.56,19.26,40.59,2.49,0,6.04,0,144.11,1.02,119.97,0,0,93.63,73.85,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

3,00:30-00:45,0,32.51,23.15,6,95.21,0,8.31,10.04,0,9.24,0,0,0,24.82,0,0,0,0,151.01,0,43.85,0,13.77,57.3,518.74,0,47,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.31,0,0,36.69,26.66,12.56,17.34,40.59,2.49,0,6.04,0,144.11,1.02,119.97,0,0,93.63,73.85,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

4,00:45-01:00,0,32.51,23.15,6,95.21,0,8.31,10.04,0,9.24,0,0,0,24.82,0,0,0,0,151.01,0,43.85,0,13.77,57.3,518.74,0,47,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.31,0,0,36.69,26.66,12.56,13.61,40.59,2.49,0,6.04,0,144.11,1.02,119.97,0,0,93.63,73.85,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

5,01:00-01:15,0,32.51,23.15,6,95.21,0,8.31,10.04,0,9.24,0,0,0,24.82,0,0,0,0,151.01,0,43.85,0,13.77,57.3,518.74,0,47,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.31,0,0,36.69,26.66,12.56,14.38,40.59,2.49,0,6.04,0,144.11,1.02,119.97,0,0,93.63,73.85,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

6,01:15-01:30,0,32.51,23.15,5.3,95.21,0,8.31,10.04,0,9.24,0,0,0,24.82,0,0,0,0,133.21,0,43.85,0,13.77,57.3,518.74,0,47,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.31,0,0,36.69,26.66,12.56,14.86,40.59,2.49,0,6.04,0,144.11,1.02,119.97,0,0,93.63,73.85,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

7,01:30-01:45,0,32.51,23.15,5.3,95.21,0,8.31,10.04,0,6.92,0,0,0,24.82,0,0,0,0,133.21,0,43.85,0,13.77,57.3,518.74,0,47,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.31,0,0,36.69,26.66,12.56,12.62,40.59,2.61,0,1.23,0,144.11,1.02,119.97,0,0,93.63,73.85,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

8,01:45-02:00,0,22.17,23.15,5.3,95.21,0,8.31,10.04,0,6.92,0,0,0,24.82,0,0,0,0,133.21,0,43.85,0,13.77,57.3,518.74,0,47,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.31,0,0,36.69,26.66,12.56,13.39,40.59,2.61,0,1.23,0,144.11,1.02,119.97,0,0,93.63,73.85,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

9,02:00-02:15,0,22.17,23.15,5.3,95.21,0,8.31,10.04,0,6.92,0,0,0,24.82,0,0,0,0,133.21,0,43.85,0,13.77,57.3,518.74,0,47,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.31,0,0,36.69,26.66,6.28,12.49,40.59,2.61,0,1.23,0,144.11,1.02,119.97,0,0,93.63,49.24,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

10,02:15-02:30,0,22.17,23.15,5.3,95.21,0,8.31,10.04,0,6.92,0,0,0,24.82,0,0,0,0,133.21,0,43.85,0,13.77,57.3,518.74,0,47,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.31,0,0,36.69,26.66,6.28,10.89,40.59,2.61,0,1.23,0,144.11,1.02,119.97,0,0,93.63,49.24,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

11,02:30-02:45,0,22.17,23.15,5.3,95.21,0,8.31,10.04,0,6.92,0,0,0,24.82,0,0,0,0,133.21,0,43.85,0,13.77,57.3,518.74,0,31.33,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.34,0,0,36.69,26.66,6.28,11.16,40.59,2.61,0,1.23,0,144.78,1.02,119.97,0,0,93.63,49.24,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

12,02:45-03:00,0,22.17,23.15,5.3,95.21,0,8.31,10.04,0,6.92,0,0,0,24.82,0,0,0,0,133.21,0,43.85,0,13.77,57.3,518.74,0,31.33,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.34,0,0,36.69,26.66,6.28,11.39,40.59,2.61,0,1.23,0,144.78,1.02,119.97,0,0,93.63,49.24,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

13,03:00-03:15,0,22.17,23.15,5.3,95.21,0,8.31,10.04,0,6.92,0,0,0,24.82,0,0,0,0,133.21,0,43.85,0,13.77,57.3,518.74,0,31.33,22.47,10.54,528.61,0,0,0,0,0,0,0,0,0,0,42.09,49.44,28.05,0,21.13,1.34,0,0,36.69,26.66,12.56,10.86,40.59,2.61,0,0.99,0,144.78,1.02,119.97,0,0,93.63,49.24,0,0,0,20.86,125.95,327.18,66.51,0,0,0,0,0,0

