Block,Time,KHSTPP-II,KKNP,KOTESHWR,NJPC,SASAN,SINGRAULI_HYDRO,ANTA_CRF,DADRI_GF,BRBCL,FSTPP I & II,NLCIIST2,NLCTS2EXP,RAMPUR,RAPPB,SINGRAULI,TEHRIPSP,UNCHAHAR4,ANTA_RF,CHAMERA3,KOLDAM,KUDGI,NNTPP,RAPPC,RIHAND1,SIMHST1,TANAKPUR,TEHRI,UNCHAHAR2,URI2,ANTA_LF,DADRI_CRF,DADRI_RF,BSIUL,CHAMERA1,JHAJJAR,KHSTPP-I,PARBATI2,AURY_RF,DULHASTI,KGSU3AND4,KISHANGANGA,KKNPPU2,MAPS,NLCEXP,NLCIIST1,RSTPSU7,SALAL,SEWA2,SIMHST2,TALA,UNCHAHAR1,VALLURNTECL,KGSU1AND2,NTPL,RAPPD,URI,CHAMERA2,DADRT2,NAPP,RSTPSU1TO6,TALST2,TANDA2,ANTA_GF,AURY_GF,DHAULIGNGA,PARBATI3,RIHAND2,RIHAND3,TelanganaSTPP,UNCHAHAR3,AURY_CRF,AURY_LF,DADRI_LF
1,00:00-00:15,98.87,0,45.08,175.8,343.12,0,0,0,24.99,20.15,0,0,5.68,0,74.95,192.57,1.74,52.09,33.95,8.63,0,0,65.11,48.09,0,3.85,82.36,43.72,37.41,0,0,106.06,19.56,42.15,667.27,45.53,25.69,82.48,38.32,0,6.97,0,0,0,0,0,81.34,18.34,0,24.32,21.44,0,0,0,40.06,17.67,47.12,688.19,24.36,0,0,5.73,0,0,42.46,50.55,125.27,130.84,0,27.1,0,0,0

2,00:15-00:30,98.87,0,45.08,175.8,343.12,0,0,0,24.99,20.15,0,0,5.68,0,74.95,192.57,1.74,52.09,33.95,8.63,0,0,65.11,48.09,0,3.85,82.36,43.46,37.41,0,0,106.06,19.56,42.15,667.27,45.53,25.69,82.48,38.32,0,6.97,0,0,0,0,0,81.34,18.34,0,24.32,21.44,0,0,0,40.06,17.67,47.12,689.39,24.36,0,0,5.73,0,0,42.46,50.55,125.27,130.84,0,27.1,0,0,0

3,00:30-00:45,98.87,0,45.08,175.8,343.12,0,0,0,24.99,20.15,0,0,5.68,0,74.95,192.57,1.74,52.09,33.95,8.63,0,0,65.11,48.09,0,3.85,82.36,43.46,37.41,0,0,106.06,19.56,42.15,667.27,45.53,25.69,82.48,38.32,0,6.97,0,0,0,0,0,81.34,18.34,0,24.4,21.44,0,0,0,40.06,47.47,47.12,689.39,24.36,0,0,5.73,0,0,42.46,52.04,125.27,130.84,0,27.1,0,0,0

4,00:45-01:00,98.87,0,45.08,175.8,343.12,0,0,0,24.99,20.15,0,0,5.68,0,74.95,192.57,1.74,52.09,33.95,8.63,0,0,65.11,48.09,0,11.91,82.36,43.46,37.41,0,0,106.06,19.56,42.15,667.27,45.53,25.69,82.48,38.32,0,6.97,0,0,0,0,0,81.34,18.34,0,24.4,21.65,0,0,0,40.06,47.47,47.12,689.39,24.36,0,0,5.73,0,0,42.46,52.04,125.27,130.84,0,27.1,0,0,0

5,01:00-01:15,98.87,0,45.08,175.8,343.12,0,0,0,24.99,20.15,0,0,5.68,0,74.95,192.57,1.74,52.34,33.95,8.63,0,0,65.11,48.09,0,11.91,82.36,44.52,37.41,0,0,106.06,19.56,42.15,667.27,45.53,25.69,82.48,38.32,0,6.97,0,0,0,0,0,81.34,18.34,0,24.4,21.65,0,0,0,40.06,48.57,47.12,689.39,24.36,0,0,5.73,0,0,42.46,52.04,125.27,130.84,0,27.38,0,0,0

