Block,Time,ANTA_GF,ANTA_LF,SALAL,RAMPUR,URI2,ANTA_RF,DULHASTI,SINGRAULI,NJPC,AURY_LF,KISHANGANGA,UNCHAHAR4,TANDA2,TANAKPUR,DADRI_GF,DHAULIGNGA,DADRI_RF,KOTESHWR,KOLDAM,ANTA_CRF,DADRT2,SINGRAULI_HYDRO,TEHRI,BSIUL,RIHAND3,CHAMERA2,UNCHAHAR1,AURY_GF,CHAMERA1,RAPPB,PARBATI3,AURY_CRF,RIHAND2,UNCHAHAR3,UNCHAHAR2,RAPPC,URI,RIHAND1,DADRI_LF,JHAJJAR,DADRI_CRF,AURY_RF,FSTPP I & II,KHSTPP-I,KHSTPP-II,CHAMERA3,SEWA2,NAPP,SASAN,BRBCL,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,59.448966,6.511447,37.636956,0.000000,57.122017,144.784333,173.717757,0.000000,5.367487,2.974353,5.172163,2.967718,0.000000,42.025433,9.585429,26.707451,9.879916,0.000000,664.527914,1.149827,39.996511,18.883585,125.469694,46.816884,21.844739,0.000000,39.349489,0.000000,22.092054,0.000000,120.064014,26.678575,43.348365,65.793651,32.503582,92.626272,0.000000,465.699332,0.000000,0.000000,11.420222,42.772443,143.057460,33.622609,18.148236,47.154641,404.238681,19.305970,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,59.448966,6.511447,37.636956,0.000000,57.122017,144.784333,173.717757,0.000000,5.367487,2.982777,5.172163,2.967718,0.000000,42.025433,9.585429,26.707451,9.879916,0.000000,664.527914,1.149827,39.996511,18.883585,125.469694,46.816884,21.844739,0.000000,40.685542,0.000000,22.092054,0.000000,120.064014,26.678575,43.348365,65.793651,32.503582,92.626272,0.000000,465.699332,0.000000,0.000000,11.535335,42.772443,143.057460,33.622609,18.148236,47.154641,404.238681,19.305970,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,59.448966,6.511447,37.636956,0.000000,57.122017,144.784333,173.717757,0.000000,5.367487,2.982777,5.172163,2.967718,0.000000,42.025433,9.585429,26.707451,9.879916,0.000000,664.527914,1.149827,39.996511,18.883585,125.469694,46.816884,21.844739,0.000000,40.685542,0.000000,22.092054,0.000000,120.064014,26.678575,43.348365,65.793651,32.503582,92.626272,0.000000,465.699332,0.000000,0.000000,11.535335,42.772443,143.057460,33.622609,18.148236,47.154641,404.238681,19.052542,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,59.448966,6.511447,37.636956,0.000000,57.122017,144.784333,173.717757,0.000000,5.367487,2.982777,5.172163,2.967718,0.000000,42.025433,9.585429,26.707451,9.879916,0.000000,664.527914,1.149827,39.996511,18.883585,125.469694,46.816884,21.844739,0.000000,40.685542,0.000000,22.092054,0.000000,120.064014,26.678575,43.348365,65.793651,32.503582,92.626272,0.000000,465.699332,0.000000,0.000000,11.535335,42.772443,143.057460,33.622609,18.148236,47.154641,404.238681,15.111335,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,59.448966,6.511447,37.636956,0.000000,57.122017,144.784333,173.717757,0.000000,5.367487,2.982777,5.172163,2.967718,0.000000,42.025433,1.133135,26.707451,9.879916,0.000000,664.527914,1.149827,39.996511,18.883585,125.469694,46.816884,21.844739,0.000000,40.685542,0.000000,22.092054,0.000000,120.064014,26.678575,43.348365,65.793651,31.970736,92.626272,0.000000,465.699332,0.000000,0.000000,11.535335,42.772443,143.057460,33.622609,18.148236,47.154641,404.238681,14.730839,0.000000,0,0,0,0,0

