Column1,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/6891,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/9482,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2025/01/01/8625,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/9606,NR/01102023/30042040/GNA_LT_36,GNA/SR/2025/03/01/7500,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/3469,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036
1,00:00-00:15,10.5,31.5,0,0,0,0,0,0,0,0,0,0,29,8,10.5,0,29,0,0,7,0,63.42,35.01,63.96,0.78,30.28,1.15,17.28,0,194.14,100.01,271.44,0,1.39,0,0,200,0,4.22,23.04,5.76,190.26,0,6.72,42,23.04,23.04

2,00:15-00:30,10.5,31.5,0,0,0,0,0,0,0,0,0,0,28.66,8.33,10.5,0,28.67,0,0,7,0,63.42,35.01,86.59,0.78,30.28,1.15,17.28,0,225.52,100.01,271.44,0,1.39,0,0,200,0,4.22,23.04,5.76,190.26,0,6.72,42,23.04,23.04

3,00:30-00:45,10.5,31.5,0,0,0,0,0,0,0,0,0,0,28.34,8.67,10.5,0,28.33,0,0,7,0,63.42,35.01,86.59,1.12,30.28,1.15,17.28,0,259.78,100.01,271.44,0,1.39,0,0,200,0,4.22,23.04,5.76,190.26,0,6.72,42,23.04,23.04

4,00:45-01:00,10.33,31.01,0,0,0,0,0,0,0,0,0,0,28,8.67,10.33,0,28,0,0,7,0,63.42,35.01,86.59,1.12,30.28,1.15,17.28,0,259.78,100.01,271.44,0,1.39,0,0,200,0,4.22,23.04,5.76,190.26,0,6.72,42,23.04,23.04

5,01:00-01:15,10.67,31.99,0,0,0,0,0,0,0,0,0,0,27.34,8.67,10.67,0,27.33,0,0,7,0,63.42,32.94,86.59,1.12,30.28,1.15,17.28,0,259.78,100.01,271.44,0,1.39,0,0,200,0,4.22,23.04,5.76,190.26,0,6.72,42,23.04,23.04

6,01:15-01:30,10.67,31.99,0,0,0,0,0,0,0,0,0,0,26.66,9,10.67,0,26.67,0,0,7,0,63.42,32.94,86.59,1.12,30.28,1.15,17.28,0,259.78,100.01,271.44,0,1.39,0,0,200,0,4.22,23.04,5.76,190.26,0,6.72,42,23.04,23.04

7,01:30-01:45,10.5,31.5,0,0,0,0,0,0,0,0,0,0,26,9,10.5,0,26,0,0,7,0,63.42,32.94,86.59,1.12,30.28,1.15,17.28,0,259.78,100.01,271.44,0,1.39,0,0,200,0,4.22,23.04,5.76,190.26,0,6.72,42,23.04,23.04

8,01:45-02:00,10.5,31.5,0,0,0,0,0,0,0,0,0,0,25.34,9.33,10.5,0,25.33,0,0,7,0,63.42,32.94,86.59,1.12,30.28,1.15,17.28,0,259.78,100.01,271.44,0,1.39,0,0,200,0,4.22,23.04,5.76,190.26,0,6.72,42,23.04,23.04

9,02:00-02:15,9.5,28.5,0,0,0,0,0,0,0,0,0,0,24.66,9.33,9.5,0,24.67,0,0,7,0,63.42,32.94,86.59,1.12,30.28,1.15,17.28,0,259.78,100.01,271.44,0,1.39,0,0,0,0,4.14,23.04,5.76,190.26,0,6.72,42,23.04,23.04

10,02:15-02:30,9.33,28.01,0,0,0,0,0,0,0,0,0,0,23.34,8.67,9.33,0,23.33,0,0,7,0,63.42,32.94,86.59,1.12,30.28,1.15,17.28,0,259.78,100.01,271.44,0,1.39,0,0,0,0,4.14,23.04,5.76,190.26,0,6.72,42,23.04,23.04

11,02:30-02:45,9.17,27.49,0,0,0,0,0,0,0,0,0,0,16.66,7.33,9.17,0,16.67,0,0,7,0,63.42,32.94,86.59,1.12,30.28,1.15,17.28,0,259.78,100.01,271.44,0,1.39,0,0,0,0,4.14,23.04,5.76,190.26,0,6.72,42,23.04,23.04

12,02:45-03:00,9,27,0,0,0,0,0,0,0,0,0,0,16.34,7.33,9,0,16.33,0,0,7,0,63.42,32.94,86.59,1.12,30.28,1.15,17.28,0,259.78,100.01,271.44,0,1.39,0,0,0,0,4.14,23.04,5.76,190.26,0,6.72,42,23.04,23.04

13,03:00-03:15,8.83,26.51,0,0,0,0,0,0,0,0,0,0,16,7.33,8.83,0,16,0,0,7,0,63.42,32.94,74.43,1.12,30.28,1.23,17.28,0,228.39,100.01,271.44,0,1.39,0,0,0,0,4.14,23.04,5.76,190.26,0,6.72,42,23.04,23.04

14,03:15-03:30,8.17,24.49,0,0,0,0,0,0,0,0,0,0,15.66,7.33,8.17,0,15.67,0,0,7,0,63.42,32.94,74.43,1.12,30.28,1.23,17.28,0,228.39,100.01,230.4,0,1.39,0,0,0,0,4.14,23.04,5.76,190.26,0,6.72,42,23.04,23.04

15,03:30-03:45,7.83,23.51,0,0,0,0,0,0,0,0,0,0,15,7.33,7.83,0,15,0,0,7,0,63.42,32.94,74.43,1.16,30.28,1.23,17.28,0,228.39,100.01,271.44,0,1.39,0,0,0,0,4.14,23.04,5.76,190.26,0,6.72,42,23.04,23.04

16,03:45-04:00,7.5,22.5,0,0,0,0,0,0,0,0,0,0,15,7.33,7.5,0,15,0,0,7,0,63.42,32.94,74.43,1.16,30.28,1.23,17.28,0,228.39,100.01,271.44,0,1.39,0,0,0,0,4.14,23.04,5.76,190.26,0,6.72,42,23.04,23.04

17,04:00-04:15,7.5,22.5,0,0,0,0,0,0,0,0,0,0,15,7,7.5,0,15,0,0,7,0,63.42,32.94,75.66,1.16,30.28,1.23,17.28,0,224.18,100.01,271.44,0,1.35,0,0,0,0,4.14,23.04,5.76,190.26,0,6.72,42,23.04,23.04

18,04:15-04:30,7.5,22.5,0,0,0,0,0,0,0,0,0,0,15,6.67,7.5,0,15,0,0,7,0,63.42,32.94,75.66,1.16,30.28,1.23,17.28,0,224.18,100.01,271.44,0,1.35,0,0,0,0,4.14,23.04,5.76,190.26,0,6.72,42,23.04,23.04

