Block,Time Block,JHAJJAR,KUDGI,KGSU1AND2,KGSU3AND4,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KHSTPP-I,KISHANGANGA,NJPC,MAPS,NLCEXP,NAPP,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,CHAMERA3,BRBCL,CHAMERA2,CHAMERA1,BSIUL,ANTA_CRF,ANTA_RF,URI2,UNCHAHAR3,ANTA_LF,AURY_GF,AURY_LF,UNCHAHAR2,URI,ANTA_GF,AURY_CRF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,PARBATI3,PARBATI2,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,RIHAND2,SASAN,RIHAND1,RAPPB,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RAPPD,RSTPSU7,SEWA2,SINGRAULI,SALAL,RAMPUR,RIHAND3,RAPPC,TALST2,TANAKPUR,TelanganaSTPP,TALA,TEHRI,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,373.23,0,0,0,10.08,142.77,0,0,9.26,32.25,8.34,174.74,0,0,24.77,31.71,19.73,56.69,221.66,33.84,19.28,47.15,40.72,18.89,0,0,36.8,26.65,0,0,0,42.51,49.06,0,0,20.73,0,1.64,0,0,0,0,0,71.16,47.18,0,0,0,0,0,119.92,390.75,93.7,0,0,0.97,0,0,0,0,12.18,108.18,76.32,6.74,91.91,65.41,0,6.06,0,3.12,29.3,5.33,0,0,0,0,0

2,00:15-00:30,373.23,0,0,0,10.08,142.77,0,0,9.26,32.25,8.34,174.74,0,0,24.77,31.71,19.73,56.69,221.66,33.84,17.69,47.15,40.72,18.89,0,0,36.8,26.65,0,0,0,42.51,49.06,0,0,20.73,0,1.64,0,0,0,0,0,71.16,47.18,0,0,0,0,0,119.92,391.23,93.7,0,0,0.97,0,0,0,0,12.18,108.3,76.32,6.74,91.91,65.41,0,6.06,0,3.12,29.3,5.33,0,0,0,0,0

3,00:30-00:45,373.23,0,0,0,10.08,142.77,0,0,9.26,32.25,8.34,174.74,0,0,24.77,31.71,19.73,56.69,221.66,33.84,16.65,47.15,40.72,18.89,0,0,36.8,26.65,0,0,0,42.51,49.06,0,0,20.73,0,1.64,0,0,0,0,0,71.16,47.18,0,0,0,0,0,119.92,391.23,93.7,0,0,0.97,0,0,0,0,12.18,108.3,76.32,6.74,91.91,65.41,0,6.06,0,3.12,29.3,5.33,0,0,0,0,0

4,00:45-01:00,373.23,0,0,0,10.08,142.77,0,0,9.26,32.25,8.34,174.74,0,0,24.77,31.71,19.73,56.69,221.66,33.84,14.65,47.15,40.72,18.89,0,0,36.8,26.65,0,0,0,42.51,49.06,0,0,20.73,0,1.64,0,0,0,0,0,71.16,47.18,0,0,0,0,0,119.92,391.23,93.7,0,0,0.97,0,0,0,0,12.18,108.3,76.32,6.74,91.91,65.41,0,6.06,0,3.12,29.3,5.33,0,0,0,0,0

5,01:00-01:15,373.23,0,0,0,10.08,142.77,0,0,9.26,32.25,8.34,174.74,0,0,24.77,31.71,19.73,56.69,194.47,33.84,15.3,47.15,40.72,18.89,0,0,36.8,26.65,0,0,0,42.51,49.06,0,0,20.73,0,1.64,0,0,0,0,0,65.21,47.18,0,0,0,0,0,119.92,391.23,93.7,0,0,0.97,0,0,0,0,12.18,108.3,76.32,6.74,91.91,65.41,0,6.06,0,3.12,29.3,5.33,0,0,0,0,0

6,01:15-01:30,373.23,0,0,0,10.08,142.77,0,0,9.26,32.25,8.34,174.74,0,0,24.77,31.71,19.73,56.69,186.74,33.84,14.68,47.15,40.72,18.89,0,0,36.8,26.65,0,0,0,42.97,49.06,0,0,20.73,0,2.14,0,0,0,0,0,65.21,47.18,0,0,0,0,0,119.92,391.23,93.7,0,0,0.97,0,0,0,0,12.18,108.3,76.32,6.74,91.91,65.41,0,6.06,0,3.12,29.3,5.33,0,0,0,0,0

7,01:30-01:45,373.23,0,0,0,10.08,142.77,0,0,9.26,32.25,8.34,174.74,0,0,24.77,31.71,19.73,56.69,160.66,33.84,13.79,47.15,40.72,18.89,0,0,36.8,26.65,0,0,0,42.97,49.06,0,0,20.73,0,2.14,0,0,0,0,0,65.21,47.18,0,0,0,0,0,119.92,391.23,93.7,0,0,0.97,0,0,0,0,12.18,108.3,76.32,6.74,92.53,65.41,0,6.06,0,3.12,29.3,5.33,0,0,0,0,0

8,01:45-02:00,373.23,0,0,0,10.08,142.77,0,0,9.26,32.25,8.34,174.74,0,0,24.77,31.71,17.79,56.69,155.83,33.84,12.82,47.15,40.72,18.89,0,0,36.8,22.79,0,0,0,37.17,49.06,0,0,18.8,0,2.14,0,0,0,0,0,65.21,47.18,0,0,0,0,0,119.92,391.23,93.7,0,0,0.97,0,0,0,0,6.09,108.3,76.32,6.74,92.53,65.41,0,6.06,0,3.12,29.3,5.33,0,0,0,0,0

9,02:00-02:15,368.09,0,0,0,10.08,142.77,0,0,9.26,30.08,8.34,174.74,0,0,24.77,31.71,17.79,56.69,116.84,33.84,13.29,47.15,40.72,18.89,0,0,36.8,22.25,0,0,0,36.58,49.06,0,0,18.46,0,1.77,0,0,0,0,0,56.33,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,6.09,100.79,76.32,6.74,89.88,65.41,0,1.73,0,3.12,29.3,3.05,0,0,0,0,0

10,02:15-02:30,368.09,0,0,0,10.08,142.77,0,0,9.26,30.08,8.34,174.74,0,0,24.77,31.71,17.79,56.69,72.09,33.84,12.3,47.15,40.72,18.89,0,0,36.8,22.25,0,0,0,36.58,49.06,0,0,18.46,0,1.77,0,0,0,0,0,56.33,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,5.82,100.79,76.32,6.74,89.88,65.41,0,1.73,0,3.12,29.3,3.05,0,0,0,0,0

11,02:30-02:45,368.09,0,0,0,10.08,142.77,0,0,9.26,30.08,8.34,174.74,0,0,24.77,31.71,17.79,56.69,33.57,33.84,13.18,47.15,40.72,18.89,0,0,36.8,22.25,0,0,0,36.58,49.06,0,0,18.46,0,1.77,0,0,0,0,0,56.33,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,5.82,100.79,76.32,6.74,89.88,65.41,0,1.73,0,3.12,29.3,3.05,0,0,0,0,0

12,02:45-03:00,368.09,0,0,0,10.08,142.77,0,0,9.26,32.22,8.34,174.74,0,0,24.77,31.71,17.79,56.69,4.97,33.84,15.6,47.15,40.72,18.89,0,0,36.8,22.25,0,0,0,36.58,49.06,0,0,18.46,0,1.77,0,0,0,0,0,56.33,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,5.82,100.79,76.32,6.74,89.88,65.41,0,1.73,0,3.12,29.3,3.05,0,0,0,0,0

13,03:00-03:15,377.19,0,0,0,10.08,142.77,0,0,9.26,30.08,8.34,174.74,0,0,24.77,31.71,17.79,56.69,13.33,33.84,18.43,47.15,40.72,12.6,0,0,36.8,22.25,0,0,0,36.58,49.06,0,0,18.46,0,1.77,0,0,0,0,0,48.92,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,0,100.79,76.32,6.74,89.88,65.41,0,1.73,0,1.99,29.3,3.05,0,0,0,0,0

14,03:15-03:30,377.19,0,0,0,10.08,142.77,0,0,9.26,30.08,8.34,174.74,0,0,24.77,31.71,17.79,56.69,54.29,33.84,19.32,47.15,40.72,12.6,0,0,36.8,22.25,0,0,0,36.58,49.06,0,0,18.46,0,1.77,0,0,0,0,0,48.92,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,0,100.79,76.32,6.74,89.88,65.41,0,1.73,0,1.99,29.3,3.05,0,0,0,0,0

15,03:30-03:45,377.19,0,0,0,10.08,123.45,0,0,9.26,30.08,8.34,174.74,0,0,24.77,31.71,17.79,56.69,66.3,33.84,18.32,47.15,40.72,12.6,0,0,36.8,22.25,0,0,0,36.58,49.06,0,0,18.46,0,1.77,0,0,0,0,0,48.92,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,0,100.79,76.32,6.74,89.88,65.41,0,1.73,0,1.7,29.3,3.05,0,0,0,0,0

16,03:45-04:00,377.19,0,0,0,10.08,142.77,0,0,9.26,30.08,8.34,174.74,0,0,24.77,31.71,17.79,56.69,56.64,33.84,19.32,47.15,40.72,12.6,0,0,36.8,22.25,0,0,0,36.58,49.06,0,0,18.46,0,1.77,0,0,0,0,0,48.92,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,0,100.79,76.32,6.74,89.88,65.41,0,1.73,0,1.7,29.3,3.05,0,0,0,0,0

17,04:00-04:15,377.19,0,0,0,10.08,130.22,0,0,9.26,30.08,8.34,174.74,0,0,24.77,21.14,13.81,56.69,46.98,33.84,19.32,47.15,40.72,12.6,0,0,36.8,16.89,0,0,0,27.73,49.06,0,0,14.23,0,1.77,0,0,0,0,0,56.33,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,0,100.79,76.32,6.74,123.3,65.41,0,1.73,0,2.27,29.3,3.05,0,0,0,0,0

18,04:15-04:30,377.19,0,0,0,10.08,142.77,0,0,9.26,30.08,8.34,174.74,0,0,24.77,21.14,13.81,56.69,46.98,33.84,19.32,47.15,40.72,12.6,0,0,36.8,16.89,0,0,0,27.73,49.06,0,0,14.23,0,1.77,0,0,0,0,0,56.33,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,0,100.79,76.32,6.74,123.3,65.41,0,1.73,0,2.27,29.3,3.05,0,0,0,0,0

19,04:30-04:45,377.19,0,0,0,10.08,131.18,0,0,9.26,30.08,8.34,174.74,0,0,24.77,21.14,13.81,56.69,46.98,33.84,19.32,47.15,40.72,12.6,0,0,36.8,16.89,0,0,0,27.73,49.06,0,0,14.23,0,1.77,0,0,0,0,0,56.33,47.18,0,0,0,0,0,117.04,391.23,91.77,0,0,0.97,0,0,0,0,0,100.79,76.32,6.74,123.3,65.41,0,1.73,0,2.27,29.3,3.05,0,0,0,0,0

