Block,Time,KOTESHWR,NLCTS2EXP,RIHAND3,RSTPSU7,SINGRAULI_HYDRO,UNCHAHAR1,ANTA_LF,BSIUL,DADRT2,DHAULIGNGA,JHAJJAR,MAPS,RSTPSU1TO6,SIMHST1,TANAKPUR,UNCHAHAR3,UNCHAHAR4,URI,URI2,ANTA_GF,DADRI_GF,DULHASTI,KGSU3AND4,KHSTPP-I,KHSTPP-II,KOLDAM,TALST2,CHAMERA1,KGSU1AND2,NAPP,NLCEXP,NTPL,RAPPC,SALAL,SASAN,TelanganaSTPP,UNCHAHAR2,NNTPP,RIHAND1,SINGRAULI,TALA,AURY_CRF,AURY_GF,CHAMERA3,FSTPP I & II,KISHANGANGA,RAPPB,RIHAND2,SEWA2,SIMHST2,TEHRI,AURY_RF,DADRI_LF,BRBCL,CHAMERA2,KUDGI,NJPC,NLCIIST2,RAMPUR,VALLURNTECL,ANTA_CRF,DADRI_CRF,KKNP,KKNPPU2,NLCIIST1,PARBATI3,TANDA2,ANTA_RF,AURY_LF,DADRI_RF
1,00:00-00:15,9.66,0,127.6,0,0,20.96,0,13.04,686.07,0,413.81,0,0,0,8.71,26.4,0,47.47,36.05,0,0,53.79,0,33.69,98.87,5.35,0,28.1,0,44.62,0,0,60.53,83.67,393.75,0,42.4,0,57.61,101.27,7.06,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,17.56,2.89,48.13,0,97.42

2,00:15-00:30,9.66,0,127.6,0,0,20.96,0,13.04,686.07,0,413.81,0,0,0,8.71,27.05,0,47.47,36.05,0,0,53.79,0,33.69,98.87,5.35,0,28.1,0,44.62,0,0,60.53,83.67,393.75,0,42.4,0,57.61,101.27,7.06,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,17.56,2.89,48.13,0,97.42

3,00:30-00:45,9.66,0,127.6,0,0,20.96,0,13.04,686.07,0,413.81,0,0,0,8.71,27.05,0,43.05,36.05,0,0,53.79,0,33.69,98.87,5.35,0,28.1,0,44.62,0,0,60.53,83.67,393.75,0,42.4,0,57.61,101.27,6.23,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,17.56,2.89,48.13,0,97.42

4,00:45-01:00,9.66,0,127.6,0,0,20.96,0,13.04,686.07,0,413.81,0,0,0,8.71,27.05,1.62,43.05,36.05,0,0,53.79,0,33.69,98.87,5.35,0,28.1,0,44.62,0,0,60.53,83.67,393.75,0,42.4,0,57.61,101.27,6.29,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,17.56,2.89,48.13,0,97.42

5,01:00-01:15,9.66,0,127.6,0,0,20.96,0,13.04,686.07,0,413.81,0,0,0,8.71,27.05,1.62,43.05,36.05,0,0,53.79,0,33.69,98.87,5.35,0,42.15,0,44.62,0,0,60.53,83.67,393.75,0,43.71,0,40.13,101.27,6.33,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

6,01:15-01:30,9.66,0,127.6,0,0,20.96,0,13.04,686.07,0,413.81,0,0,0,8.71,27.05,1.62,47.47,36.05,0,0,53.79,0,33.69,98.87,5.35,0,42.15,0,44.62,0,0,60.53,83.67,393.75,0,43.71,0,40.13,101.27,6.23,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

7,01:30-01:45,9.66,0,127.6,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.71,27.05,1.62,47.47,36.05,0,0,53.79,0,33.69,98.87,5.35,0,42.15,0,44.62,0,0,60.53,83.67,393.75,0,43.71,0,40.13,101.27,2.7,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

8,01:45-02:00,9.66,0,127.6,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.71,27.05,1.62,47.47,36.05,0,0,53.79,0,33.69,98.87,5.35,0,42.15,0,44.62,0,0,60.53,83.67,393.75,0,43.71,0,40.13,101.27,2.76,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

9,02:00-02:15,9.66,0,127.6,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.71,27.05,1.62,43.05,36.05,0,0,53.79,0,33.69,98.87,5.35,0,42.15,0,44.62,0,0,60.53,83.67,379.12,0,43.71,0,40.13,101.27,2.76,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

10,02:15-02:30,9.66,0,127.6,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.71,27.05,1.62,43.05,36.05,0,0,53.79,0,33.69,98.87,4.85,0,42.15,0,44.62,0,0,60.53,83.67,379.12,0,43.71,0,40.13,101.27,2.76,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

11,02:30-02:45,9.66,0,60.92,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.71,27.05,1.62,43.05,36.05,0,0,53.79,0,33.69,98.87,4.85,0,42.15,0,44.62,0,0,60.53,83.67,379.12,0,43.71,0,40.13,101.27,2.82,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

12,02:45-03:00,9.66,0,60.92,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.71,27.05,1.62,47.47,36.05,0,0,53.79,0,33.69,98.87,4.85,0,42.15,0,44.62,0,0,60.53,83.67,379.12,0,43.71,0,40.13,101.27,2.73,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

13,03:00-03:15,9.66,0,60.92,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.33,27.05,1.62,47.47,32.51,0,0,53.79,0,33.69,98.87,4.85,0,42.15,0,44.62,0,0,60.53,79.6,379.12,0,43.71,0,40.13,101.27,2.82,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

14,03:15-03:30,9.66,0,60.92,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.33,27.05,1.62,47.47,32.51,0,0,53.79,0,33.69,98.87,4.85,0,28.1,0,44.62,0,0,60.53,79.6,379.12,0,43.71,0,40.13,101.27,2.82,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

15,03:30-03:45,9.66,0,60.92,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.33,27.05,1.62,43.05,32.51,0,0,53.79,0,33.69,98.87,4.85,0,28.1,0,44.62,0,0,60.53,79.6,303.75,0,43.71,0,40.13,101.27,4.14,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

16,03:45-04:00,9.66,0,60.92,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.33,27.05,1.62,43.05,32.51,0,0,53.79,0,33.69,98.87,4.85,0,28.1,0,44.62,0,0,60.53,79.6,303.75,0,43.71,0,40.13,101.27,4,0,0,32.08,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

17,04:00-04:15,9.66,0,60.92,0,0,20.96,0,6.52,686.07,0,413.81,0,0,0,8.33,27.05,1.62,43.05,32.51,0,0,53.79,0,33.69,98.87,4.85,0,28.1,0,44.62,0,0,60.53,79.6,303.75,0,43.71,0,40.13,101.27,4,0,0,21.37,20.8,4.32,0,121.71,17.37,0,35.44,78.06,0,20,44.22,0,167.1,0,3.54,0,0,0,0,0,0,15.46,2.89,48.13,0,97.42

