Column1,Block,NR/2025/24882/A/52997,NR/30092023/31122025/SH-07,NR/2025/25070/A/53287,ER/2025/15683/A/53232,GNA/WR/2025/01/01/8625,NR/30092023/26122029/SH-06,WR/2025/26047/A/53239,NER/2025/2918/A/53234,GNA/WR/2024/11/01/4200,NR/2024/24418/A/53217,GNA/WR/2025/01/01/9606,NR/2025/24992/A/52996,NR/2025/25246/C,NR/2025/25247/C,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/4863,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,Total
,,IEXL,BAWANA_GAS,NVVNL,APPCPL,TPTCL,PUNJAB,APPCPL,APPCPL,MANIKARAN,ITCLH,APPCPL,IEXL,SJVNL,SJVNL,NDMC,NDMC,DELHI,APPCPL,NDMC,APPCPL,NDMC,NDMC,
,,TELANGANA_State,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,KARNATAKA_STATE,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,
,,NSLKSLWPRTY,BAWANA_GAS,JIPL,BYPL,BYPL,BAWANA_GAS,BRPL,BYPL,BRPL,ITCWIND,BYPL,NSLSUGARALAND,TPSL_BKN2,RSRPL_BKN,TRN_ENERGY,JPL2,CHANJUII,BYPL,SKS_Raigarh,BYPL,RKM_POWER,RKM_POWER,
,,DELHI_UT,HARYANA_STATE,DELHI_UT,SIKKIM_STATE,MSEB_State,PUNJAB_STATE,GOA_State,Manipur_State,MSEB_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,
,,MES_Delhi,HARYANA,NDMC,SIKKIM,TPC_MSEB,PUNJAB,GOA_Beneficiary,Manipur_Ben,AEML,ITCLH,AEML,MES_Delhi,NDMC,NDMC,NDMC,NDMC,TPDDL,KSEB,NDMC,KSEB,NDMC,NDMC,
,,South-West-North,North-North,East-North,North-East,North-West,North-North,North-West,North-East-North East,North-West,South-West-North,North-West,South-West-North,North-North,North-North,West-North,West-North,North-North,North-West-South,West-North,North-West-South,West-North,West-North,
1,00:00-00:15,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

2,00:15-00:30,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

3,00:30-00:45,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

4,00:45-01:00,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

5,01:00-01:15,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

6,01:15-01:30,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

7,01:30-01:45,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

8,01:45-02:00,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

9,02:00-02:15,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

10,02:15-02:30,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

11,02:30-02:45,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

12,02:45-03:00,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

13,03:00-03:15,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

14,03:15-03:30,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

15,03:30-03:45,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

16,03:45-04:00,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

17,04:00-04:15,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

18,04:15-04:30,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

19,04:30-04:45,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

20,04:45-05:00,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

21,05:00-05:15,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

22,05:15-05:30,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

23,05:30-05:45,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

24,05:45-06:00,2.88,26.99,17.28,7.33,0,26.99,0,9.16,0,0.38,0,6.72,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.52

25,06:00-06:15,4.8,26.99,17.28,7.33,0,26.99,0,9.16,0,0.43,0,9.6,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,265.36999999999995

26,06:15-06:30,4.8,24.32,17.28,7.33,0,24.32,0,9.16,0,0.43,0,9.6,0,0,8.64,23.04,1.39,75,8.64,0,23.04,23.04,260.03

27,06:30-06:45,4.8,20.66,17.28,7.33,0,20.66,0,9.16,0,0.43,0,9.6,0,0,8.64,36.48,1.39,75,8.64,0,36.48,36.48,293.03000000000003

28,06:45-07:00,4.8,20.66,17.28,7.33,0,20.66,0,9.16,0,0.43,0,9.6,0,0,8.64,36.48,1.39,75,8.64,0,36.48,36.48,293.03000000000003

29,07:00-07:15,4.8,32,28.8,7.33,0,32,0,9.16,0,0.48,0,9.6,0,0,8.64,36.48,1.39,75,8.64,0,36.48,36.48,327.28000000000003

30,07:15-07:30,4.8,32,28.8,7.33,0,32,0,9.16,0,0.48,0,9.6,0,0,8.64,36.48,1.39,75,8.64,0,36.48,36.48,327.28000000000003

31,07:30-07:45,4.8,32,28.8,7.33,0,32,0,9.16,0,0.48,0,9.6,0,0,8.64,43.2,1.39,75,8.64,0,36.48,36.48,334

32,07:45-08:00,4.8,32,28.8,7.33,0,32,0,9.16,0,0.48,0,9.6,0,0,8.64,43.2,1.39,75,8.64,0,36.48,36.48,334

33,08:00-08:15,4.8,32,28.8,7.33,0,32,0,9.16,0,0.86,0,9.6,0,0,13.44,43.2,1.39,75,13.44,0,36.48,36.48,343.98

34,08:15-08:30,4.8,32,28.8,7.33,0,32,0,9.16,0,0.86,0,9.6,0,0,13.44,43.2,1.39,75,13.44,0,36.48,36.48,343.98

