Block,Time,L_NR_2020_07,L_NR_2021_12,L_NR_2021_17,L_NR_2022_10,L_NR_2019_05,L_NR_2019_06,L_NR_2018_61,L_NR_2012_07,SH-06,LT_MEJA_Delhi,SH-07,L_NR_2019_19,L_NR_2020_06,L_NR_2019_07,L_NR_2021_13,L_NR_2012_02,L_NR_2020_02,L_NR_2021_16,L_NR_2022_08,L_NR_2020_05,L_NR_2012_01,LT-59,LT-31,LT-05,L_NR_2021_15,LT-35,L_NR_2021_14,LT-36,L_NR_2012_04,L_NR_2022_09,L_NR_2019_11
1,00:00-00:15,11.51,0,0,24.31,0,0,7.04,62.420000,0.000000,5.810000,0.000000,0.000000,11.5,0,0,244.880000,4.370000,0,6.72,34.51,101.240000,4.350000,0.000000,116.050000,0,0.000000,0,0.000000,271.830000,24.31,4.000000

2,00:15-00:30,11.46,0,0,22.86,0,0,7.13,62.420000,0.000000,5.810000,0.000000,0.000000,11.45,0,0,242.950000,4.370000,0,6.62,34.37,101.240000,4.350000,0.000000,116.050000,0,0.000000,0,0.000000,271.830000,22.86,4.000000

3,00:30-00:45,11.45,0,0,16.75,0,0,7.16,62.420000,0.000000,5.810000,0.000000,0.000000,11.46,0,0,241.020000,4.370000,0,6.55,34.37,101.240000,4.350000,0.000000,116.050000,0,0.000000,0,0.000000,271.830000,16.75,4.000000

4,00:45-01:00,11.53,0,0,17.19,0,0,7.07,62.420000,0.000000,5.810000,0.000000,0.000000,11.52,0,0,241.020000,4.370000,0,6.53,34.57,101.240000,4.350000,0.000000,116.050000,0,0.000000,0,0.000000,271.830000,17.19,4.000000

5,01:00-01:15,11.56,0,0,18.98,0,0,7.1,62.420000,0.000000,5.810000,0.000000,0.000000,11.57,0,0,240.050000,4.370000,0,6.48,34.7,101.240000,4.350000,0.000000,116.050000,0,0.000000,0,0.000000,271.830000,18.98,4.000000

6,01:15-01:30,11.63,0,0,21.13,0,0,7.06,62.420000,0.000000,5.810000,0.000000,0.000000,11.63,0,0,239.080000,4.370000,0,6.45,34.89,101.240000,4.350000,0.000000,116.050000,0,0.000000,0,0.000000,271.830000,21.13,4.000000

7,01:30-01:45,11.57,0,0,23.45,0,0,7.14,38.250000,0.000000,5.810000,0.000000,0.000000,11.56,0,0,239.080000,4.370000,0,6.41,34.69,101.240000,4.350000,0.000000,70.540000,0,0.000000,0,0.000000,271.830000,23.45,4.000000

8,01:45-02:00,11.57,0,0,25.98,0,0,6.91,31.890000,0.000000,5.810000,0.000000,0.000000,11.58,0,0,212.320000,4.370000,0,6.27,34.74,101.240000,4.350000,0.000000,70.540000,0,0.000000,0,0.000000,271.830000,25.98,4.000000

9,02:00-02:15,11.18,0,0,22.85,0,0,6.55,50.800000,0.000000,5.810000,0.000000,0.000000,11.17,0,0,235.220000,4.370000,0,5.94,33.51,101.240000,4.190000,0.000000,70.540000,0,0.000000,0,0.000000,271.830000,22.85,3.850000

10,02:15-02:30,10.81,0,0,20.76,0,0,6.38,50.800000,0.000000,5.810000,0.000000,0.000000,10.82,0,0,206.520000,4.370000,0,5.77,32.46,101.240000,4.190000,0.000000,70.540000,0,0.000000,0,0.000000,271.830000,20.76,3.850000

11,02:30-02:45,10.37,0,0,19.83,0,0,6.06,50.800000,0.000000,5.810000,0.000000,0.000000,10.39,0,0,158.200000,4.370000,0,5.65,31.16,101.240000,4.470000,0.000000,70.540000,0,0.000000,0,0.000000,231.960000,19.83,3.850000

12,02:45-03:00,9.99,0,0,19.08,0,0,5.81,50.800000,0.000000,5.810000,0.000000,0.000000,9.97,0,0,138.210000,4.370000,0,5.5,29.92,101.240000,4.470000,0.000000,70.540000,0,0.000000,0,0.000000,193.300000,19.08,3.850000

13,03:00-03:15,9.49,0,0,18.15,0,0,6.17,50.800000,0.000000,5.810000,0.000000,0.000000,9.49,0,0,121.640000,4.270000,0,5.28,28.47,101.240000,4.470000,0.000000,70.540000,0,0.000000,0,0.000000,193.300000,18.15,3.850000

14,03:15-03:30,9.22,0,0,28.55,0,0,6.16,50.800000,0.000000,5.810000,0.000000,0.000000,9.2,0,0,121.640000,4.270000,0,5.08,27.61,101.240000,4.470000,0.000000,70.540000,0,0.000000,0,0.000000,193.300000,28.55,3.850000

15,03:30-03:45,10.84,0,0,27.83,0,0,4.52,50.800000,0.000000,5.810000,0.000000,0.000000,10.84,0,0,121.640000,4.270000,0,5.42,32.53,101.240000,4.470000,0.000000,70.540000,0,0.000000,0,0.000000,193.300000,27.83,3.850000

16,03:45-04:00,10.53,0,0,26.57,0,0,4.45,50.800000,0.000000,5.810000,0.000000,0.000000,10.52,0,0,121.640000,4.270000,0,5.41,31.58,101.240000,4.470000,0.000000,70.540000,0,0.000000,0,0.000000,193.300000,26.57,3.850000

17,04:00-04:15,10.18,0,0,25.53,0,0,4.54,50.800000,0.000000,5.810000,0.000000,0.000000,10.16,0,0,121.640000,4.270000,0,5.32,30.49,101.240000,4.470000,0.000000,70.540000,0,0.000000,0,0.000000,193.300000,25.53,3.690000

18,04:15-04:30,9.55,0,0,25.02,0,0,4.49,50.800000,0.000000,5.810000,0.000000,0.000000,9.54,0,0,121.640000,4.270000,0,5.27,28.62,101.240000,4.470000,0.000000,70.540000,0,0.000000,0,0.000000,193.300000,25.02,3.690000

19,04:30-04:45,9.33,0,0,25.89,0,0,4.51,50.800000,0.000000,5.810000,0.000000,0.000000,9.33,0,0,121.640000,4.270000,0,5.24,28,101.240000,4.470000,0.000000,70.540000,0,0.000000,0,0.000000,231.960000,25.89,3.690000

20,04:45-05:00,9.26,0,0,29.59,0,0,4.54,50.800000,0.000000,5.810000,0.000000,0.000000,9.28,0,0,162.900000,4.270000,0,5.11,27.83,101.240000,4.470000,0.000000,116.050000,0,0.000000,0,0.000000,271.830000,29.59,3.690000

