Time,Block,WR/2024/21355/A/4139,NR/2024/18548/C,NER/2024/1922/A/4124,NER/2024/1934/A/4123,NR/2024/18436/A/3994,NR/2024/18388/A/3968,WR/2024/21351/A/4127,NR/2024/18445/A/4138,Total
,,MANIKARAN,NVVNL,APPCPL,APPCPL,IEXL,ITCLH,APPCPL,MANIKARAN,Total

,,DELHI,NA,DELHI,DELHI,MAHARASHTRA,ANDHRA PRADESH,DELHI,DELHI,
,,BRPL,SOLAPUR_SOLAR,BRPL,BYPL,A_A_Energy_MH_Bio,ITCWIND,BRPL,BRPL,
,,GOA,DELHI,MANIPUR,NAGALAND,DELHI,DELHI,GOA,HIMACHAL PRADESH,
,,GOA_Beneficiary,MES (Delhi),Manipur_Ben,Nagaland_Ben,MES (Delhi),ITCLH,GOA_Beneficiary,HP,
,,North-West,West-North,North-East-North East,North-East-North East,West-East-North,South-West-North,North-West,North-North,
1,00:00-00:15,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

2,00:15-00:30,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

3,00:30-00:45,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

4,00:45-01:00,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

5,01:00-01:15,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

6,01:15-01:30,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

7,01:30-01:45,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

8,01:45-02:00,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

9,02:00-02:15,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

10,02:15-02:30,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

11,02:30-02:45,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

12,02:45-03:00,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

13,03:00-03:15,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

14,03:15-03:30,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

15,03:30-03:45,0.000000,0,25.000000,20.000000,7.700000,0.380000,0.000000,0.000000,53.08

