Block,Time,KHSTPP-I,TALA,KHSTPP-II,FSTPP I & II,BRBCL,SASAN,ANTA_RF,ANTA_LF,JHAJJAR,CHAMERA2,TANDA2,KOTESHWR,PARBATI3,DULHASTI,DADRI_GF,TANAKPUR,KISHANGANGA,UNCHAHAR4,KOLDAM,SEWA2,CHAMERA3,AURY_LF,ANTA_GF,AURY_CRF,AURY_RF,DADRT2,RAPPB,NJPC,DHAULIGNGA,SINGRAULI,UNCHAHAR3,URI,RAPPC,URI2,DADRI_CRF,DADRI_LF,RIHAND3,RAMPUR,UNCHAHAR2,ANTA_CRF,RIHAND1,RIHAND2,BSIUL,CHAMERA1,AURY_GF,UNCHAHAR1,DADRI_RF,TEHRI,SINGRAULI_HYDRO,NAPP,SALAL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,33.398763,0.000000,113.679636,11.384776,17.914986,402.856740,0.000000,0.000000,231.322520,0.000000,0.000000,8.726494,0.000000,0.000000,0.000000,1.602019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,360.269000,0.000000,0.000000,0.000000,120.813587,14.045200,1.274458,52.493454,5.176330,0.000000,0.000000,59.480460,0.000000,23.736304,0.000000,87.699087,113.636250,0.000000,0.000000,0.000000,12.681374,0.000000,0.000000,0.791332,41.815831,1.341413,0,0,0,0,0

2,00:15-00:30,32.261151,0.000000,113.679636,11.072620,17.846107,402.856740,0.000000,0.000000,231.322520,0.000000,0.000000,8.726494,0.000000,0.000000,0.000000,1.602019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,360.269000,0.000000,0.000000,0.000000,120.815175,14.045200,1.274458,52.493454,8.023311,0.000000,0.000000,59.480460,0.000000,22.895600,0.000000,88.504000,113.636250,0.000000,0.000000,0.000000,12.121200,0.000000,0.000000,0.791332,41.815831,1.341413,0,0,0,0,0

3,00:30-00:45,32.261151,0.000000,113.679636,11.072620,17.545684,402.856740,0.000000,0.000000,231.322520,0.000000,0.000000,8.726494,0.000000,0.000000,0.000000,1.602019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,360.269000,0.000000,0.000000,0.000000,120.815175,14.045200,1.274458,52.493454,8.023311,0.000000,0.000000,41.548299,0.000000,22.895600,0.000000,72.711233,98.830080,0.000000,0.000000,0.000000,12.121200,0.000000,0.000000,0.791332,41.815831,1.341413,0,0,0,0,0

4,00:45-01:00,32.261151,0.000000,113.679636,11.072620,16.474285,402.856740,0.000000,0.000000,231.322520,0.000000,0.000000,8.726494,0.000000,0.000000,0.000000,1.602019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,360.269000,0.000000,0.000000,0.000000,120.815175,14.045200,1.274458,52.493454,8.023311,0.000000,0.000000,41.548299,0.000000,22.895600,0.000000,59.861027,92.589903,0.000000,0.000000,0.000000,12.121200,0.000000,0.000000,0.791332,41.815831,1.341413,0,0,0,0,0

5,01:00-01:15,32.261151,0.000000,113.679636,11.072620,16.307382,402.856740,0.000000,0.000000,231.322520,0.000000,0.000000,8.726494,0.000000,0.000000,0.000000,1.602019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,360.269000,0.000000,0.000000,0.000000,120.815175,14.045200,1.274458,52.493454,8.023311,0.000000,0.000000,41.548299,0.000000,22.895600,0.000000,59.861027,92.589903,0.000000,0.000000,0.000000,12.121200,0.000000,0.000000,0.791332,41.815831,1.341413,0,0,0,0,0

