Block,Time,URI2,SINGRAULI_HYDRO,ANTA_CRF,RIHAND1,TEHRI,RIHAND2,CHAMERA3,KISHANGANGA,NJPC,RAMPUR,AURY_CRF,RAPPB,KOTESHWR,CHAMERA2,TANAKPUR,DADRI_LF,ANTA_GF,BSIUL,UNCHAHAR1,AURY_LF,TANDA2,RIHAND3,NAPP,PARBATI3,DULHASTI,ANTA_LF,ANTA_RF,DHAULIGNGA,SEWA2,SINGRAULI,DADRI_RF,CHAMERA1,RAPPC,DADRI_GF,UNCHAHAR2,SALAL,FSTPP I & II,KHSTPP-II,AURY_GF,DADRT2,BRBCL,KUDGI,TALA,AURY_RF,KHSTPP-I,UNCHAHAR4,SASAN,URI,JHAJJAR,KOLDAM,DADRI_CRF,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,31.317063,1.034856,0.000000,88.872000,60.127704,114.108750,27.185307,0.000000,147.740523,0.000000,0.000000,0.000000,25.716852,0.000000,10.147057,0.000000,0.000000,0.000000,19.305510,0.000000,0.000000,119.460993,37.243937,0.000000,15.864038,0.000000,0.000000,35.347582,15.266710,134.573460,18.514163,41.209560,49.034160,0.000000,40.948837,82.503162,13.765500,142.500094,0.000000,663.429439,13.649128,26.06,25.560360,19.311403,31.077186,0.000000,404.531820,45.324720,630.942997,0.000000,0.000000,25.492837,0,0,0,0,0

2,00:15-00:30,31.317063,1.034856,0.000000,88.872000,60.127704,114.108750,27.185307,0.000000,147.740523,0.000000,0.000000,0.000000,25.716852,0.000000,10.147057,0.000000,0.000000,0.000000,19.305510,0.000000,0.000000,119.460993,37.243937,0.000000,15.864038,0.000000,0.000000,35.347582,15.266710,134.573460,18.514163,41.209560,49.034160,0.000000,40.948837,82.503162,13.765500,142.500094,0.000000,663.429439,12.757836,11.71,25.560360,19.311403,31.077186,0.000000,404.531820,45.324720,630.942997,0.000000,0.000000,25.492837,0,0,0,0,0

3,00:30-00:45,30.537385,1.034856,0.000000,88.872000,60.127704,114.108750,27.185307,0.000000,147.740523,0.000000,0.000000,0.000000,25.716852,0.000000,10.147057,0.000000,0.000000,0.000000,19.305510,0.000000,0.000000,119.460993,37.243937,0.000000,15.864038,0.000000,0.000000,35.347582,15.266710,134.573460,18.514163,41.209560,49.034160,0.000000,40.948837,82.503162,13.765500,142.500094,0.000000,663.429439,12.654865,9.66,25.560360,19.311403,31.077186,0.000000,404.531820,45.324720,630.942997,0.000000,0.000000,25.492837,0,0,0,0,0

4,00:45-01:00,30.537385,1.034856,0.000000,88.872000,60.127704,114.108750,27.185307,0.000000,147.740523,0.000000,0.000000,0.000000,25.716852,0.000000,10.147057,0.000000,0.000000,0.000000,19.305510,0.000000,0.000000,119.460993,37.243937,0.000000,15.864038,0.000000,0.000000,35.347582,15.266710,134.573460,18.514163,41.209560,49.034160,0.000000,40.948837,82.503162,13.765500,142.500094,0.000000,663.429439,12.331203,9.66,25.560360,19.311403,31.077186,0.000000,404.531820,45.324720,630.942997,0.000000,0.000000,25.492837,0,0,0,0,0

5,01:00-01:15,30.537385,1.034856,0.000000,88.872000,60.127704,114.108750,27.185307,0.000000,147.740523,0.000000,0.000000,0.000000,25.716852,0.000000,12.126971,0.000000,0.000000,0.000000,16.748315,0.000000,0.000000,119.460993,37.243937,0.000000,15.864038,0.000000,0.000000,35.347582,15.266710,134.573460,18.514163,41.209560,49.034160,0.000000,40.948837,82.503162,13.765500,142.500094,0.000000,663.429439,12.547463,9.66,25.560360,19.311403,31.077186,0.000000,404.531820,45.324720,588.216720,0.000000,0.000000,25.492837,0,0,0,0,0

