Block,Time Block,DHAULIGNGA,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,KOTESHWR,NLCTS2EXP,NAPP,NNTPP,KUDGI,NLCEXP,MAPS,NLCIIST1,NJPC,NLCIIST2,KKNPPU2,KOLDAM,TEHRI,TelanganaSTPP,UNCHAHAR2,ANTA_CRF,URI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TEHRIPSP,URI2,UNCHAHAR3,KHSTPP-II,KKNP,KISHANGANGA,TANDA2,SINGRAULI,TALST2,TANAKPUR,TALA,SINGRAULI_HYDRO,BRBCL,DADRT2,CHAMERA1,CHAMERA3,BSIUL,CHAMERA2,RAMPUR,RIHAND3,SASAN,RAPPC,RIHAND2,RIHAND1,RAPPB,PARBATI3,SALAL,PARBATI2,RSTPSU1TO6,RAPPD,RSTPSU7,SIMHST1,SIMHST2,SEWA2,FSTPP I & II,DULHASTI,KGSU3AND4,JHAJJAR,KHSTPP-I,KGSU1AND2,NTPL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.81,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,8.28,0,0,43.25,0,50.93,17.1,0,3.09,0,37.45,26.61,93.75,0,6.69,5.33,109.33,0,10.59,27.69,0.63,17.71,562.45,40.51,0,0,0,0,125.75,324.37,63.04,120.4,94.5,0,0,69.25,0,0,23.2,0,0,0,11.74,17.64,53.23,0,586.5,43.76,0,0,0,0,0,0,0

2,00:15-00:30,40.81,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,8.28,0,0,43.25,0,50.93,17.1,0,3.09,0,37.45,26.61,93.75,0,6.69,5.33,109.33,0,10.59,27.69,0.63,12.64,562.45,40.51,0,0,0,0,125.75,324.37,63.04,120.4,94.5,0,0,69.25,0,0,23.2,0,0,0,11.74,17.64,53.23,0,463.74,43.76,0,0,0,0,0,0,0

3,00:30-00:45,40.81,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,8.28,0,0,43.25,0,50.93,17.1,0,3.09,0,37.45,26.61,93.75,0,6.69,5.33,109.33,0,10.59,27.69,0.63,11.95,562.45,40.51,0,0,0,0,125.75,324.37,63.04,120.4,94.5,0,0,53.6,0,0,23.2,0,0,0,11.74,17.64,53.23,0,367.34,43.76,0,0,0,0,0,0,0

4,00:45-01:00,40.81,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,8.28,0,0,43.25,0,45.62,17.1,0,3.09,0,37.45,26.61,93.75,0,6.69,5.33,109.33,0,10.59,27.69,0.63,11.26,562.45,40.51,0,0,0,0,125.75,324.37,63.04,120.4,94.5,0,0,53.6,0,0,23.2,0,0,0,11.74,17.64,53.23,0,397.48,43.76,0,0,0,0,0,0,0

5,01:00-01:15,40.81,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,8.28,0,0,43.25,0,45.62,17.1,0,3.09,0,37.45,26.61,93.75,0,6.69,5.33,109.33,0,10.59,27.69,0.63,11.28,562.45,40.51,0,0,0,0,125.75,324.37,63.04,120.4,94.5,0,0,53.6,0,0,23.2,0,0,0,11.74,17.64,53.23,0,440.14,43.76,0,0,0,0,0,0,0

