Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/24112044/L_NR_2020_07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/31052040/LT-31,WR/01102023/01102023/L_NR_2022_09,NR/01102023/22052037/LT-59,NR/01102023/13082046/L_NR_2021_12,NR/01102023/23072042/L_NR_2012_04,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/14082046/L_NR_2021_16,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/02012046/L_NR_2021_17,NR/01102023/25122043/GNA_MEJA_DELHI,NR/31102023/31102023/ HPX-TAMCTG-301023-05116,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,27.070000,74.130000,101.260000,7.5,2.750000,0,0,22.5,0,0,0.000000,26.85,2.250000,0,93.780000,26.85,0,6,0,0,7.5,7.21,0,0,0,26.090000,2.310000,0,0,237.830000,117.950000,0.000000,26.090000,0,0.000000,0.000000,0.000000

2,00:15-00:30,27.070000,74.130000,101.260000,7.5,2.750000,0,0,22.5,0,0,0.000000,26.07,2.250000,0,93.780000,26.07,0,6,0,0,7.5,7.21,0,0,0,26.090000,2.310000,0,0,237.830000,67.680000,0.000000,26.090000,0,0.000000,0.000000,0.000000

3,00:30-00:45,27.070000,74.130000,101.260000,7.5,2.750000,0,0,22.5,0,0,0.000000,25.4,2.250000,0,93.780000,25.4,0,6,0,0,7.5,7.21,0,0,0,26.090000,2.310000,0,0,237.830000,96.680000,0.000000,26.090000,0,0.000000,0.000000,0.000000

4,00:45-01:00,27.070000,74.130000,101.260000,7.5,2.750000,0,0,22.5,0,0,0.000000,24.77,2.250000,0,93.780000,24.77,0,9.2,0,0,7.5,7.21,0,0,0,26.090000,2.310000,0,0,237.830000,96.680000,0.000000,26.090000,0,0.000000,0.000000,0.000000

5,01:00-01:15,27.070000,74.130000,101.260000,7.5,2.750000,0,0,22.5,0,0,0.000000,24.26,2.250000,0,93.780000,24.26,0,8.99,0,0,7.5,7.21,0,0,0,26.090000,2.310000,0,0,237.830000,96.680000,0.000000,26.090000,0,0.000000,0.000000,0.000000

6,01:15-01:30,27.070000,74.130000,101.260000,7.5,2.750000,0,0,22.5,0,0,0.000000,23.38,2.250000,0,93.780000,23.38,0,8.62,0,0,7.5,7.21,0,0,0,26.090000,2.310000,0,0,237.830000,96.680000,0.000000,26.090000,0,0.000000,0.000000,0.000000

7,01:30-01:45,27.070000,74.130000,101.260000,10.09,2.750000,0,0,30.26,0,0,0.000000,22.81,2.250000,0,93.780000,22.81,0,8.28,0,0,10.08,7.21,0,0,0,26.090000,2.310000,0,0,237.830000,96.680000,0.000000,26.090000,0,0.000000,0.000000,0.000000

8,01:45-02:00,27.070000,74.130000,101.260000,9.94,2.750000,0,0,29.82,0,0,0.000000,22.55,2.250000,0,93.780000,22.55,0,7.99,0,0,9.95,7.21,0,0,0,26.090000,2.310000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

9,02:00-02:15,27.070000,74.130000,101.260000,9.89,2.750000,0,0,29.66,0,0,0.000000,22.07,2.250000,0,110.220000,22.07,0,7.88,0,0,9.88,7.21,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

10,02:15-02:30,27.070000,74.130000,101.260000,9.75,2.750000,0,0,29.26,0,0,0.000000,21.72,2.250000,0,110.220000,21.72,0,7.62,0,0,9.76,7.21,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

11,02:30-02:45,27.070000,74.130000,101.260000,9.59,2.750000,0,0,28.76,0,0,0.000000,21.08,2.250000,0,110.220000,21.08,0,6.66,0,0,9.58,7.21,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

12,02:45-03:00,27.070000,74.130000,101.260000,9.25,2.750000,0,0,27.76,0,0,0.000000,20.44,2.250000,0,110.220000,20.44,0,6.66,0,0,9.26,7.21,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

13,03:00-03:15,27.070000,74.130000,101.260000,9.28,2.750000,0,0,27.83,0,0,0.000000,19.74,2.180000,0,110.220000,19.74,0,6.66,0,0,9.26,7.21,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

14,03:15-03:30,27.070000,74.130000,101.260000,9.26,2.750000,0,0,27.77,0,0,0.000000,19.5,2.180000,0,110.220000,19.5,0,6.66,0,0,9.26,7.21,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

15,03:30-03:45,27.070000,74.130000,101.260000,9.24,2.750000,0,0,27.73,0,0,0.000000,19.06,2.180000,0,110.220000,19.06,0,6.66,0,0,9.24,7.21,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

16,03:45-04:00,27.070000,74.130000,101.260000,10.82,2.750000,0,0,32.47,0,0,0.000000,18.21,2.180000,0,110.220000,18.21,0,6.66,0,0,10.84,7.21,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

17,04:00-04:15,27.070000,74.130000,101.260000,10.66,2.750000,0,0,31.99,0,0,0.000000,17.44,2.180000,0,123.750000,17.44,0,6.66,0,0,10.67,11.28,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

18,04:15-04:30,27.070000,74.130000,101.260000,10.74,2.750000,0,0,32.22,0,0,0.000000,17.08,2.180000,0,123.750000,17.08,0,6.66,0,0,10.75,11.25,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

19,04:30-04:45,27.070000,74.130000,101.260000,10.56,2.750000,0,0,31.69,0,0,0.000000,16.68,2.180000,0,123.750000,16.68,0,6.66,0,0,10.58,11.18,0,0,0,26.090000,2.230000,0,0,237.830000,71.930000,0.000000,26.090000,0,0.000000,0.000000,0.000000

20,04:45-05:00,27.070000,74.130000,101.260000,10.42,2.750000,0,0,31.25,0,0,0.000000,16.04,2.180000,0,123.750000,16.04,0,6.66,0,0,10.4,11.14,0,0,0,26.090000,2.230000,0,0,237.830000,96.680000,0.000000,26.090000,0,0.000000,0.000000,0.000000

21,05:00-05:15,27.070000,74.130000,101.260000,11.44,2.700000,0,0,34.31,0,0,0.000000,15.33,2.180000,0,123.750000,15.33,0,6.66,0,0,11.43,11.1,0,0,0,26.090000,2.230000,0,0,237.830000,105.380000,0.000000,26.090000,0,0.000000,0.000000,0.000000

22,05:15-05:30,27.070000,74.130000,101.260000,11.16,2.700000,0,0,33.49,0,0,0.000000,15.04,2.180000,0,123.750000,15.04,0,6.66,0,0,11.17,11.06,0,0,0,26.090000,2.230000,0,0,237.830000,114.080000,0.000000,26.090000,0,0.000000,0.000000,0.000000

23,05:30-05:45,27.070000,74.130000,101.260000,10.97,2.700000,0,0,32.92,0,0,0.000000,14.85,2.180000,0,123.750000,14.85,0,6.66,0,0,10.98,10.7,0,0,0,26.090000,2.230000,0,0,237.830000,117.950000,0.000000,26.090000,0,0.000000,0.000000,0.000000

24,05:45-06:00,27.070000,74.130000,101.260000,10.79,2.700000,0,0,32.38,0,0,0.000000,14.75,2.180000,0,123.750000,14.75,0,6.66,0,0,10.79,7.41,0,0,0,26.090000,2.230000,0,0,237.830000,117.950000,0.000000,26.090000,0,0.000000,0.000000,0.000000

25,06:00-06:15,27.070000,74.130000,101.260000,10.59,2.700000,0,0,31.77,0,0,0.000000,14.61,2.100000,0,132.640000,14.61,0,6.66,0,0,10.59,7.41,0,1,0,26.090000,2.230000,0,0,237.830000,117.950000,0.000000,26.090000,0,0.000000,0.000000,0.000000

26,06:15-06:30,27.070000,74.130000,101.260000,10.48,2.700000,0,0,31.42,0,0,0.000000,14.71,2.100000,0,132.640000,14.71,0,6.66,0,0,10.47,7.41,0,4,0,23.470000,2.230000,0,0,237.830000,117.950000,0.000000,23.470000,0,0.000000,0.000000,0.000000

