Block,Time,ANTA_GF,TANDA2,SEWA2,TEHRI,PARBATI3,BSIUL,URI,UNCHAHAR4,DHAULIGNGA,SALAL,SINGRAULI,UNCHAHAR1,SINGRAULI_HYDRO,TANAKPUR,KOLDAM,DULHASTI,DADRI_LF,CHAMERA1,URI2,RAMPUR,AURY_GF,ANTA_RF,DADRI_GF,ANTA_LF,DADRI_RF,RAPPC,CHAMERA3,RIHAND1,KISHANGANGA,DADRI_CRF,JHAJJAR,RIHAND2,UNCHAHAR3,NJPC,KOTESHWR,RAPPB,AURY_LF,AURY_CRF,UNCHAHAR2,ANTA_CRF,AURY_RF,DADRT2,NAPP,CHAMERA2,RIHAND3,TALA,KHSTPP-I,KHSTPP-II,BRBCL,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.433510,0.000000,0.000000,1.338485,133.723669,9.251516,0.826330,0.000000,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,78.711800,0.000000,0.000000,346.523900,56.691694,17.845021,0.000000,8.991383,0.000000,0.000000,0.000000,28.430030,0.000000,0.000000,443.473800,20.811016,0.000000,118.706633,0.000000,33.327664,93.869389,19.152722,10.659306,401.977323,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.433510,0.000000,0.000000,1.338485,133.723669,9.251516,0.826330,0.000000,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,78.711800,0.000000,0.000000,346.523900,56.691694,17.845021,0.000000,8.991383,0.000000,0.000000,0.000000,28.430030,0.000000,0.000000,395.478800,20.811016,0.000000,118.706633,0.000000,29.160706,93.869389,18.925878,10.659306,401.977323,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.179189,0.000000,0.000000,1.338485,133.723669,9.251516,0.826330,0.000000,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,78.711800,0.000000,0.000000,346.523900,56.691694,17.845021,0.000000,8.991383,0.000000,0.000000,0.000000,28.430030,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,29.160706,93.869389,18.327047,10.659306,401.977323,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.119459,0.000000,0.000000,1.338485,133.723669,9.251516,0.826330,0.000000,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,78.711800,0.000000,0.000000,346.523900,56.691694,17.845021,0.000000,8.991383,0.000000,0.000000,0.000000,28.430030,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,29.160706,93.869389,18.454820,10.659306,401.977323,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.119459,0.000000,0.000000,1.338485,133.723669,7.679200,0.826330,0.000000,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,78.711800,0.000000,0.000000,342.684300,56.691694,12.478700,0.000000,8.991383,0.000000,0.000000,0.000000,20.157900,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,29.160706,93.869389,15.368348,5.759400,401.977323,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.119459,0.000000,0.000000,1.338485,133.723669,7.679200,0.826330,0.000000,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,78.711800,0.000000,0.000000,342.684300,56.691694,12.478700,0.000000,8.991383,0.000000,0.000000,0.000000,20.157900,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,29.160706,93.869389,12.832493,5.759400,401.977323,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.271676,0.000000,0.000000,1.338485,133.723669,7.679200,0.826330,0.000000,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,78.711800,0.000000,0.000000,342.684300,56.691694,12.478700,0.000000,8.991383,0.000000,0.000000,0.000000,20.157900,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,29.160706,93.869389,14.546491,5.759400,401.977323,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.271676,0.000000,0.000000,1.338485,119.778530,7.679200,0.826330,0.000000,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,52.945780,0.000000,0.000000,342.684300,56.691694,12.478700,0.000000,8.991383,0.000000,0.000000,0.000000,20.157900,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,19.198000,60.473700,13.086628,5.759400,399.558375,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.271676,0.000000,0.000000,6.692423,119.778530,7.679200,0.826330,0.245926,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,52.945780,0.000000,0.000000,342.684300,56.691694,12.478700,0.000000,8.991383,0.000000,0.000000,0.000000,20.157900,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,19.198000,60.473700,13.386648,5.759400,396.318712,0,0,0,0,0

10,02:15-02:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.271676,0.000000,0.000000,40.154537,119.778530,7.679200,0.826330,0.245926,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,52.945780,0.000000,0.000000,342.684300,56.691694,12.478700,0.000000,8.991383,0.000000,0.000000,0.000000,20.157900,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,19.198000,60.473700,12.164179,5.759400,396.318712,0,0,0,0,0

11,02:30-02:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.271676,0.000000,0.000000,40.154537,119.778530,7.679200,0.826330,0.245926,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,52.945780,0.000000,0.000000,342.684300,56.691694,12.478700,0.000000,8.991383,0.000000,0.000000,0.000000,20.157900,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,19.198000,60.473700,13.500908,5.759400,396.318712,0,0,0,0,0

12,02:45-03:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.271676,0.000000,0.000000,40.154537,119.778530,7.679200,0.826330,0.245926,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,52.945780,0.000000,0.000000,342.684300,56.691694,12.478700,0.000000,8.991383,0.000000,0.000000,0.000000,20.157900,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,19.198000,60.473700,15.298206,5.759400,396.318712,0,0,0,0,0

13,03:00-03:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.271676,0.000000,0.000000,40.154537,119.778530,7.679200,0.826330,6.762975,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,52.945780,0.000000,0.000000,342.684300,56.691694,12.478700,0.000000,8.991383,0.000000,0.000000,0.000000,20.157900,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,19.198000,60.473700,15.104983,5.759400,396.318712,0,0,0,0,0

14,03:15-03:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.271676,0.000000,0.000000,6.692423,119.778530,7.679200,0.826330,6.762975,0.000000,0.000000,0.000000,0.000000,4.519401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.135241,0.000000,52.945780,0.000000,0.000000,342.684300,56.691694,12.478700,0.000000,8.991383,0.000000,0.000000,0.000000,20.157900,0.000000,0.000000,347.483800,20.811016,0.000000,118.706633,0.000000,19.198000,60.473700,15.627471,5.759400,396.318712,0,0,0,0,0

