Block,Time Block,KGSU3AND4,JHAJJAR,KGSU1AND2,ANTA_GF,UNCHAHAR2,URI,TEHRI,ANTA_CRF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TelanganaSTPP,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,NTPL,NNTPP,RAPPB,PARBATI3,RAMPUR,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,TALA,SALAL,SEWA2,SINGRAULI,RIHAND3,TANDA2,RIHAND2,SASAN,RIHAND1,TALST2,TANAKPUR,SIMHST1,SINGRAULI_HYDRO,NLCTS2EXP,NLCIIST2,DHAULIGNGA,FSTPP I & II,DULHASTI,KUDGI,MAPS,CHAMERA3,CHAMERA2,DADRT2,NLCEXP,NLCIIST1,NJPC,NAPP,CHAMERA1,BRBCL,BSIUL,KHSTPP-II,KKNP,KKNPPU2,KOTESHWR,KOLDAM,KISHANGANGA,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,232.15,0,0,15.26,38.13,0,0,14.87,0,0,18.06,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,101.03,399.19,34.72,0,6.01,0,0,0,0,0,14.02,0,0,0,0,0,398.74,0,0,0,41.5,0,15.93,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

2,00:15-00:30,0,232.15,0,0,15.24,38.13,0,0,14.87,0,0,18.06,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,101.03,399.31,34.72,0,6.01,0,0,0,0,0,14.02,0,0,0,0,0,294.51,0,0,0,41.5,0,16.72,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

3,00:30-00:45,0,253.26,0,0,17.53,3.18,0,0,14.87,0,0,18.06,21.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,109.36,399.31,37.36,0,1.1,0,0,0,0,0,14.02,0,0,0,0,0,294.51,0,0,0,41.5,0,16.06,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

4,00:45-01:00,0,249.42,0,0,13.39,1.38,0,0,11.52,0,0,18.06,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,42.08,0,1.1,0,0,0,0,0,14.02,0,0,0,0,0,292.59,0,0,0,41.5,0,14.96,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

5,01:00-01:15,0,249.42,0,0,13.39,1.38,0,0,11.52,0,0,18.06,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,44.13,0,1.1,0,0,0,0,0,14.02,0,0,0,0,0,275.32,0,0,0,41.5,0,13.21,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

6,01:15-01:30,0,249.42,0,0,13.39,1.38,0,0,11.52,0,0,18.06,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,44.13,0,1.1,0,0,0,0,0,14.02,0,0,0,0,0,255.17,0,0,0,41.5,0,13.5,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

7,01:30-01:45,0,249.42,0,0,13.39,1.38,0,0,11.52,0,0,4.26,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,12.26,0,128.07,119.26,0,113.93,399.31,44.13,0,6.01,0,0,0,0,0,14.02,0,0,0,0,0,248.46,0,0,0,41.5,0,14,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

8,01:45-02:00,0,249.42,0,0,13.39,1.38,0,0,11.52,0,0,4.26,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,53.5,0,128.07,119.26,0,113.93,399.31,44.13,0,6.01,0,0,0,0,0,14.02,0,0,0,0,0,240.78,0,0,0,41.5,0,14.24,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

9,02:00-02:15,0,242.7,0,0,13.39,1.38,0,0,11.52,0,0,4.26,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,53.5,0,128.07,119.26,0,113.93,399.31,43.17,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,227.35,0,0,0,41.5,0,14.15,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

10,02:15-02:30,0,242.7,0,0,13.39,1.38,0,0,11.52,0,0,4.26,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,53.5,0,128.07,119.26,0,113.93,399.31,43.17,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,219.68,0,0,0,41.5,0,15.02,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

11,02:30-02:45,0,240.78,0,0,13.39,1.38,0,0,11.52,0,0,4.26,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,53.5,0,128.07,119.26,0,113.93,399.31,44.13,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,213.92,0,0,0,41.5,0,17.97,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

12,02:45-03:00,0,242.7,0,0,13.39,1.38,0,0,11.52,0,0,4.26,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,2.24,0,128.07,119.26,0,113.93,399.31,44.13,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,209.13,0,0,0,41.5,0,19.19,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

13,03:00-03:15,0,231.19,0,0,16.15,1.38,0,0,14.87,0,0,4.26,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,43.83,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,208.17,0,0,0,41.5,0,19.19,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

14,03:15-03:30,0,231.19,0,0,16.15,1.38,0,0,14.87,0,0,4.26,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,43.83,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,212.01,0,0,0,41.5,0,19.19,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

15,03:30-03:45,0,231.19,0,0,16.15,1.38,0,0,14.87,0,0,4.26,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,43.83,0,6.01,0,0,0,0,0,14.02,15.81,0,0,0,0,208.17,0,0,0,41.5,0,19.19,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

16,03:45-04:00,0,231.19,0,0,16.15,1.38,0,0,14.87,0,0,4.26,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,43.83,0,6.01,0,0,0,0,0,14.02,15.81,0,0,0,0,216.8,0,0,0,41.5,0,18.26,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

17,04:00-04:15,0,231.19,0,0,16.15,1.38,0,0,14.87,0,0,4.26,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,43.83,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,236.95,0,0,0,41.5,0,19.19,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

18,04:15-04:30,0,231.19,0,0,16.15,1.38,0,0,14.87,0,0,4.26,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,43.83,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,255.17,0,0,0,41.5,0,19.19,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

19,04:30-04:45,0,231.19,0,0,15.24,1.38,0,0,14.87,0,0,4.26,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,43.83,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,269.56,0,0,0,41.5,0,19.19,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

20,04:45-05:00,0,231.19,0,0,15.24,1.38,0,0,14.87,0,0,4.26,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,399.31,43.83,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,267.64,0,0,0,41.5,0,19.19,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

21,05:00-05:15,0,231.19,0,0,15.24,1.38,0,0,14.87,0,0,4.26,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,392.83,43.83,0,1.1,0,0,0,0,0,14.02,15.81,0,0,0,0,313.69,0,0,0,41.5,0,19.19,0,78.22,0,0,8.51,0,0,36.79,0,0,0,0,0

22,05:15-05:30,0,231.19,0,0,15.24,1.38,0,0,14.87,0,0,4.26,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,0,0,0,1.34,0,128.07,119.26,0,113.93,392.83,43.83,0,6.01,0,0,0,0,0,14.02,15.81,0,0,0,0,361.66,0,0,18.17,41.5,0,19.19,0,94.85,0,0,8.51,0,0,43.38,0,0,0,0,0

