Column1,Block,NR/2024/23640/A/41365,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/9582,NR/2024/23694/A/41369,NR/2024/23383/A/41323,NR/2024/23384/A/41318,NR/2024/23710/C,NR/2024/23382/A/41488,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/6101,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/3642,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NR/2024/23639/A/41363,NR/2024/23716/C,Total
,,SJVNL,NDMC,NDMC,DIAPL,ITCLH,IEXL,TPDDL,NVVNL,PTC,PTC,NDMC,DELHI,NDMC,NDMC,BAWANA_GAS,APPCPL,PUNJAB,SJVNL,NVVNL,
,,NA,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,
,,TPSL_BKN2,TRN_ENERGY,SKS_Raigarh,GBHHPL,ITCWIND,NSLSUGAR,JHAJJAR,JITPL,BRPL,BYPL,JPL2,CHANJUII,RKM_POWER,RKM_POWER,BAWANA_GAS,BYPL,BAWANA_GAS,RSRPL_BKN,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,MSEB_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,DIAPL,ITCLH,MES_Delhi,TPDDL,NDMC,HP,HP,NDMC,TPDDL,NDMC,NDMC,HARYANA,AEML,PUNJAB,NDMC,MES_Delhi,
,,North-North,West-North,West-North,North-North,South-West-North,South-West-North,North-North,East-North,North-North,North-North,West-North,North-North,West-North,West-North,North-North,North-West,North-North,North-North,West-North,
1,00:00-00:15,0,12.41,12.41,2.89,0.58,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,5.58,200,5.58,0,0,577.7500000000001

2,00:15-00:30,0,12.41,12.41,2.89,0.58,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,5.58,200,5.58,0,0,577.7500000000001

3,00:30-00:45,0,12.41,12.41,2.89,0.58,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,5.58,200,5.58,0,0,577.7500000000001

4,00:45-01:00,0,12.41,12.41,2.89,0.58,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,5.58,200,5.58,0,0,577.7500000000001

5,01:00-01:15,0,12.41,12.41,2.89,0.53,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,5.58,200,5.58,0,0,577.7

6,01:15-01:30,0,12.41,12.41,2.89,0.53,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,5.58,200,5.58,0,0,577.7

7,01:30-01:45,0,12.41,12.41,2.89,0.53,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,5.58,200,5.58,0,0,577.7

8,01:45-02:00,0,12.41,12.41,2.89,0.53,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,5.58,200,5.58,0,0,577.7

9,02:00-02:15,0,12.41,12.41,2.89,0.48,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,26.87,0,26.87,0,0,420.23

