Block,Time,BRBCL,DADRT2,KHSTPP-I,KISHANGANGA,KKNPPU2,MAPS,NNTPP,PARBATI3,VALLURNTECL,DADRI_LF,CHAMERA1,KOLDAM,RAMPUR,SASAN,TEHRI,ANTA_GF,AURY_RF,DULHASTI,KGSU1AND2,NLCTS2EXP,SINGRAULI_HYDRO,TALA,TANAKPUR,TelanganaSTPP,UNCHAHAR1,UNCHAHAR4,BSIUL,KKNP,RSTPSU1TO6,SALAL,SIMHST1,TALST2,ANTA_RF,CHAMERA2,CHAMERA3,DHAULIGNGA,JHAJJAR,KGSU3AND4,KHSTPP-II,KUDGI,NLCIIST2,RAPPD,RIHAND3,UNCHAHAR2,AURY_GF,AURY_LF,PARBATI2,SIMHST2,TEHRIPSP,ANTA_LF,AURY_CRF,DADRI_CRF,DADRI_RF,NAPP,NJPC,NLCIIST1,NTPL,RAPPB,RIHAND1,RSTPSU7,SINGRAULI,UNCHAHAR3,URI2,DADRI_GF,FSTPP I & II,KOTESHWR,NLCEXP,RAPPC,RIHAND2,SEWA2,TANDA2,URI,ANTA_CRF
1,00:00-00:15,24.99,590.85,45.53,8.71,0,0,0,0,0,0,42.15,10.65,7.04,348.98,45.04,0,82.27,39.74,0,0,1.13,22.2,12.17,0,21.83,3.47,13.04,0,0,85.41,0,0,49.95,48.9,35.09,43.85,670.85,0,148.3,0,0,26.14,132.37,45.15,0,0,0,0,0,0,0,0,76.68,25.16,181.16,0,0,0,99.81,0,155.58,27.99,32.18,0,20.8,10.44,0,68.56,126.8,18.93,6.19,52.36,0

2,00:15-00:30,24.99,590.85,45.53,8.71,0,0,0,0,0,0,42.15,10.65,7.04,348.98,45.04,0,82.27,39.74,0,0,1.13,22.2,12.17,0,21.83,2.35,13.04,0,0,85.41,0,0,49.95,48.9,35.09,43.85,670.85,0,148.3,0,0,26.14,132.37,44.82,0,0,0,0,0,0,0,0,76.68,25.16,181.16,0,0,0,99.81,0,155.58,27.99,32.18,0,20.8,10.44,0,68.56,126.8,18.93,5.49,52.36,0

3,00:30-00:45,24.99,590.85,45.53,8.71,0,0,0,0,0,0,42.15,10.65,7.04,348.98,45.04,0,82.27,58.01,0,0,1.13,22.2,12.17,0,21.83,2.22,13.04,0,0,85.41,0,0,49.95,48.9,35.09,43.85,670.85,0,148.3,0,0,26.14,132.37,44.82,0,0,0,0,0,0,0,0,76.68,25.16,181.16,0,0,0,99.81,0,155.58,27.99,32.18,0,20.8,10.44,0,68.56,126.8,18.93,5.49,52.36,0

4,00:45-01:00,24.99,590.85,45.53,8.71,0,0,0,0,0,0,42.15,10.65,7.04,348.98,45.04,0,82.27,58.01,0,0,1.13,22.2,12.17,0,21.83,2.22,13.04,0,0,85.41,0,0,49.95,48.9,35.09,43.85,670.85,0,148.3,0,0,26.14,132.37,44.82,0,0,0,0,0,0,0,0,76.68,25.16,181.16,0,0,0,99.81,0,155.58,27.99,32.18,0,20.8,10.44,0,68.56,126.8,18.93,5.49,52.36,0

5,01:00-01:15,24.99,590.85,45.53,8.71,0,0,0,0,0,0,42.15,10.65,7.04,348.98,45.04,0,82.27,58.01,0,0,1.13,22.2,12.17,0,21.83,3.98,13.04,0,0,85.41,0,0,51.27,48.9,35.09,43.85,670.85,0,148.3,0,0,26.14,132.37,45.62,0,0,0,0,0,0,0,0,76.68,25.16,181.16,0,0,0,99.81,0,155.58,27.99,32.18,0,20.8,10.44,0,68.56,126.8,18.93,7.07,36.43,0

6,01:15-01:30,24.99,590.85,45.53,8.71,0,0,0,0,0,0,42.15,10.65,7.04,348.98,45.04,0,82.27,58.01,0,0,1.13,22.2,12.17,0,21.83,3.98,13.04,0,0,85.41,0,0,51.27,48.9,35.09,43.85,670.85,0,148.3,0,0,26.14,132.37,45.62,0,0,0,0,0,0,0,0,76.68,25.16,181.16,0,0,0,99.81,0,155.58,27.99,32.18,0,20.8,10.44,0,68.56,126.8,18.93,7.07,36.43,0

7,01:30-01:45,24.99,590.85,45.53,8.71,0,0,0,0,0,0,42.15,10.65,7.04,348.98,45.04,0,82.27,58.01,0,0,1.13,22.2,12.17,0,21.83,3.98,13.04,0,0,85.41,0,0,51.27,48.9,35.09,43.85,670.85,0,148.3,0,0,26.14,132.37,45.62,0,0,0,0,0,0,0,0,76.68,25.16,181.16,0,0,0,93.3,0,155.58,27.99,32.18,0,20.8,10.44,0,68.56,126.8,18.93,7.07,36.43,0

8,01:45-02:00,24.99,590.85,45.53,8.71,0,0,0,0,0,0,42.15,10.65,7.04,348.98,45.04,0,82.27,58.01,0,0,1.13,22.2,12.17,0,21.83,3.98,13.04,0,0,85.41,0,0,51.27,48.9,35.09,43.85,670.85,0,148.3,0,0,26.14,132.37,45.62,0,0,0,0,0,0,0,0,76.68,25.16,181.16,0,0,0,93.3,0,155.58,27.99,32.18,0,20.8,10.44,0,68.56,126.8,18.93,7.07,36.43,0

