Block,Time,LT_MEJA_Delhi,L_NR_2019_06,L_NR_2021_16,L_NR_2021_15,L_NR_2020_02,L_NR_2022_08,L_NR_2021_12,LT-59,LT-31,L_NR_2019_07,L_NR_2018_61,L_NR_2021_17,L_NR_2019_19,LT-35,L_NR_2021_13,L_NR_2019_05,SH-06,L_NR_2022_09,L_NR_2021_14,LT-05,L_NR_2019_11,L_NR_2012_02,L_NR_2012_07,L_NR_2020_07,L_NR_2020_05,L_NR_2012_04,L_NR_2022_10,LT-36,L_NR_2012_01,L_NR_2020_06,SH-07
1,00:00-00:15,6.430000,0,0,0,3.610000,7.13,0,4.030000,0.000000,0,6.97,0,0.000000,0.000000,0,0,0.000000,29.79,0,115.310000,3.680000,260.720000,86.910000,10.89,32.67,270.980000,29.79,0.000000,100.930000,10.89,0.000000

2,00:15-00:30,6.430000,0,0,0,3.610000,7.15,0,4.030000,0.000000,0,7.07,0,0.000000,0.000000,0,0,0.000000,30.74,0,115.310000,3.680000,260.720000,86.910000,11.12,33.37,270.980000,30.74,0.000000,100.930000,11.12,0.000000

3,00:30-00:45,6.430000,0,0,0,3.610000,7.18,0,4.030000,0.000000,0,6.97,0,0.000000,0.000000,0,0,0.000000,31.35,0,115.310000,3.680000,260.720000,86.910000,11.49,34.45,270.980000,31.35,0.000000,100.930000,11.48,0.000000

4,00:45-01:00,6.430000,0,0,0,3.610000,7.21,0,4.030000,0.000000,0,6.97,0,0.000000,0.000000,0,0,0.000000,31.63,0,115.310000,3.680000,260.720000,86.910000,11.84,35.49,270.980000,31.63,0.000000,100.930000,11.83,0.000000

5,01:00-01:15,6.430000,0,0,0,3.610000,7.23,0,4.030000,0.000000,0,7.06,0,0.000000,0.000000,0,0,0.000000,31.82,0,115.310000,3.680000,260.720000,86.910000,20.19,60.56,270.980000,31.82,0.000000,100.930000,20.19,0.000000

6,01:15-01:30,6.430000,0,0,0,3.610000,7.26,0,4.030000,0.000000,0,6.98,0,0.000000,0.000000,0,0,0.000000,33.73,0,115.310000,3.680000,260.720000,86.910000,20.37,61.1,270.980000,33.73,0.000000,100.930000,20.36,0.000000

7,01:30-01:45,6.430000,0,0,0,3.610000,7.29,0,4.030000,0.000000,0,7.09,0,0.000000,0.000000,0,0,0.000000,34.43,0,115.310000,3.680000,260.720000,86.910000,20.51,61.55,270.980000,34.43,0.000000,100.930000,20.52,0.000000

8,01:45-02:00,6.430000,0,0,0,3.610000,7.32,0,4.030000,0.000000,0,7.04,0,0.000000,0.000000,0,0,0.000000,35.64,0,115.310000,3.680000,260.720000,86.910000,20.86,62.56,270.980000,35.64,0.000000,100.930000,20.85,0.000000

9,02:00-02:15,6.430000,0,0,0,3.520000,7.27,0,3.870000,0.000000,0,6.98,0,0.000000,0.000000,0,0,0.000000,32.35,0,115.310000,3.680000,260.720000,86.910000,21.03,63.1,270.980000,32.35,0.000000,100.930000,21.03,0.000000

10,02:15-02:30,6.430000,0,0,0,3.520000,7.28,0,3.870000,0.000000,0,7.09,0,0.000000,0.000000,0,0,0.000000,32.73,0,115.310000,3.680000,260.720000,86.910000,21.26,63.78,270.980000,32.73,0.000000,100.930000,21.26,0.000000

11,02:30-02:45,6.430000,0,0,0,3.520000,7.25,0,3.870000,0.000000,0,7.09,0,0.000000,0.000000,0,0,0.000000,33.34,0,115.310000,3.680000,260.720000,86.910000,21.51,64.55,270.980000,33.34,0.000000,100.930000,21.52,0.000000

12,02:45-03:00,6.430000,0,0,0,3.520000,7.2,0,3.870000,0.000000,0,6.94,0,0.000000,0.000000,0,0,0.000000,33.89,0,115.310000,3.680000,260.720000,86.910000,21.85,65.55,270.980000,33.89,0.000000,100.930000,21.85,0.000000

13,03:00-03:15,6.430000,0,0,0,3.520000,7.14,0,3.870000,0.000000,0,6.9,0,0.000000,0.000000,0,0,0.000000,34.39,0,115.310000,3.680000,260.720000,86.910000,22.16,66.49,270.980000,34.39,0.000000,100.930000,22.16,0.000000

14,03:15-03:30,6.430000,0,0,0,3.520000,7.09,0,3.870000,0.000000,0,6.92,0,0.000000,0.000000,0,0,0.000000,34.94,0,115.310000,3.680000,260.720000,86.910000,22.41,67.22,270.980000,34.94,0.000000,100.930000,22.41,0.000000

15,03:30-03:45,6.430000,0,0,0,3.520000,7.02,0,3.870000,0.000000,0,7.06,0,0.000000,0.000000,0,0,0.000000,35.43,0,115.690000,3.680000,260.720000,86.910000,22.55,67.65,270.980000,35.43,0.000000,100.930000,22.55,0.000000

16,03:45-04:00,6.430000,0,0,0,3.520000,6.94,0,3.870000,0.000000,0,7.02,0,0.000000,0.000000,0,0,0.000000,35.21,0,115.690000,3.680000,260.720000,86.910000,22.6,67.75,270.980000,35.21,0.000000,100.930000,22.58,0.000000

17,04:00-04:15,6.430000,0,0,0,3.520000,7.04,0,3.800000,0.000000,0,6.9,0,0.000000,0.000000,0,0,0.000000,35.08,0,115.690000,3.680000,260.720000,86.910000,22.1,66.3,270.980000,35.08,0.000000,100.930000,22.1,0.000000

18,04:15-04:30,6.430000,0,0,0,3.520000,7.03,0,3.800000,0.000000,0,6.99,0,0.000000,0.000000,0,0,0.000000,34.65,0,94.520000,3.680000,260.720000,86.910000,21.59,64.82,270.980000,34.65,0.000000,100.930000,21.61,0.000000

19,04:30-04:45,6.430000,0,0,0,3.520000,6.96,0,3.800000,0.000000,0,7.07,0,0.000000,0.000000,0,0,0.000000,34.3,0,94.520000,3.680000,260.720000,86.910000,20.89,62.65,270.980000,34.3,0.000000,100.930000,20.88,0.000000

20,04:45-05:00,6.430000,0,0,0,3.520000,6.86,0,3.800000,0.000000,0,7.05,0,0.000000,0.000000,0,0,0.000000,33.87,0,94.520000,3.680000,260.720000,86.910000,20.45,61.34,270.980000,33.87,0.000000,100.930000,20.45,0.000000

21,05:00-05:15,6.430000,0,0,0,3.430000,6.75,0,3.800000,0.000000,0,6.95,0,0.000000,0.000000,0,0,0.000000,33.37,0,94.520000,3.680000,260.720000,63.190000,19.49,58.49,270.980000,33.37,0.000000,100.930000,19.5,0.000000

22,05:15-05:30,6.430000,0,0,0,3.430000,6.63,0,3.800000,0.000000,0,7.02,0,0.000000,0.000000,0,0,0.000000,32.86,0,94.520000,3.680000,260.720000,63.190000,18.4,55.17,270.980000,32.86,0.000000,100.930000,18.39,0.000000

23,05:30-05:45,6.430000,0,0,0,3.430000,6.46,0,3.800000,0.000000,0,6.91,0,0.250000,0.000000,0,0,0.000000,32.13,0,115.690000,3.680000,260.720000,63.190000,17.34,52.02,270.980000,32.13,0.000000,100.930000,17.34,0.000000

24,05:45-06:00,6.430000,0,0.44,0,3.430000,6.25,0,3.800000,0.000000,0,7.07,0.22,3.350000,0.000000,0,0,0.000000,31.42,0,115.690000,3.680000,260.720000,63.190000,16.37,49.13,270.980000,31.42,0.000000,100.930000,16.38,0.000000

25,06:00-06:15,6.430000,6.17,2.25,0.18,3.430000,5.18,1,3.720000,0.020000,3.36,7.03,1.13,8.100000,0.020000,0.2,2.53,0.000000,30.88,0.03,115.690000,3.680000,260.720000,86.910000,15.9,47.7,270.980000,30.88,0.020000,100.930000,15.9,0.000000

26,06:15-06:30,6.430000,13.08,5.15,1.1,3.430000,4.72,5.15,3.720000,0.130000,10,6.95,2.58,13.120000,0.130000,1.03,7.3,0.000000,29.93,0.03,115.690000,3.680000,260.720000,86.910000,15.37,46.12,270.980000,29.93,0.140000,100.930000,15.38,0.000000

