Column1,Time,GNA/NR/2025/09/01/2909,GNA/NR/2025/09/01/5084,GNA/NR/2025/06/07/5932,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7452,GNA/NR/2025/09/01/4602,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/4314,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/8128,GNA/NR/2025/09/01/7215,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/09/01/6485,GNA/NR/2025/09/01/6755,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/1044,GNA/NR/2025/09/01/2039,GNA/NR/2025/09/01/9418,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/7205,GNA/NR/2025/09/01/9239,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/2952,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,GNARE/WR/2025/08/25/1832,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668
1,00:00-00:15,20.48,0,-0,36.86,15.27,0,28.67,20.48,0,12.67,12.29,205.18,20.48,20.48,0,3.24,20.48,19.27,0,0,8.67,8.67,17.35,231.29,0,56.49,81.91,4.38,70.28,0,0,0,0,0,0,17,25,25,50,50,75,0,0,0,0,0,0,0,0,0,0,0,38.01,0

2,00:15-00:30,20.48,0,-0,36.86,15.27,0,28.67,20.48,0,12.67,12.29,205.18,20.48,20.48,0,3.24,20.48,19.27,0,0,8.67,8.67,17.35,231.29,0,56.49,62.64,4.01,70.28,0,0,0,0,0,0,16.66,24.66,24.67,49.67,49.67,74,0,0,0,0,0,0,0,0,0,0,0,37.61,0

3,00:30-00:45,20.48,0,-0,36.86,15.27,0,28.67,20.48,0,12.67,12.29,169.83,20.48,20.48,0,3.24,20.48,19.27,0,0,8.67,8.67,17.35,231.29,0,56.49,55.22,4.01,70.28,0,0,0,0,0,0,17,24.34,24.33,49.33,49.33,73,0,0,0,0,0,0,0,0,0,0,0,33.42,0

4,00:45-01:00,20.48,0,-0,36.86,15.27,0,28.67,20.48,0,12.67,12.29,169.83,20.48,20.48,0,3.24,20.48,19.27,0,0,8.67,8.67,17.35,231.29,0,56.49,55.22,4.01,70.28,0,0,0,0,0,0,16.66,24.16,24.17,47.67,47.67,72.5,0,0,0,0,0,0,0,0,0,0,0,33.02,0

5,01:00-01:15,20.48,0,-0,36.86,15.27,0,28.67,20.48,0,12.67,12.29,169.83,20.48,20.48,0,3.24,20.48,19.27,0,0,8.67,8.67,17.35,231.29,0,56.49,55.22,4.01,70.28,0,0,0,0,0,0,17,24.16,24.17,47.42,47.42,72.5,0,0,0,0,0,0,0,0,0,0,0,32.02,0

6,01:15-01:30,20.48,0,-0,36.86,15.27,0,28.67,20.48,0,12.67,12.29,169.83,20.48,20.48,0,3.24,20.48,19.27,0,0,8.67,8.67,17.35,231.29,0,56.49,55.22,4.01,70.28,0,0,0,0,0,0,17,24.16,24.17,48.22,48.23,72.5,0,0,0,0,0,0,0,0,0,0,0,31.62,0

