Block,Time,DHAULIGNGA,RAMPUR,CHAMERA3,KISHANGANGA,NJPC,NAPP,CHAMERA2,JHAJJAR,PARBATI3,KOTESHWR,DULHASTI,DADRT2,KOLDAM,RIHAND3,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,TANDA2,UNCHAHAR3,SEWA2,RIHAND1,URI2,UNCHAHAR2,RAPPC,UNCHAHAR1,SINGRAULI_HYDRO,RAPPB,BSIUL,CHAMERA1,TANAKPUR,SALAL,URI,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,FSTPP I & II,BRBCL,KHSTPP-I,KHSTPP-II,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,0,0.791484,31.709733,2.551476,40.951052,44.858883,43.635161,661.459879,0,17.425726,53.905351,689.353782,0.85977,126.520838,33.066273,1.492325,143.445226,120.694688,2.525983,26.963602,17.179061,94.319982,34.64741,43.545976,59.738476,22.193776,1.075357,0,19.6614,28.09872,1.1529,36.022,50.232,0,6.080756,91.211348,0,0,73.287535,0,0,0,6.41457,35.571708,0,3.03,2.38,1.89,0.41,0.87,0.14,1.99,2.18,1.62,0,1.85,7.83,1.94,0,9.33,0.25,1.78,0.8,0,18.140334,15.386,39.52177,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.676925,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

2,00:15-00:30,0,0.791484,31.709733,2.551476,40.951052,44.858883,43.635161,661.459879,0,17.425726,53.905351,689.353782,0,126.520838,33.066273,1.492325,143.445226,120.694688,2.525983,26.963602,17.179061,94.319982,34.64741,43.545976,59.738476,22.193776,1.075357,0,19.6614,28.09872,1.1529,36.022,50.232,0,6.080756,91.211348,0,0,73.287535,0,0,0,6.41457,35.571708,0,3.03,2.38,1.89,0.41,0.87,0.14,1.99,2.18,1.62,0,1.85,7.83,1.94,0,9.33,0.25,1.78,0.8,0,18.140334,15.386,39.52177,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.676925,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

3,00:30-00:45,0,0.791484,31.709733,2.551476,40.951052,44.858883,43.635161,661.459879,0,17.425726,53.905351,689.353782,0,126.520838,33.066273,1.492325,143.445226,120.694688,2.525983,26.963602,17.179061,94.319982,34.64741,43.545976,59.738476,22.193776,1.075357,0,19.6614,28.09872,1.1529,36.022,50.232,0,6.080756,91.211348,0,0,73.287535,0,0,0,6.41457,35.571708,0,3.03,2.38,1.89,0.41,0.87,0.14,1.99,2.18,1.62,0,1.85,7.83,1.94,0,9.33,0.25,1.78,0.8,0,18.140334,15.386,42.86027,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.676925,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

4,00:45-01:00,0,0.791484,31.709733,2.551476,40.951052,44.858883,43.635161,661.459879,0,17.425726,53.905351,689.353782,0,126.520838,33.066273,1.492325,143.445226,120.694688,2.525983,26.963602,17.179061,94.319982,34.64741,43.545976,59.738476,22.193776,1.075357,0,19.6614,28.09872,1.1529,36.022,52.992,0,6.080756,91.211348,0,0,73.287535,0,0,0,6.41457,35.571708,0,3.03,2.38,1.89,0.41,0.87,0.14,1.99,2.18,1.62,0,1.85,7.83,1.94,0,9.33,0.25,1.78,0.8,0,18.140334,15.386,46.39908,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.676925,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

5,01:00-01:15,0,0.791484,31.709733,2.551476,40.951052,44.858883,43.635161,661.459879,0,17.425726,53.905351,689.353782,0,126.520838,33.066273,1.492325,143.445226,120.694688,2.525983,26.963602,17.179061,94.319982,34.64741,43.545976,59.738476,22.193776,1.075357,0,19.6614,28.09872,0.7686,36.022,52.992,0,6.080756,91.211348,0,0,73.287535,0,0,0,6.41457,36.737993,0,3.03,2.38,1.89,0.41,0.87,0.14,1.99,2.18,1.62,0,1.85,7.83,1.94,0,9.33,0.25,1.78,0.8,0,18.140334,15.386,46.39908,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.676925,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

