Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/74124,NR/2025/26335/A/74264,NR/2025/26082/A/74632,NR/2025/26822/A/74639,NR/2025/26233/A/74579,NR/2025/26005/A/74161,NR/2025/26265/A/74578,NR/2025/26827/A/74637,NR/2025/26289/A/74577,NR/2025/26202/A/74631,NR/2025/26191/A/74158,NR/2025/27273/C,NR/2025/27239/C,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,NR/2025/26829/A/74635,NR/2025/26085/A/74078,NR/2025/25859/A/74559,NR/2025/27198/C,NR/2025/27313/C,NR/2025/27266/C,NR/2025/27284/C,NR/2025/26785/A/74123,NR/2025/27197/C,NR/2025/27199/C,NR/2025/26959/A/74189,NR/2025/27200/C,NR/2025/26232/A/74580,NR/2025/26879/A/74263,NR/2025/27196/C,NR/2025/27201/C,NR/2025/26828/A/74636,NR/2025/26379/A/74551,GNA/NR/2025/05/01/4138,NR/2025/27286/C,NR/2025/27149/A/74254,NR/2025/26153/A/74122,NR/2025/27222/C,NR/2025/27287/C,NR/2025/26101/A/74257,NR/2025/27305/C,NR/2025/27288/C,NR/2025/26004/A/74160,NR/2025/26336/A/74262,NR/2025/27289/C,NR/2025/27298/C,NR/2025/25967/A/74552,NR/2025/27299/C,NR/2025/27280/C,NR/2025/27310/C,NR/2025/26291/A/74576,NR/2025/25861/A/74557,NR/2025/27282/C,NR/2025/26825/A/74638,NR/2025/25860/A/74558,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,NR/30092023/31122025/SH-07,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/9395,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/5800,Total
,,SECI_Trader,IEXL,BRPL,NVVNL,APPCPL,HPXL,PXIL,HPXL,APPCPL,HPXL,NVVNL,PXIL,TPDDL,PowerPulse,IEXL,HPXL,PXIL,NDMC,PXIL,PXIL,APPCPL,ITCLH,PowerPulse,HPXL,PXIL,HPXL,NVVNL,IEXL,IEXL,HPXL,DIAPL,HPXL,HPXL,BRPL,IEXL,HPXL,APPCPL,PowerPulse,PowerPulse,APPCPL,DIAPL,IEXL,PXIL,APPCPL,GMRETL,APPCPL,APPCPL,PXIL,BRPL,APPCPL,GEPL_Trader,PowerPulse,GEPL_Trader,NVVNL,IEXL,HPXL,PowerPulse,NVVNL,APPCPL,PowerPulse,HPXL,PXIL,HPXL,PXIL,PowerPulse,SIMHAPURI,BAWANA_GAS,JPL,IEXL,DELHI,PUNJAB,PXIL,
,,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,NA,NA,NA,NA,NA,ODISHA_STATE,HIMACHAL_STATE,ODISHA_STATE,NA,ODISHA_STATE,CSEB_State,NA,ANDHRA_PRADESH_STATE,NA,GEB_State,KERALA_State,MP_State,NA,NA,NA,GEB_State,HIMACHAL_STATE,NA,GEB_State,NA,TAMILNADU_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,TAMILNADU_State,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,MP_State,NA,NA,NA,NA,MSEB_State,UTTARPRADESH_STATE,NA,NA,NA,NA,DELHI_UT,NA,JK_and_LADAKH_UT,HIMACHAL_STATE,DELHI_UT,Meghalaya_State,
,,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,SKS_Raigarh,SKS_Raigarh,PCBL_MUNDRA,SKS_Raigarh,JPL,JPL2,SIMHAPURI,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,JHAJJAR,COASTGEN,VSL,KGEPL_HP,FACORPOWER,JIPL,FACORPOWER,SKSIPL,RKM_POWER,ITCWIND,APL_Raipur_TPP,PCBL_MUNDRA,KSEB,Ultratech_Sidhi_MP,JPNIGRIE_JNSTPP,MBMP,MBMP,PCBL_PALEJ,GBHHPL,SIMHAPURI,PCBL_PALEJ,RIHAND3,SURYADEV_ALLOYSTN,JPL,TRN_ENERGY,COASTGEN,COASTGEN,SKS_Raigarh,GBHHPL,SURYADEV_ALLOYSTN,JPNIGRIE_JNSTPP,RKM_POWER,GBHHPL,TRN_ENERGY,JPL2,ILFS,DADRT2,RKM_POWER,DIKCHU,MAHAN_ENERGEN,SORANG_HEP,Kameng,HP,Ultratech_Sidhi_MP,APL_Raipur_TPP,SORANG_HEP,RKM_POWER,APL_Raipur_TPP,GRETAENERGY,LAPL_UP,JPL,SINGOLI,APL_Raipur_TPP,SIMHAPURI,BAWANA_GAS,JPL2,O2ZTPL,CHANJUII,BAWANA_GAS,Meghalaya_Ben,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,
,,TPDDL,MES_Delhi,BRPL,BYPL,NDMC,BRPL,BYPL,BRPL,NDMC,BRPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,ITCLH,TPDDL,BRPL,BYPL,BRPL,TPDDL,NDMC,NDMC,BRPL,DIAPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,DIAPL,BRPL,BRPL,NDMC,TPDDL,NDMC,NDMC,BYPL,BRPL,NDMC,BYPL,BRPL,BYPL,TPDDL,TPDDL,BRPL,TPDDL,TPDDL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,TPDDL,PUNJAB,BRPL,
,,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,South-West-North,East-North,North-North,East-North,East-North,East-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,West-North,North-North,South-West-North,West-North,West-North,South-West-North,South-East-North,West-North,North-North,South-West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,North-North,West-North,East-North,West-North,North-North,North East-East-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,South-West-North,North-North,West-North,North-North,North-North,North-North,North East-East-North,
1,00:00-00:15,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,14.49,29.1,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,96.6,24.15,0,0,43.9,144.9,5.8,28.98,0,28.98,193.2,24.15,30,96.6,0,16,30,67.62,2529.3299999999995

2,00:15-00:30,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,14.49,29.1,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,96.6,24.15,0,0,43.9,144.9,5.8,28.98,0,28.98,193.2,24.15,30,96.6,0,16,30,67.62,2529.3299999999995

